Saved path: hardware_store, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, music_store, florist, dentist, tech_shop, clothing_store, noodle_house, toy_store, gym : 59465
Saved path: jewelry_store, party_store, pharmacy, music_store, bank, florist, hardware_store, burger_joint, cafe, tech_shop, clothing_store, toy_store, salon, barber_shop, bike_shop : 63916
Saved path: bookstore, tech_shop, grocery_store, toy_store, salon, barber_shop, bike_shop, pharmacy, music_store, bank, gelateria, florist, craft_shop, dentist, cafe : 55644
Saved path: salon, toy_store, burger_joint, cafe, grocery_store, pizzeria, craft_shop, florist, pharmacy, bakery, party_store, jewelry_store, bike_shop, gym, hardware_store : 56466
Saved path: cafe, bookstore, dentist, craft_shop, pet_store, florist, gelateria, jewelry_store, party_store, barber_shop, salon, hardware_store, toy_store, clothing_store, tech_shop : 62292
Saved path: toy_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, gelateria, pet_store, pizzeria, dentist, cafe, bookstore, gym : 62619
Saved path: gym, pizzeria, music_store, bank, gelateria, pharmacy, bakery, bike_shop, barber_shop, toy_store, noodle_house, grocery_store, cafe, burger_joint, hardware_store : 60679
Saved path: party_store, bakery, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, dentist, tech_shop, clothing_store, toy_store, burger_joint, gym, hardware_store : 61060
Saved path: florist, pet_store, pizzeria, dentist, cafe, burger_joint, bookstore, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, party_store, pharmacy, bank : 62171
Saved path: pizzeria, dentist, tech_shop, grocery_store, noodle_house, salon, hardware_store, bike_shop, bakery, pharmacy, gelateria, bank, music_store, florist, craft_shop : 54179
Saved path: noodle_house, salon, barber_shop, bike_shop, party_store, music_store, bank, gelateria, florist, gym, hardware_store, burger_joint, cafe, dentist, clothing_store : 63012
Saved path: noodle_house, barber_shop, bakery, music_store, bank, gelateria, pet_store, pizzeria, dentist, cafe, bookstore, burger_joint, tech_shop, grocery_store, clothing_store : 56954
Saved path: bank, music_store, jewelry_store, party_store, bakery, hardware_store, gym, burger_joint, salon, clothing_store, grocery_store, pizzeria, pet_store, florist, gelateria : 69892
Saved path: tech_shop, burger_joint, hardware_store, toy_store, noodle_house, salon, barber_shop, jewelry_store, bakery, pharmacy, music_store, pet_store, pizzeria, dentist, grocery_store : 63793
Saved path: party_store, bakery, music_store, bank, florist, pet_store, dentist, cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, hardware_store : 59451
Saved path: craft_shop, pet_store, florist, music_store, gelateria, pharmacy, party_store, jewelry_store, barber_shop, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym : 57231
