Saved path: bakery, bike_shop, jewelry_store, party_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, cafe, burger_joint, bookstore, craft_shop, music_store, bank : 57155
Saved path: tech_shop, cafe, dentist, gelateria, bank, bakery, jewelry_store, bike_shop, hardware_store, gym, burger_joint, bookstore, noodle_house, clothing_store, grocery_store : 62236
Saved path: bookstore, burger_joint, gym, music_store, bank, pharmacy, bakery, bike_shop, party_store, hardware_store, salon, noodle_house, tech_shop, dentist, cafe : 63295
Saved path: pet_store, bank, gelateria, bike_shop, jewelry_store, party_store, bakery, barber_shop, clothing_store, grocery_store, tech_shop, dentist, cafe, hardware_store, gym : 68694
Saved path: craft_shop, dentist, cafe, tech_shop, grocery_store, noodle_house, toy_store, burger_joint, gym, hardware_store, bike_shop, jewelry_store, pharmacy, bank, music_store : 61832
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, jewelry_store, barber_shop, clothing_store, tech_shop, cafe, burger_joint, bookstore : 58777
Saved path: pizzeria, craft_shop, music_store, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, salon, noodle_house, grocery_store, bookstore, cafe : 65123
Saved path: music_store, florist, gym, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, grocery_store, tech_shop, pizzeria, pet_store, gelateria, bank : 69777
Saved path: cafe, pizzeria, craft_shop, florist, music_store, bank, gym, hardware_store, party_store, bakery, barber_shop, salon, toy_store, noodle_house, grocery_store : 64831
Saved path: barber_shop, toy_store, noodle_house, grocery_store, tech_shop, dentist, burger_joint, hardware_store, gym, craft_shop, music_store, bike_shop, jewelry_store, party_store, bakery : 60313
Saved path: salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, pet_store, pizzeria, dentist, cafe, bookstore, burger_joint, gym, toy_store : 61157
Saved path: florist, pet_store, craft_shop, dentist, bookstore, tech_shop, clothing_store, noodle_house, salon, jewelry_store, party_store, bike_shop, pharmacy, music_store, bank : 67582
Saved path: dentist, tech_shop, cafe, burger_joint, toy_store, gym, hardware_store, bike_shop, party_store, bakery, gelateria, bank, music_store, florist, craft_shop : 57100
Saved path: dentist, pizzeria, pet_store, music_store, jewelry_store, party_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, bookstore : 63971
Saved path: craft_shop, dentist, tech_shop, grocery_store, clothing_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, bank, pet_store : 61585
Saved path: barber_shop, bike_shop, jewelry_store, party_store, bakery, gym, pet_store, gelateria, florist, pizzeria, cafe, burger_joint, bookstore, grocery_store, noodle_house : 63316
Saved path: barber_shop, salon, toy_store, clothing_store, tech_shop, cafe, dentist, craft_shop, florist, gelateria, gym, hardware_store, party_store, jewelry_store, bike_shop : 59485
Saved path: barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, cafe, burger_joint, gym, bank, gelateria, pharmacy, party_store, bike_shop : 64059
Saved path: dentist, craft_shop, pet_store, florist, music_store, bank, gelateria, bike_shop, barber_shop, salon, hardware_store, toy_store, noodle_house, grocery_store, cafe : 61558
Saved path: grocery_store, dentist, craft_shop, florist, music_store, bank, gelateria, gym, hardware_store, party_store, bakery, barber_shop, toy_store, noodle_house, clothing_store : 61308
Saved path: noodle_house, salon, toy_store, gym, craft_shop, pet_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, burger_joint, tech_shop : 55431
Saved path: salon, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, music_store, gelateria, gym, hardware_store, party_store, bike_shop, bakery, barber_shop : 56509
Saved path: clothing_store, tech_shop, cafe, dentist, pizzeria, gym, florist, gelateria, bank, pharmacy, bakery, party_store, bike_shop, barber_shop, salon : 64983
Saved path: salon, clothing_store, tech_shop, cafe, dentist, pizzeria, craft_shop, music_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store : 57653
Saved path: cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, bakery, gelateria, florist, pet_store, craft_shop, gym, bookstore : 47720
Saved path: pizzeria, dentist, cafe, burger_joint, tech_shop, clothing_store, toy_store, salon, hardware_store, bike_shop, music_store, bank, gelateria, florist, craft_shop : 57431
Saved path: gym, craft_shop, pet_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, toy_store, grocery_store, tech_shop, pizzeria, dentist, burger_joint, hardware_store : 63987
Saved path: burger_joint, bookstore, cafe, tech_shop, pizzeria, pet_store, gelateria, bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, gym : 63389
Saved path: bookstore, burger_joint, hardware_store, gym, pet_store, florist, bank, gelateria, pharmacy, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, pizzeria : 60362
Saved path: dentist, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, party_store, bakery, hardware_store, gelateria, music_store, florist, craft_shop, pizzeria : 58874
Saved path: gelateria, music_store, florist, pizzeria, dentist, cafe, bookstore, burger_joint, noodle_house, toy_store, hardware_store, party_store, jewelry_store, bike_shop, pharmacy : 55784
Saved path: pizzeria, dentist, cafe, bookstore, grocery_store, noodle_house, salon, toy_store, gym, hardware_store, bike_shop, bakery, music_store, florist, craft_shop : 50566
Saved path: tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym, craft_shop, florist, bank, gelateria, party_store, salon, toy_store, grocery_store : 64984
Saved path: pizzeria, dentist, cafe, grocery_store, clothing_store, barber_shop, bakery, party_store, jewelry_store, bike_shop, hardware_store, gym, pet_store, gelateria, music_store : 64499
Saved path: noodle_house, toy_store, hardware_store, salon, barber_shop, party_store, jewelry_store, gelateria, florist, pet_store, pizzeria, dentist, cafe, tech_shop, grocery_store : 63924
Saved path: dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, bike_shop, gym, hardware_store, salon, toy_store, bookstore, cafe, tech_shop : 63533
Saved path: craft_shop, florist, music_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym : 47218
Saved path: pizzeria, dentist, grocery_store, clothing_store, noodle_house, toy_store, bakery, jewelry_store, pharmacy, gelateria, bank, music_store, florist, pet_store, craft_shop : 60426
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, florist, bank, music_store, bike_shop, jewelry_store, party_store, hardware_store, salon : 64612
Saved path: barber_shop, toy_store, noodle_house, clothing_store, bookstore, tech_shop, pizzeria, craft_shop, florist, bank, gelateria, gym, hardware_store, party_store, jewelry_store : 70495
Saved path: dentist, craft_shop, florist, music_store, gelateria, pharmacy, bakery, bike_shop, barber_shop, salon, noodle_house, toy_store, burger_joint, bookstore, tech_shop : 49264
Saved path: gelateria, music_store, florist, craft_shop, gym, burger_joint, bookstore, tech_shop, grocery_store, noodle_house, salon, toy_store, hardware_store, party_store, bakery : 50514
Saved path: barber_shop, bank, gelateria, florist, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, burger_joint, hardware_store, party_store : 63930
Saved path: music_store, florist, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, noodle_house, salon, toy_store, hardware_store, bakery, bike_shop, jewelry_store : 60217
Saved path: craft_shop, pizzeria, dentist, cafe, bookstore, grocery_store, barber_shop, bike_shop, pharmacy, music_store, bank, gelateria, florist, pet_store, gym : 63559
Saved path: salon, toy_store, noodle_house, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym, craft_shop, bank, bakery, jewelry_store, barber_shop : 69881
Saved path: pharmacy, barber_shop, salon, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, pet_store, bank, gelateria : 55793
Saved path: tech_shop, grocery_store, noodle_house, salon, bike_shop, bakery, pharmacy, music_store, bank, gelateria, gym, bookstore, cafe, dentist, pizzeria : 59770
Saved path: noodle_house, toy_store, bookstore, tech_shop, pizzeria, florist, gelateria, bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon : 67515
Saved path: music_store, bank, florist, pet_store, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, party_store, jewelry_store, bike_shop : 66579
Saved path: party_store, jewelry_store, bike_shop, barber_shop, noodle_house, grocery_store, tech_shop, cafe, bookstore, dentist, florist, gelateria, pet_store, gym, hardware_store : 62325
Saved path: jewelry_store, party_store, hardware_store, gym, toy_store, salon, noodle_house, grocery_store, bookstore, dentist, pizzeria, craft_shop, pet_store, florist, music_store : 63388
Saved path: party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, cafe, burger_joint, gym, craft_shop, gelateria, bank, bakery : 61321
Saved path: hardware_store, salon, noodle_house, clothing_store, grocery_store, cafe, burger_joint, pizzeria, craft_shop, florist, bank, pharmacy, bakery, bike_shop, jewelry_store : 62849
Saved path: tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, bakery, pharmacy, gelateria, bank, florist, gym, burger_joint, cafe, dentist : 53638
Saved path: bakery, gelateria, bank, pet_store, craft_shop, pizzeria, dentist, cafe, burger_joint, bookstore, grocery_store, clothing_store, salon, hardware_store, party_store : 62212
Saved path: party_store, bike_shop, gelateria, bank, music_store, florist, craft_shop, gym, burger_joint, cafe, dentist, tech_shop, clothing_store, salon, jewelry_store : 65579
Saved path: dentist, bookstore, burger_joint, bike_shop, party_store, bakery, pharmacy, florist, gym, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria : 50265
Saved path: florist, gelateria, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, cafe, burger_joint, dentist, craft_shop, pet_store : 58936
Saved path: bookstore, cafe, tech_shop, grocery_store, noodle_house, salon, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank, florist, gym, burger_joint : 59386
Saved path: bank, gelateria, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, bookstore, burger_joint, hardware_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy : 67497
Saved path: party_store, jewelry_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, florist, music_store : 54424
Saved path: music_store, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, bookstore, burger_joint, toy_store, salon, hardware_store, jewelry_store, bike_shop, bakery, pharmacy : 59944
Saved path: pharmacy, music_store, bank, hardware_store, burger_joint, cafe, dentist, tech_shop, grocery_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery : 66684
Saved path: clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop, pet_store, music_store, hardware_store, party_store, bike_shop, bakery, barber_shop, salon, noodle_house : 57555
Saved path: craft_shop, pizzeria, dentist, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, hardware_store, party_store, pharmacy, bank, music_store, florist : 60187
Saved path: party_store, bakery, gelateria, bank, music_store, florist, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, bookstore, gym, hardware_store : 61876
Saved path: pet_store, florist, gelateria, bank, music_store, pharmacy, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store, dentist, pizzeria : 63911
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, cafe, tech_shop, pizzeria, craft_shop, gym, pet_store, bank, gelateria : 69266
Saved path: jewelry_store, party_store, pharmacy, gelateria, pet_store, craft_shop, pizzeria, cafe, bookstore, burger_joint, hardware_store, toy_store, clothing_store, barber_shop, bike_shop : 62468
Saved path: gym, hardware_store, burger_joint, bookstore, grocery_store, noodle_house, toy_store, salon, barber_shop, bakery, party_store, pharmacy, gelateria, music_store, craft_shop : 51840
Saved path: burger_joint, toy_store, salon, hardware_store, bike_shop, jewelry_store, pharmacy, gelateria, bank, music_store, pizzeria, dentist, tech_shop, grocery_store, bookstore : 67515
Saved path: craft_shop, pizzeria, tech_shop, grocery_store, bookstore, burger_joint, gym, hardware_store, barber_shop, bike_shop, party_store, pharmacy, gelateria, bank, pet_store : 66554
