Saved path: party_store, jewelry_store, bike_shop, hardware_store, gym, toy_store, burger_joint, cafe, grocery_store, pizzeria, craft_shop, pet_store, florist, bank, pharmacy : 67032
Saved path: jewelry_store, party_store, hardware_store, gym, burger_joint, toy_store, salon, noodle_house, grocery_store, cafe, pizzeria, craft_shop, pet_store, gelateria, pharmacy : 59291
Saved path: bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, pizzeria, dentist, cafe, hardware_store, gym, pet_store, bank, bakery : 64130
Saved path: grocery_store, clothing_store, noodle_house, salon, toy_store, gym, hardware_store, jewelry_store, bakery, gelateria, bank, pet_store, pizzeria, dentist, tech_shop : 66641
Saved path: gym, hardware_store, bakery, bike_shop, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, cafe, burger_joint, bookstore, florist, pet_store : 53697
Saved path: cafe, burger_joint, hardware_store, gym, gelateria, pharmacy, jewelry_store, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, dentist : 58714
Saved path: pet_store, gym, burger_joint, bookstore, dentist, pizzeria, tech_shop, grocery_store, clothing_store, salon, barber_shop, bike_shop, party_store, pharmacy, bank : 68234
Saved path: bank, music_store, pharmacy, bakery, party_store, bike_shop, bookstore, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, florist, gelateria : 56096
Saved path: pet_store, craft_shop, pizzeria, dentist, grocery_store, clothing_store, cafe, burger_joint, hardware_store, toy_store, salon, barber_shop, bakery, party_store, music_store : 59424
Saved path: salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, dentist, pizzeria, pet_store, florist, music_store, bike_shop, party_store, barber_shop : 60293
Saved path: bike_shop, bakery, pharmacy, bank, pet_store, pizzeria, tech_shop, cafe, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, hardware_store : 58820
Saved path: grocery_store, clothing_store, salon, barber_shop, bike_shop, party_store, music_store, bank, gelateria, craft_shop, pizzeria, gym, burger_joint, bookstore, cafe : 65921
Saved path: florist, craft_shop, dentist, tech_shop, cafe, burger_joint, toy_store, noodle_house, salon, barber_shop, hardware_store, gym, pet_store, gelateria, music_store : 51308
Saved path: pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, burger_joint, cafe, grocery_store, tech_shop, pizzeria, craft_shop, gym, pet_store, florist : 59566
Saved path: pet_store, hardware_store, burger_joint, cafe, tech_shop, noodle_house, toy_store, salon, barber_shop, jewelry_store, bakery, pharmacy, music_store, bank, gelateria : 63993
Saved path: bike_shop, jewelry_store, party_store, hardware_store, pharmacy, music_store, pet_store, pizzeria, tech_shop, cafe, bookstore, grocery_store, noodle_house, salon, barber_shop : 65585
Saved path: dentist, pizzeria, music_store, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, bookstore, cafe, tech_shop : 61144
Saved path: clothing_store, toy_store, gym, hardware_store, bike_shop, party_store, pharmacy, music_store, bank, pet_store, pizzeria, dentist, cafe, bookstore, tech_shop : 63218
Saved path: salon, toy_store, burger_joint, gym, hardware_store, bakery, bike_shop, jewelry_store, music_store, bank, gelateria, craft_shop, dentist, grocery_store, noodle_house : 64771
Saved path: craft_shop, pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house, salon, toy_store, gym, bike_shop, jewelry_store, music_store, bank, florist : 67042
Saved path: hardware_store, burger_joint, bookstore, cafe, grocery_store, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, music_store, bank, florist, pizzeria, gym : 71029
Saved path: bookstore, dentist, craft_shop, pet_store, florist, bank, music_store, pharmacy, party_store, bike_shop, gym, toy_store, grocery_store, tech_shop, cafe : 62218
Saved path: pharmacy, music_store, bank, gelateria, pet_store, gym, craft_shop, pizzeria, dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop : 60948
Saved path: bookstore, cafe, tech_shop, clothing_store, noodle_house, salon, barber_shop, hardware_store, party_store, bike_shop, bakery, pharmacy, bank, craft_shop, dentist : 64524
Saved path: gym, craft_shop, florist, music_store, bank, gelateria, pharmacy, bakery, party_store, bike_shop, salon, toy_store, burger_joint, cafe, bookstore : 57093
Saved path: jewelry_store, bakery, pharmacy, music_store, bank, pet_store, craft_shop, pizzeria, dentist, grocery_store, clothing_store, cafe, bookstore, burger_joint, gym : 61188
Saved path: jewelry_store, party_store, bike_shop, pharmacy, florist, pet_store, craft_shop, dentist, cafe, burger_joint, bookstore, tech_shop, clothing_store, noodle_house, salon : 56635
Saved path: toy_store, gym, hardware_store, jewelry_store, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, dentist, bookstore, grocery_store, noodle_house, salon : 69627
Saved path: burger_joint, gym, craft_shop, pet_store, music_store, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, clothing_store, grocery_store, dentist, bookstore : 60759
Saved path: florist, gelateria, pharmacy, bakery, jewelry_store, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, bookstore, cafe, dentist, craft_shop : 51628
Saved path: florist, pet_store, craft_shop, dentist, bookstore, cafe, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, bakery, pharmacy, music_store, bank : 51040
Saved path: hardware_store, gym, burger_joint, bookstore, cafe, grocery_store, pizzeria, pet_store, florist, bank, music_store, pharmacy, bakery, bike_shop, party_store : 61651
Saved path: toy_store, noodle_house, clothing_store, bookstore, cafe, pizzeria, gym, pet_store, florist, gelateria, pharmacy, party_store, bakery, barber_shop, salon : 59133
Saved path: clothing_store, toy_store, hardware_store, salon, barber_shop, bike_shop, bakery, pharmacy, gelateria, bank, pet_store, pizzeria, dentist, bookstore, grocery_store : 62574
Saved path: tech_shop, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, bank, music_store, craft_shop, pizzeria, dentist, burger_joint : 63331
Saved path: pet_store, bank, gelateria, pharmacy, bike_shop, party_store, hardware_store, salon, clothing_store, grocery_store, dentist, bookstore, burger_joint, gym, craft_shop : 63932
Saved path: bookstore, cafe, dentist, pizzeria, florist, bank, bakery, bike_shop, jewelry_store, barber_shop, noodle_house, toy_store, gym, hardware_store, burger_joint : 70354
Saved path: pet_store, gelateria, pharmacy, bakery, party_store, hardware_store, gym, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist : 52720
