Saved path: hardware_store, salon, barber_shop, jewelry_store, party_store, bakery, music_store, gelateria, pet_store, pizzeria, dentist, tech_shop, grocery_store, clothing_store, burger_joint : 63496
Saved path: bakery, party_store, barber_shop, salon, toy_store, clothing_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, pet_store, music_store, pharmacy : 60725
Saved path: toy_store, clothing_store, burger_joint, cafe, dentist, pizzeria, craft_shop, pet_store, florist, pharmacy, bakery, party_store, jewelry_store, hardware_store, salon : 56766
Saved path: hardware_store, jewelry_store, bakery, pharmacy, gelateria, music_store, florist, pet_store, craft_shop, pizzeria, dentist, cafe, burger_joint, noodle_house, salon : 58056
Saved path: bakery, party_store, bike_shop, gym, hardware_store, salon, toy_store, clothing_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, gelateria, pharmacy : 53332
Saved path: gym, pizzeria, craft_shop, pet_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, grocery_store, cafe, bookstore, hardware_store : 62933
Saved path: pet_store, gelateria, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, tech_shop, cafe, bookstore, craft_shop : 55704
Saved path: florist, music_store, bank, pet_store, craft_shop, gym, hardware_store, bakery, party_store, jewelry_store, barber_shop, salon, tech_shop, cafe, bookstore : 66282
Saved path: pet_store, craft_shop, dentist, cafe, tech_shop, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, party_store, pharmacy, bank, music_store, florist : 66072
Saved path: grocery_store, bookstore, burger_joint, hardware_store, gym, craft_shop, music_store, bank, gelateria, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, salon : 62382
Saved path: toy_store, clothing_store, grocery_store, tech_shop, bookstore, cafe, dentist, pet_store, florist, music_store, gelateria, bakery, party_store, bike_shop, salon : 57351
Saved path: florist, pet_store, craft_shop, gym, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, salon, hardware_store, bakery, bike_shop, jewelry_store : 53357
Saved path: noodle_house, clothing_store, grocery_store, dentist, pizzeria, florist, gelateria, bank, pet_store, gym, bakery, party_store, jewelry_store, burger_joint, toy_store : 65283
Saved path: bakery, pharmacy, gelateria, music_store, craft_shop, pizzeria, dentist, tech_shop, cafe, burger_joint, hardware_store, toy_store, salon, barber_shop, jewelry_store : 59122
Saved path: jewelry_store, party_store, bakery, hardware_store, florist, gelateria, bank, pet_store, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, barber_shop : 66623
Saved path: burger_joint, bookstore, grocery_store, clothing_store, salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, gelateria, florist, pizzeria, gym, hardware_store : 60252
Saved path: grocery_store, clothing_store, salon, barber_shop, party_store, bike_shop, gelateria, florist, pet_store, gym, hardware_store, burger_joint, bookstore, cafe, dentist : 58691
Saved path: dentist, bookstore, burger_joint, gym, craft_shop, pet_store, music_store, bakery, party_store, bike_shop, salon, noodle_house, clothing_store, tech_shop, pizzeria : 61293
Saved path: barber_shop, salon, toy_store, burger_joint, bookstore, grocery_store, tech_shop, pizzeria, pet_store, florist, music_store, gelateria, pharmacy, party_store, bakery : 57878
Saved path: grocery_store, bookstore, burger_joint, cafe, dentist, pizzeria, craft_shop, pet_store, bank, music_store, bike_shop, gym, toy_store, noodle_house, clothing_store : 57359
Saved path: pharmacy, bakery, jewelry_store, hardware_store, gym, toy_store, salon, noodle_house, burger_joint, dentist, pizzeria, pet_store, gelateria, bank, music_store : 68218
Saved path: noodle_house, clothing_store, tech_shop, cafe, dentist, pizzeria, craft_shop, florist, gelateria, music_store, pharmacy, bike_shop, hardware_store, gym, bookstore : 48960
Saved path: clothing_store, noodle_house, salon, hardware_store, bike_shop, party_store, pharmacy, gelateria, bank, music_store, craft_shop, pizzeria, cafe, bookstore, burger_joint : 61665
Saved path: bakery, pharmacy, gelateria, florist, pet_store, pizzeria, dentist, bookstore, grocery_store, clothing_store, toy_store, hardware_store, barber_shop, bike_shop, party_store : 59965
Saved path: bank, music_store, bike_shop, hardware_store, salon, toy_store, clothing_store, grocery_store, pizzeria, dentist, cafe, bookstore, burger_joint, gym, pet_store : 62702
Saved path: music_store, gelateria, pet_store, craft_shop, dentist, cafe, burger_joint, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, party_store, pharmacy : 54295
Saved path: salon, barber_shop, jewelry_store, bike_shop, gelateria, bank, music_store, craft_shop, gym, hardware_store, burger_joint, bookstore, tech_shop, grocery_store, toy_store : 64384
Saved path: salon, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, florist, music_store, bank, bakery, bike_shop : 59751
Saved path: salon, toy_store, grocery_store, bookstore, cafe, dentist, craft_shop, florist, bank, gelateria, pharmacy, jewelry_store, bike_shop, gym, hardware_store : 65603
Saved path: salon, noodle_house, grocery_store, cafe, pizzeria, craft_shop, pet_store, music_store, bike_shop, jewelry_store, party_store, bakery, gym, burger_joint, toy_store : 62713
Saved path: craft_shop, pizzeria, tech_shop, grocery_store, bookstore, gym, hardware_store, salon, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, florist : 66827
Saved path: clothing_store, noodle_house, toy_store, burger_joint, gym, hardware_store, party_store, bakery, gelateria, music_store, florist, pet_store, pizzeria, dentist, cafe : 55543
Saved path: cafe, bookstore, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, party_store, bakery, music_store, bank, gelateria, pet_store, pizzeria, tech_shop : 65276
Saved path: pizzeria, tech_shop, cafe, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, bakery, pharmacy, music_store, gelateria, hardware_store, gym, craft_shop : 58768
Saved path: music_store, bank, florist, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, clothing_store, salon, toy_store, burger_joint, bike_shop, pharmacy : 61351
Saved path: burger_joint, gym, pet_store, florist, music_store, gelateria, jewelry_store, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, bookstore : 58031
Saved path: craft_shop, florist, bank, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, hardware_store, burger_joint, grocery_store, tech_shop, dentist, pizzeria : 66090
Saved path: noodle_house, grocery_store, dentist, pizzeria, florist, music_store, gelateria, pharmacy, party_store, jewelry_store, barber_shop, salon, hardware_store, gym, toy_store : 63162
Saved path: jewelry_store, pharmacy, gelateria, pet_store, gym, hardware_store, burger_joint, bookstore, pizzeria, tech_shop, grocery_store, clothing_store, salon, barber_shop, bike_shop : 62931
Saved path: bakery, party_store, pharmacy, gelateria, bank, florist, gym, hardware_store, burger_joint, bookstore, dentist, tech_shop, grocery_store, clothing_store, barber_shop : 62207
Saved path: bank, music_store, pizzeria, dentist, tech_shop, clothing_store, noodle_house, salon, toy_store, gym, bike_shop, jewelry_store, bakery, pharmacy, gelateria : 66490
Saved path: music_store, pharmacy, bakery, jewelry_store, barber_shop, toy_store, grocery_store, tech_shop, pizzeria, dentist, cafe, hardware_store, gym, florist, bank : 67688
Saved path: clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, florist, bank, gelateria, pharmacy, bakery, jewelry_store, hardware_store, burger_joint, toy_store : 58809
Saved path: bookstore, cafe, grocery_store, pizzeria, craft_shop, florist, bank, music_store, bike_shop, party_store, bakery, barber_shop, toy_store, hardware_store, burger_joint : 64701
Saved path: clothing_store, tech_shop, cafe, bookstore, burger_joint, dentist, craft_shop, pet_store, gelateria, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store : 49342
Saved path: jewelry_store, party_store, bakery, barber_shop, salon, toy_store, hardware_store, bookstore, cafe, tech_shop, pizzeria, florist, bank, gelateria, bike_shop : 68739
Saved path: clothing_store, salon, barber_shop, jewelry_store, bakery, pharmacy, gelateria, pet_store, craft_shop, gym, hardware_store, bookstore, cafe, dentist, grocery_store : 58351
Saved path: bakery, bike_shop, jewelry_store, music_store, florist, craft_shop, pizzeria, dentist, cafe, burger_joint, bookstore, tech_shop, clothing_store, salon, hardware_store : 57450
Saved path: pet_store, craft_shop, gym, hardware_store, burger_joint, bookstore, dentist, pizzeria, clothing_store, noodle_house, salon, barber_shop, jewelry_store, bike_shop, bank : 73274
Saved path: jewelry_store, bike_shop, bakery, hardware_store, gym, florist, bank, pet_store, pizzeria, tech_shop, cafe, burger_joint, clothing_store, salon, barber_shop : 71526
Saved path: craft_shop, dentist, cafe, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, salon, hardware_store, bakery, music_store, bank, pet_store : 54272
Saved path: music_store, bank, gelateria, pharmacy, bakery, barber_shop, salon, noodle_house, toy_store, burger_joint, gym, pizzeria, craft_shop, pet_store, florist : 59203
Saved path: pharmacy, florist, pet_store, gym, bookstore, cafe, tech_shop, grocery_store, noodle_house, salon, toy_store, hardware_store, bike_shop, jewelry_store, party_store : 55912
Saved path: noodle_house, clothing_store, burger_joint, bookstore, dentist, craft_shop, pet_store, florist, music_store, bank, gelateria, jewelry_store, hardware_store, gym, toy_store : 64772
Saved path: jewelry_store, bike_shop, bakery, pharmacy, bank, gelateria, florist, craft_shop, dentist, tech_shop, grocery_store, bookstore, burger_joint, gym, hardware_store : 59361
Saved path: florist, music_store, bank, gelateria, pharmacy, party_store, barber_shop, hardware_store, burger_joint, bookstore, cafe, clothing_store, grocery_store, dentist, pet_store : 64365
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, cafe, bookstore, dentist, pet_store, florist, gelateria, music_store, pharmacy, jewelry_store : 60306
Saved path: gym, florist, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, dentist, bookstore : 56803
Saved path: gelateria, music_store, florist, gym, hardware_store, bookstore, cafe, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy : 55377
