Saved path: clothing_store, grocery_store, tech_shop, dentist, cafe, burger_joint, gym, pet_store, gelateria, bank, music_store, jewelry_store, barber_shop, salon, toy_store : 66987
Saved path: bookstore, hardware_store, gym, florist, music_store, bank, pharmacy, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, pizzeria, dentist : 71162
Saved path: jewelry_store, party_store, hardware_store, gym, pet_store, gelateria, florist, craft_shop, dentist, bookstore, tech_shop, noodle_house, toy_store, barber_shop, bike_shop : 64108
Saved path: bank, music_store, florist, gym, hardware_store, bike_shop, party_store, bakery, barber_shop, clothing_store, grocery_store, pizzeria, craft_shop, pet_store, gelateria : 65756
Saved path: toy_store, burger_joint, bookstore, cafe, grocery_store, tech_shop, pizzeria, craft_shop, bank, pharmacy, bakery, bike_shop, hardware_store, salon, noodle_house : 57157
Saved path: hardware_store, gym, florist, bank, pet_store, craft_shop, pizzeria, dentist, burger_joint, bookstore, grocery_store, clothing_store, barber_shop, bike_shop, party_store : 69496
Saved path: pharmacy, bank, gelateria, gym, hardware_store, burger_joint, bookstore, dentist, grocery_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery : 67444
Saved path: dentist, cafe, bookstore, grocery_store, noodle_house, salon, toy_store, gym, party_store, jewelry_store, gelateria, music_store, florist, pet_store, pizzeria : 64521
Saved path: bookstore, burger_joint, gym, hardware_store, bakery, bike_shop, jewelry_store, gelateria, bank, music_store, florist, pet_store, pizzeria, dentist, clothing_store : 66504
Saved path: bike_shop, pharmacy, music_store, bank, gelateria, pet_store, pizzeria, cafe, burger_joint, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop : 59584
Saved path: music_store, florist, pizzeria, tech_shop, cafe, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, gym, pet_store, gelateria, bank : 71643
Saved path: burger_joint, hardware_store, salon, barber_shop, bakery, party_store, jewelry_store, bike_shop, music_store, florist, pet_store, pizzeria, grocery_store, noodle_house, bookstore : 65805
Saved path: bank, pet_store, craft_shop, pizzeria, dentist, bookstore, burger_joint, tech_shop, grocery_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery : 69378
Saved path: barber_shop, bakery, party_store, pharmacy, music_store, gelateria, florist, pet_store, gym, pizzeria, bookstore, grocery_store, clothing_store, noodle_house, toy_store : 60806
Saved path: gelateria, gym, burger_joint, cafe, dentist, pizzeria, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, pharmacy, music_store, bank : 60348
Saved path: florist, gelateria, pet_store, gym, bike_shop, party_store, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, cafe, tech_shop, pizzeria, craft_shop : 62482
Saved path: salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, music_store, pizzeria, tech_shop, burger_joint, toy_store, clothing_store, noodle_house : 67506
Saved path: gelateria, pharmacy, bakery, bike_shop, gym, salon, noodle_house, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, bank : 59511
Saved path: barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, hardware_store, gym, craft_shop, florist, music_store, bike_shop, jewelry_store, party_store, bakery : 53575
Saved path: craft_shop, pizzeria, dentist, bookstore, burger_joint, tech_shop, clothing_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, pharmacy, bank, music_store : 64660
Saved path: pizzeria, craft_shop, pet_store, florist, bank, music_store, pharmacy, party_store, barber_shop, salon, toy_store, hardware_store, gym, burger_joint, bookstore : 69083
Saved path: bank, music_store, party_store, barber_shop, salon, toy_store, clothing_store, grocery_store, cafe, bookstore, gym, craft_shop, pet_store, florist, gelateria : 60969
Saved path: party_store, barber_shop, toy_store, noodle_house, clothing_store, dentist, burger_joint, hardware_store, gym, craft_shop, pet_store, florist, music_store, gelateria, pharmacy : 59061
Saved path: jewelry_store, party_store, bakery, barber_shop, noodle_house, clothing_store, toy_store, burger_joint, bookstore, cafe, tech_shop, pizzeria, pet_store, florist, bike_shop : 60044
Saved path: bank, gelateria, party_store, gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, dentist, pizzeria, craft_shop, music_store : 59781
Saved path: bakery, hardware_store, gym, bank, gelateria, florist, pizzeria, dentist, cafe, grocery_store, noodle_house, salon, barber_shop, jewelry_store, party_store : 68196
Saved path: grocery_store, bookstore, cafe, pizzeria, florist, gelateria, bank, pharmacy, jewelry_store, bike_shop, barber_shop, hardware_store, toy_store, noodle_house, clothing_store : 68176
Saved path: cafe, tech_shop, dentist, craft_shop, pet_store, florist, bank, music_store, jewelry_store, party_store, barber_shop, salon, toy_store, burger_joint, bookstore : 68334
Saved path: pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, tech_shop, pizzeria, dentist, hardware_store, gym, florist, gelateria : 61384
Saved path: noodle_house, tech_shop, cafe, dentist, craft_shop, pet_store, gelateria, bank, music_store, florist, gym, hardware_store, party_store, jewelry_store, barber_shop : 68365
Saved path: noodle_house, toy_store, hardware_store, bike_shop, bakery, pharmacy, gelateria, music_store, florist, craft_shop, bookstore, burger_joint, cafe, tech_shop, grocery_store : 40371
Saved path: cafe, burger_joint, gym, hardware_store, bakery, party_store, jewelry_store, bike_shop, music_store, gelateria, florist, pet_store, dentist, tech_shop, clothing_store : 57559
Saved path: barber_shop, bike_shop, party_store, pharmacy, bank, craft_shop, gym, hardware_store, bookstore, cafe, pizzeria, tech_shop, clothing_store, toy_store, salon : 68421
Saved path: jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, bookstore, hardware_store, gym, craft_shop, florist, music_store, pharmacy : 61008
Saved path: music_store, jewelry_store, salon, toy_store, noodle_house, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym, pet_store, gelateria, bank : 70375
Saved path: salon, jewelry_store, party_store, bike_shop, bakery, hardware_store, gym, florist, craft_shop, pizzeria, cafe, bookstore, burger_joint, toy_store, noodle_house : 55544
Saved path: clothing_store, grocery_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, florist, gelateria, bank, bakery, barber_shop, salon, toy_store, noodle_house : 54202
Saved path: bank, gelateria, pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store, clothing_store, dentist, cafe, burger_joint, gym, craft_shop, florist : 63343
Saved path: pet_store, bank, gelateria, florist, gym, hardware_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, cafe, dentist, pizzeria : 68843
Saved path: grocery_store, clothing_store, noodle_house, salon, barber_shop, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, dentist, bookstore, burger_joint, tech_shop : 53804
Saved path: clothing_store, dentist, burger_joint, hardware_store, gym, bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house : 69249
Saved path: clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, hardware_store, bookstore, florist, gelateria, pet_store, pizzeria, dentist, grocery_store : 63898
Saved path: gym, craft_shop, florist, bank, pharmacy, party_store, bakery, toy_store, salon, noodle_house, grocery_store, tech_shop, cafe, bookstore, burger_joint : 56809
Saved path: pet_store, craft_shop, pizzeria, dentist, cafe, burger_joint, bookstore, tech_shop, grocery_store, noodle_house, barber_shop, bakery, bike_shop, jewelry_store, music_store : 61382
Saved path: bank, florist, pet_store, dentist, burger_joint, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, bike_shop, pharmacy, music_store : 68007
