Saved path: noodle_house, toy_store, barber_shop, bike_shop, party_store, bakery, bank, music_store, florist, pet_store, gym, burger_joint, bookstore, grocery_store, clothing_store : 62293
Saved path: hardware_store, gym, pet_store, gelateria, bank, music_store, pharmacy, party_store, bakery, barber_shop, salon, noodle_house, clothing_store, bookstore, burger_joint : 59496
Saved path: burger_joint, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, florist, bank, gelateria, jewelry_store, bike_shop, bakery, gym : 62544
Saved path: burger_joint, gym, bakery, party_store, jewelry_store, pharmacy, gelateria, bank, music_store, florist, pet_store, pizzeria, grocery_store, salon, toy_store : 69522
Saved path: grocery_store, clothing_store, salon, barber_shop, jewelry_store, party_store, pharmacy, bank, florist, craft_shop, gym, bookstore, cafe, dentist, tech_shop : 66603
Saved path: pizzeria, tech_shop, clothing_store, toy_store, barber_shop, bike_shop, party_store, pharmacy, gelateria, florist, pet_store, craft_shop, gym, burger_joint, dentist : 59892
Saved path: dentist, pizzeria, craft_shop, florist, bank, pharmacy, bakery, party_store, bike_shop, hardware_store, gym, burger_joint, clothing_store, grocery_store, tech_shop : 58592
Saved path: gym, bakery, party_store, jewelry_store, hardware_store, toy_store, noodle_house, burger_joint, bookstore, dentist, pizzeria, florist, music_store, bank, pet_store : 67860
Saved path: florist, music_store, bank, gelateria, barber_shop, bike_shop, bakery, hardware_store, toy_store, noodle_house, grocery_store, tech_shop, cafe, bookstore, craft_shop : 54684
Saved path: florist, pet_store, gym, burger_joint, bookstore, dentist, pizzeria, grocery_store, clothing_store, noodle_house, salon, hardware_store, pharmacy, music_store, bank : 59723
Saved path: tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, bike_shop, jewelry_store, party_store, hardware_store, salon, noodle_house, burger_joint, bookstore, cafe : 60568
Saved path: toy_store, salon, bakery, party_store, bike_shop, music_store, bank, gelateria, pet_store, gym, bookstore, cafe, tech_shop, grocery_store, clothing_store : 60768
Saved path: gym, burger_joint, cafe, bookstore, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, pet_store, music_store, pharmacy, bakery, party_store : 54126
Saved path: hardware_store, gym, florist, bank, pet_store, pizzeria, dentist, burger_joint, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop : 66119
Saved path: florist, gelateria, bank, music_store, bakery, party_store, hardware_store, gym, burger_joint, toy_store, noodle_house, grocery_store, cafe, dentist, pizzeria : 58727
Saved path: gelateria, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, noodle_house, tech_shop, cafe, burger_joint, hardware_store, craft_shop, florist, music_store, bank : 60880
Saved path: gelateria, pet_store, craft_shop, gym, burger_joint, grocery_store, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank : 62765
Saved path: clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop, pet_store, florist, bank, gelateria, pharmacy, barber_shop, salon, hardware_store, toy_store : 56555
Saved path: tech_shop, dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store, clothing_store : 65352
Saved path: music_store, florist, bookstore, cafe, tech_shop, toy_store, barber_shop, bakery, party_store, hardware_store, gym, craft_shop, pet_store, gelateria, bank : 62555
Saved path: bakery, hardware_store, gym, florist, gelateria, bank, pet_store, pizzeria, cafe, bookstore, clothing_store, noodle_house, barber_shop, jewelry_store, party_store : 69580
Saved path: gym, pet_store, bank, gelateria, florist, pizzeria, burger_joint, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, bakery, hardware_store : 62962
Saved path: cafe, dentist, pizzeria, florist, gelateria, bank, music_store, bike_shop, party_store, bakery, hardware_store, toy_store, noodle_house, clothing_store, grocery_store : 56569
Saved path: burger_joint, hardware_store, bakery, gym, florist, gelateria, bank, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, salon, toy_store : 57633
