Saved path: dentist, pizzeria, pet_store, florist, music_store, pharmacy, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, cafe : 60034
Saved path: bookstore, cafe, grocery_store, tech_shop, dentist, pizzeria, craft_shop, gelateria, jewelry_store, party_store, bakery, hardware_store, salon, toy_store, burger_joint : 57006
Saved path: tech_shop, pizzeria, dentist, cafe, burger_joint, gym, craft_shop, florist, music_store, bank, gelateria, bakery, barber_shop, toy_store, clothing_store : 56331
Saved path: toy_store, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, gelateria, bank, florist, pet_store, dentist, bookstore, burger_joint : 69250
Saved path: bank, music_store, pharmacy, bakery, hardware_store, gym, toy_store, noodle_house, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, gelateria : 54759
Saved path: burger_joint, bookstore, dentist, tech_shop, clothing_store, salon, barber_shop, bakery, party_store, pharmacy, bank, florist, pet_store, craft_shop, gym : 66631
Saved path: hardware_store, gym, toy_store, grocery_store, dentist, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, jewelry_store, bike_shop, barber_shop, salon : 64036
Saved path: clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, music_store, gym, craft_shop, dentist, cafe, tech_shop, grocery_store : 59111
Saved path: bakery, jewelry_store, bike_shop, barber_shop, salon, hardware_store, burger_joint, toy_store, clothing_store, tech_shop, pizzeria, florist, bank, music_store, pharmacy : 67663
Saved path: grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, pharmacy, gelateria, craft_shop, gym, hardware_store, cafe, dentist, pizzeria, tech_shop : 52122
Saved path: pizzeria, dentist, clothing_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, bike_shop, jewelry_store, barber_shop, music_store, bank, gelateria, pet_store : 71540
Saved path: bookstore, burger_joint, hardware_store, toy_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, music_store, florist, pizzeria : 60325
Saved path: pet_store, bookstore, burger_joint, tech_shop, grocery_store, salon, barber_shop, jewelry_store, party_store, bakery, hardware_store, gym, florist, gelateria, bank : 66549
Saved path: barber_shop, salon, noodle_house, burger_joint, hardware_store, gym, craft_shop, pet_store, florist, gelateria, bank, bakery, party_store, jewelry_store, bike_shop : 65334
Saved path: tech_shop, bookstore, clothing_store, toy_store, salon, jewelry_store, party_store, bike_shop, bakery, pharmacy, music_store, bank, florist, pet_store, pizzeria : 69630
Saved path: pizzeria, dentist, bookstore, hardware_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, pet_store, craft_shop : 70921
Saved path: grocery_store, clothing_store, noodle_house, toy_store, hardware_store, party_store, jewelry_store, bike_shop, pharmacy, florist, pizzeria, dentist, bookstore, cafe, tech_shop : 52228
Saved path: pet_store, bank, gelateria, bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, toy_store, noodle_house, grocery_store, cafe, pizzeria, gym : 70618
Saved path: florist, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, toy_store, gym, hardware_store, party_store, jewelry_store, bike_shop, bakery, music_store : 54393
Saved path: bike_shop, bakery, pharmacy, bank, pet_store, pizzeria, dentist, grocery_store, tech_shop, cafe, bookstore, burger_joint, toy_store, salon, jewelry_store : 67536
Saved path: pizzeria, florist, gelateria, bank, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store, grocery_store, bookstore, hardware_store, gym : 67854
Saved path: pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, burger_joint, bookstore, noodle_house, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist : 53657
Saved path: craft_shop, gym, hardware_store, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, bookstore, burger_joint, pizzeria : 50784
Saved path: noodle_house, burger_joint, hardware_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, music_store, bank, gelateria, florist, craft_shop, pizzeria, tech_shop : 67740
Saved path: craft_shop, pet_store, florist, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop, gym, noodle_house, clothing_store, tech_shop, dentist, pizzeria : 67385
Saved path: bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, hardware_store, burger_joint, noodle_house, clothing_store, pizzeria, craft_shop, music_store, bank, gelateria : 69253
Saved path: bank, music_store, pharmacy, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, pizzeria, dentist, burger_joint, gym, craft_shop, pet_store, gelateria : 62407
Saved path: bike_shop, bakery, pharmacy, bank, gelateria, craft_shop, pizzeria, dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house, salon, hardware_store : 55374
Saved path: bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, music_store, florist, craft_shop, gym, cafe, tech_shop, clothing_store, barber_shop : 60828
