Saved path: hardware_store, bookstore, dentist, pizzeria, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, bike_shop, party_store, pharmacy, pet_store, craft_shop, gym : 61821
Saved path: toy_store, noodle_house, tech_shop, bookstore, dentist, pizzeria, craft_shop, pet_store, bank, music_store, florist, gym, bakery, bike_shop, barber_shop : 64798
Saved path: bank, gym, burger_joint, bookstore, cafe, dentist, tech_shop, clothing_store, noodle_house, toy_store, salon, jewelry_store, party_store, bike_shop, pharmacy : 67941
Saved path: bookstore, dentist, craft_shop, florist, gelateria, bike_shop, jewelry_store, party_store, bakery, gym, toy_store, noodle_house, clothing_store, grocery_store, tech_shop : 53132
Saved path: pizzeria, craft_shop, florist, bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, noodle_house, grocery_store, tech_shop : 61865
Saved path: pizzeria, craft_shop, florist, bank, pharmacy, bakery, jewelry_store, barber_shop, toy_store, hardware_store, burger_joint, cafe, grocery_store, tech_shop, dentist : 66161
Saved path: pet_store, gym, craft_shop, pizzeria, tech_shop, grocery_store, burger_joint, salon, barber_shop, party_store, bakery, pharmacy, bank, gelateria, florist : 66920
Saved path: noodle_house, toy_store, barber_shop, bike_shop, pharmacy, music_store, bank, florist, pet_store, craft_shop, bookstore, burger_joint, cafe, tech_shop, grocery_store : 56576
Saved path: bank, music_store, florist, pet_store, craft_shop, dentist, tech_shop, grocery_store, burger_joint, hardware_store, toy_store, noodle_house, salon, barber_shop, gelateria : 58660
Saved path: tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, pet_store, florist, music_store, pharmacy, jewelry_store, bike_shop, barber_shop, salon, clothing_store : 64697
Saved path: craft_shop, gym, burger_joint, bookstore, cafe, clothing_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, bank, pet_store : 63218
Saved path: bakery, barber_shop, salon, noodle_house, grocery_store, tech_shop, pizzeria, craft_shop, florist, music_store, gelateria, pet_store, bookstore, burger_joint, hardware_store : 52766
Saved path: pharmacy, bank, gelateria, craft_shop, dentist, cafe, bookstore, burger_joint, noodle_house, toy_store, gym, hardware_store, party_store, bike_shop, bakery : 58240
Saved path: bookstore, cafe, dentist, pizzeria, craft_shop, gym, pet_store, florist, gelateria, pharmacy, bike_shop, jewelry_store, salon, noodle_house, grocery_store : 61421
Saved path: pizzeria, tech_shop, cafe, bookstore, clothing_store, noodle_house, barber_shop, jewelry_store, bakery, hardware_store, gym, pet_store, bank, gelateria, florist : 68740
Saved path: florist, pet_store, pizzeria, tech_shop, cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store, salon, jewelry_store, party_store, bike_shop, bakery : 58624
Saved path: gym, pet_store, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, tech_shop, cafe, dentist, pizzeria : 64647
Saved path: dentist, bookstore, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, hardware_store, gym, florist, music_store, gelateria, pet_store, craft_shop : 64000
Saved path: bike_shop, party_store, hardware_store, pharmacy, music_store, bank, pet_store, craft_shop, pizzeria, dentist, bookstore, clothing_store, noodle_house, salon, barber_shop : 68022
Saved path: gelateria, florist, pet_store, gym, hardware_store, bookstore, pizzeria, tech_shop, noodle_house, barber_shop, jewelry_store, party_store, bakery, pharmacy, bank : 72714
Saved path: music_store, florist, dentist, tech_shop, noodle_house, salon, barber_shop, bakery, bike_shop, jewelry_store, hardware_store, burger_joint, bookstore, pet_store, bank : 71024
Saved path: hardware_store, salon, noodle_house, toy_store, burger_joint, bookstore, pizzeria, craft_shop, pet_store, florist, gelateria, bank, music_store, jewelry_store, party_store : 68545
Saved path: gelateria, music_store, florist, pet_store, pizzeria, dentist, grocery_store, bookstore, burger_joint, toy_store, gym, bike_shop, jewelry_store, party_store, pharmacy : 61792
Saved path: pet_store, gelateria, music_store, pharmacy, bakery, party_store, barber_shop, hardware_store, burger_joint, bookstore, cafe, tech_shop, clothing_store, dentist, craft_shop : 56350
