Saved path: craft_shop, music_store, gelateria, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, gym, toy_store, noodle_house, tech_shop, cafe, bookstore, dentist : 55034
Saved path: party_store, jewelry_store, bike_shop, music_store, bank, florist, craft_shop, pizzeria, dentist, cafe, bookstore, grocery_store, toy_store, gym, hardware_store : 64897
Saved path: cafe, pizzeria, florist, bank, gelateria, pharmacy, hardware_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint : 67288
Saved path: toy_store, noodle_house, grocery_store, tech_shop, dentist, bookstore, burger_joint, gym, pet_store, florist, gelateria, bike_shop, party_store, barber_shop, salon : 60015
Saved path: toy_store, noodle_house, grocery_store, cafe, burger_joint, hardware_store, gym, gelateria, bank, music_store, bike_shop, party_store, jewelry_store, barber_shop, salon : 63696
Saved path: party_store, jewelry_store, barber_shop, salon, grocery_store, tech_shop, burger_joint, bookstore, cafe, dentist, craft_shop, pet_store, gelateria, music_store, bike_shop : 61580
Saved path: bank, pet_store, craft_shop, dentist, bookstore, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, bakery, gym, florist : 62721
Saved path: grocery_store, tech_shop, bookstore, burger_joint, dentist, florist, gym, hardware_store, bakery, bike_shop, party_store, jewelry_store, salon, noodle_house, clothing_store : 55050
Saved path: party_store, bike_shop, gelateria, florist, craft_shop, pizzeria, tech_shop, cafe, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, bakery : 51372
Saved path: pizzeria, craft_shop, pet_store, bank, pharmacy, bakery, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe : 53371
Saved path: pizzeria, music_store, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, bookstore, cafe, burger_joint, hardware_store, gym : 70621
Saved path: pet_store, florist, gelateria, pharmacy, bike_shop, barber_shop, salon, noodle_house, grocery_store, dentist, cafe, bookstore, burger_joint, gym, craft_shop : 51648
Saved path: grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, party_store, pharmacy, gelateria, pet_store, gym, craft_shop, pizzeria, bookstore : 57658
Saved path: gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop : 61553
Saved path: barber_shop, salon, toy_store, noodle_house, grocery_store, bookstore, dentist, pizzeria, craft_shop, florist, pet_store, gym, hardware_store, jewelry_store, bakery : 60133
Saved path: hardware_store, salon, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, gelateria, music_store, jewelry_store, party_store : 55962
Saved path: grocery_store, clothing_store, toy_store, salon, hardware_store, party_store, jewelry_store, bakery, pharmacy, gelateria, music_store, florist, gym, bookstore, tech_shop : 53429
Saved path: pizzeria, craft_shop, florist, gym, bike_shop, party_store, hardware_store, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, cafe, tech_shop : 52137
Saved path: gelateria, music_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, dentist, cafe, bookstore, hardware_store, gym, craft_shop, florist : 52267
Saved path: florist, pet_store, gym, burger_joint, cafe, pizzeria, tech_shop, grocery_store, toy_store, barber_shop, jewelry_store, bakery, pharmacy, gelateria, music_store : 61853
Saved path: bike_shop, party_store, bakery, pharmacy, gelateria, florist, pet_store, pizzeria, dentist, cafe, bookstore, grocery_store, noodle_house, salon, barber_shop : 56659
Saved path: music_store, florist, gym, bike_shop, jewelry_store, salon, noodle_house, burger_joint, bookstore, cafe, tech_shop, pizzeria, craft_shop, pet_store, gelateria : 63198
Saved path: party_store, bike_shop, gelateria, pet_store, craft_shop, dentist, cafe, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store : 54200
Saved path: hardware_store, gym, craft_shop, dentist, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, gelateria : 62128
Saved path: clothing_store, tech_shop, burger_joint, bookstore, dentist, florist, music_store, bank, gelateria, pharmacy, bakery, bike_shop, hardware_store, salon, toy_store : 56069
Saved path: party_store, jewelry_store, bike_shop, barber_shop, clothing_store, tech_shop, cafe, burger_joint, craft_shop, pet_store, florist, gelateria, bank, music_store, pharmacy : 65180
