Saved path: jewelry_store, party_store, bakery, bank, music_store, florist, craft_shop, pizzeria, dentist, cafe, burger_joint, tech_shop, grocery_store, clothing_store, salon : 63860
Saved path: bookstore, grocery_store, tech_shop, dentist, pizzeria, pet_store, florist, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, toy_store, burger_joint : 59088
Saved path: florist, pet_store, gym, pizzeria, dentist, cafe, bookstore, grocery_store, noodle_house, toy_store, barber_shop, bike_shop, pharmacy, music_store, gelateria : 57827
Saved path: clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy, party_store, gym, burger_joint, salon : 65843
Saved path: cafe, burger_joint, hardware_store, toy_store, clothing_store, noodle_house, barber_shop, bakery, pharmacy, music_store, gelateria, pet_store, craft_shop, pizzeria, tech_shop : 50510
Saved path: gym, florist, music_store, gelateria, pet_store, craft_shop, dentist, tech_shop, cafe, burger_joint, toy_store, noodle_house, salon, jewelry_store, bakery : 60232
Saved path: noodle_house, grocery_store, dentist, cafe, bookstore, gym, pet_store, gelateria, bank, music_store, pharmacy, party_store, bakery, barber_shop, salon : 63466
Saved path: bank, music_store, gym, burger_joint, bookstore, dentist, tech_shop, grocery_store, noodle_house, salon, hardware_store, jewelry_store, bike_shop, pharmacy, gelateria : 66165
Saved path: pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store, pet_store, bank, pharmacy, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop : 62715
Saved path: pizzeria, dentist, burger_joint, grocery_store, clothing_store, toy_store, salon, jewelry_store, party_store, gym, florist, gelateria, bank, pet_store, craft_shop : 69675
Saved path: burger_joint, gym, bike_shop, bakery, pharmacy, gelateria, pet_store, pizzeria, tech_shop, grocery_store, noodle_house, salon, toy_store, bookstore, cafe : 52416
Saved path: party_store, bakery, music_store, bank, pet_store, pizzeria, tech_shop, grocery_store, cafe, bookstore, burger_joint, gym, hardware_store, salon, jewelry_store : 68967
Saved path: florist, bank, music_store, jewelry_store, party_store, bakery, hardware_store, toy_store, clothing_store, tech_shop, bookstore, burger_joint, dentist, pizzeria, craft_shop : 62670
Saved path: grocery_store, noodle_house, salon, barber_shop, bike_shop, pharmacy, gelateria, bank, music_store, florist, pet_store, craft_shop, pizzeria, dentist, bookstore : 60839
Saved path: pet_store, gelateria, bank, music_store, gym, hardware_store, bakery, party_store, bike_shop, barber_shop, salon, toy_store, grocery_store, bookstore, pizzeria : 70673
Saved path: toy_store, barber_shop, bakery, party_store, bike_shop, music_store, pet_store, pizzeria, dentist, tech_shop, grocery_store, cafe, bookstore, burger_joint, hardware_store : 61946
Saved path: craft_shop, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, bookstore, burger_joint, gym, hardware_store, jewelry_store, pharmacy, music_store, pet_store : 55502
Saved path: dentist, clothing_store, toy_store, salon, barber_shop, jewelry_store, bakery, pharmacy, gelateria, bank, florist, craft_shop, gym, burger_joint, cafe : 63343
Saved path: barber_shop, toy_store, noodle_house, clothing_store, tech_shop, cafe, dentist, pizzeria, craft_shop, bank, gym, hardware_store, party_store, bike_shop, bakery : 67462
Saved path: bank, florist, pet_store, dentist, clothing_store, cafe, bookstore, burger_joint, hardware_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria : 68452
Saved path: pet_store, gym, hardware_store, burger_joint, bookstore, dentist, pizzeria, tech_shop, clothing_store, toy_store, barber_shop, bike_shop, pharmacy, music_store, florist : 57150
Saved path: jewelry_store, party_store, bakery, barber_shop, salon, noodle_house, clothing_store, tech_shop, pizzeria, dentist, burger_joint, gym, pet_store, florist, gelateria : 62175
Saved path: grocery_store, tech_shop, cafe, bookstore, gym, hardware_store, barber_shop, bike_shop, pharmacy, music_store, gelateria, florist, craft_shop, pizzeria, dentist : 54073
Saved path: gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store, tech_shop, pizzeria, dentist, cafe, burger_joint, gym, bank : 65954
Saved path: pharmacy, florist, pet_store, craft_shop, pizzeria, dentist, burger_joint, cafe, tech_shop, grocery_store, noodle_house, salon, hardware_store, bike_shop, party_store : 54762
Saved path: bakery, pharmacy, bank, florist, pet_store, pizzeria, dentist, tech_shop, cafe, gym, hardware_store, barber_shop, bike_shop, jewelry_store, party_store : 73552
Saved path: toy_store, hardware_store, burger_joint, bookstore, cafe, grocery_store, clothing_store, pizzeria, craft_shop, florist, music_store, pharmacy, party_store, barber_shop, salon : 55354
Saved path: dentist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, party_store, pharmacy, music_store, bank, gym, bookstore, cafe : 68188
Saved path: hardware_store, gym, pizzeria, florist, bank, gelateria, pharmacy, jewelry_store, bike_shop, barber_shop, salon, clothing_store, cafe, bookstore, burger_joint : 70039
Saved path: pet_store, florist, gelateria, music_store, pharmacy, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, burger_joint, dentist : 61579
Saved path: gelateria, jewelry_store, bike_shop, bakery, barber_shop, noodle_house, grocery_store, tech_shop, dentist, bookstore, burger_joint, gym, craft_shop, florist, bank : 65952
Saved path: craft_shop, bank, gelateria, bike_shop, barber_shop, noodle_house, clothing_store, toy_store, gym, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria : 62849
