Saved path: florist, gelateria, music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, dentist, pizzeria : 59155
Saved path: bike_shop, bakery, barber_shop, noodle_house, clothing_store, tech_shop, bookstore, cafe, dentist, florist, music_store, gelateria, pharmacy, hardware_store, jewelry_store : 59089
Saved path: bank, gelateria, pizzeria, gym, hardware_store, burger_joint, cafe, clothing_store, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy : 69020
Saved path: craft_shop, dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, jewelry_store, bakery, bank, music_store, florist : 61456
Saved path: craft_shop, pizzeria, dentist, cafe, bookstore, grocery_store, noodle_house, salon, toy_store, hardware_store, bakery, bike_shop, jewelry_store, gelateria, music_store : 58752
Saved path: hardware_store, bike_shop, jewelry_store, music_store, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, cafe, burger_joint, gym : 56857
Saved path: tech_shop, pizzeria, pet_store, florist, music_store, bike_shop, party_store, jewelry_store, salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe : 61267
Saved path: music_store, party_store, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop : 59508
Saved path: salon, barber_shop, jewelry_store, party_store, gelateria, music_store, florist, gym, hardware_store, burger_joint, cafe, dentist, grocery_store, noodle_house, toy_store : 59797
Saved path: noodle_house, toy_store, burger_joint, party_store, bike_shop, pharmacy, bank, music_store, florist, pet_store, craft_shop, pizzeria, cafe, grocery_store, clothing_store : 60457
Saved path: salon, toy_store, grocery_store, tech_shop, pizzeria, cafe, burger_joint, hardware_store, gym, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop : 59910
Saved path: jewelry_store, party_store, bank, gelateria, craft_shop, gym, hardware_store, bookstore, cafe, dentist, pizzeria, tech_shop, noodle_house, toy_store, barber_shop : 71774
Saved path: salon, noodle_house, toy_store, hardware_store, burger_joint, bookstore, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, music_store, bakery, bike_shop, barber_shop : 55985
Saved path: dentist, craft_shop, pet_store, bank, gelateria, pharmacy, bike_shop, jewelry_store, barber_shop, salon, noodle_house, toy_store, hardware_store, bookstore, cafe : 67469
Saved path: bookstore, grocery_store, clothing_store, noodle_house, salon, jewelry_store, bike_shop, gym, pet_store, bank, florist, craft_shop, pizzeria, cafe, burger_joint : 69634
Saved path: hardware_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, bank, pet_store, craft_shop, dentist, tech_shop, grocery_store, cafe, bookstore : 67332
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, dentist, bookstore, burger_joint, gym, pet_store, gelateria, bike_shop, party_store, jewelry_store, salon, toy_store : 60820
Saved path: bakery, party_store, jewelry_store, barber_shop, salon, noodle_house, toy_store, burger_joint, cafe, grocery_store, tech_shop, pizzeria, florist, music_store, bank : 65279
Saved path: pizzeria, dentist, bookstore, burger_joint, gym, craft_shop, florist, music_store, gelateria, pharmacy, bike_shop, barber_shop, salon, clothing_store, tech_shop : 54054
Saved path: clothing_store, toy_store, salon, jewelry_store, party_store, bike_shop, gym, florist, bank, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore : 71742
Saved path: pizzeria, craft_shop, gelateria, bank, music_store, pharmacy, jewelry_store, barber_shop, salon, noodle_house, toy_store, burger_joint, bookstore, cafe, tech_shop : 64139
Saved path: gym, florist, gelateria, pharmacy, bakery, jewelry_store, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, cafe, burger_joint : 53119
Saved path: bank, music_store, florist, pizzeria, dentist, tech_shop, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, bookstore, pet_store : 74164
