Saved path: bookstore, tech_shop, noodle_house, salon, toy_store, hardware_store, party_store, bike_shop, bakery, pharmacy, bank, florist, pet_store, craft_shop, gym : 63773
Saved path: bike_shop, jewelry_store, bakery, gym, hardware_store, salon, toy_store, clothing_store, burger_joint, bookstore, cafe, dentist, pizzeria, florist, music_store : 60348
Saved path: barber_shop, salon, hardware_store, toy_store, grocery_store, tech_shop, cafe, dentist, craft_shop, pet_store, bank, pharmacy, bakery, jewelry_store, bike_shop : 67538
Saved path: toy_store, salon, barber_shop, bike_shop, bakery, pharmacy, florist, pet_store, gym, burger_joint, dentist, pizzeria, tech_shop, clothing_store, noodle_house : 53483
Saved path: cafe, grocery_store, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, hardware_store, gym, music_store, florist, craft_shop, pizzeria, tech_shop : 59605
Saved path: clothing_store, tech_shop, bookstore, gym, pet_store, florist, music_store, bank, gelateria, bike_shop, party_store, jewelry_store, salon, toy_store, noodle_house : 66931
Saved path: pet_store, craft_shop, gym, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, pharmacy, music_store, bank, gelateria : 46993
Saved path: gelateria, florist, craft_shop, pizzeria, grocery_store, clothing_store, toy_store, salon, hardware_store, gym, bike_shop, jewelry_store, pharmacy, music_store, bank : 64867
Saved path: pet_store, dentist, tech_shop, bookstore, burger_joint, hardware_store, noodle_house, salon, barber_shop, jewelry_store, party_store, pharmacy, bank, music_store, florist : 72455
Saved path: cafe, burger_joint, gym, bank, pharmacy, bakery, jewelry_store, party_store, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria : 66650
Saved path: barber_shop, toy_store, noodle_house, grocery_store, pizzeria, florist, gelateria, bank, pet_store, bookstore, cafe, burger_joint, hardware_store, party_store, bakery : 67595
Saved path: pet_store, florist, gelateria, music_store, jewelry_store, bakery, barber_shop, salon, noodle_house, grocery_store, dentist, cafe, burger_joint, hardware_store, gym : 60757
Saved path: cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, bakery, pharmacy, gelateria, pet_store, hardware_store, burger_joint, bookstore : 46656
Saved path: tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, bank, gelateria, bike_shop, jewelry_store, party_store, hardware_store, salon, noodle_house, burger_joint : 68792
Saved path: noodle_house, barber_shop, jewelry_store, bakery, bank, gelateria, florist, craft_shop, gym, hardware_store, burger_joint, dentist, pizzeria, tech_shop, clothing_store : 67054
Saved path: bike_shop, gym, toy_store, noodle_house, clothing_store, tech_shop, dentist, pizzeria, pet_store, florist, music_store, bank, pharmacy, bakery, jewelry_store : 66167
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, burger_joint, hardware_store, jewelry_store, bike_shop, bakery, bank, florist, pet_store, craft_shop, bookstore, cafe : 60023
Saved path: burger_joint, bookstore, cafe, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, bank, music_store, bike_shop, party_store, hardware_store, gym : 61342
Saved path: pet_store, craft_shop, gym, toy_store, noodle_house, clothing_store, grocery_store, cafe, burger_joint, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, music_store : 50355
Saved path: salon, clothing_store, tech_shop, dentist, pizzeria, craft_shop, gym, pet_store, bank, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop : 68930
Saved path: florist, pet_store, gym, burger_joint, cafe, dentist, pizzeria, tech_shop, noodle_house, salon, toy_store, bakery, pharmacy, gelateria, music_store : 52978
Saved path: bike_shop, bakery, barber_shop, salon, hardware_store, burger_joint, noodle_house, clothing_store, tech_shop, pizzeria, craft_shop, music_store, bank, gelateria, jewelry_store : 67665
Saved path: gym, hardware_store, burger_joint, bookstore, cafe, dentist, grocery_store, clothing_store, barber_shop, jewelry_store, pharmacy, music_store, bank, pet_store, craft_shop : 66450
Saved path: tech_shop, grocery_store, clothing_store, toy_store, salon, jewelry_store, party_store, bakery, gym, florist, craft_shop, dentist, cafe, burger_joint, bookstore : 53100
Saved path: gym, toy_store, noodle_house, burger_joint, bookstore, cafe, dentist, pizzeria, florist, music_store, gelateria, pharmacy, bakery, bike_shop, hardware_store : 47988
Saved path: music_store, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, cafe, burger_joint, gym, bank : 59291
Saved path: hardware_store, salon, noodle_house, grocery_store, tech_shop, burger_joint, bookstore, dentist, craft_shop, florist, music_store, bank, pharmacy, bike_shop, jewelry_store : 64075
Saved path: dentist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, jewelry_store, party_store, bike_shop, gelateria, florist, craft_shop, gym, bookstore : 59701
Saved path: jewelry_store, bike_shop, barber_shop, toy_store, hardware_store, burger_joint, cafe, grocery_store, pizzeria, craft_shop, florist, gelateria, bank, music_store, pharmacy : 66066
Saved path: clothing_store, noodle_house, toy_store, gym, bike_shop, jewelry_store, pharmacy, bank, florist, craft_shop, pizzeria, tech_shop, cafe, bookstore, burger_joint : 63726
Saved path: craft_shop, pet_store, gelateria, music_store, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, noodle_house, tech_shop, dentist, cafe, burger_joint, gym : 59969
Saved path: craft_shop, pizzeria, cafe, bookstore, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, hardware_store, gym, bank, music_store, florist : 68527
Saved path: tech_shop, pizzeria, craft_shop, florist, music_store, pharmacy, party_store, jewelry_store, barber_shop, noodle_house, toy_store, burger_joint, bookstore, cafe, grocery_store : 56131
Saved path: salon, barber_shop, bike_shop, bakery, pharmacy, bank, pet_store, pizzeria, dentist, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store : 63425
Saved path: clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, florist, gelateria, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, burger_joint : 50625
Saved path: toy_store, burger_joint, bookstore, cafe, grocery_store, pizzeria, pet_store, bank, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, noodle_house : 67237
Saved path: burger_joint, bookstore, cafe, grocery_store, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy, jewelry_store, bike_shop, barber_shop, noodle_house, toy_store : 67590
Saved path: bike_shop, party_store, bakery, barber_shop, salon, clothing_store, grocery_store, tech_shop, cafe, dentist, pet_store, gelateria, bank, music_store, hardware_store : 65383
Saved path: burger_joint, cafe, pizzeria, tech_shop, clothing_store, noodle_house, salon, barber_shop, jewelry_store, bike_shop, music_store, gelateria, craft_shop, gym, hardware_store : 61956
Saved path: barber_shop, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, pet_store, music_store, florist, pizzeria, dentist, bookstore, clothing_store, noodle_house : 66170
Saved path: florist, music_store, bank, bakery, bike_shop, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, bookstore, burger_joint, dentist, pizzeria, pet_store : 66190
Saved path: bank, florist, pet_store, craft_shop, dentist, tech_shop, cafe, bookstore, burger_joint, gym, hardware_store, barber_shop, bike_shop, jewelry_store, pharmacy : 70624
Saved path: gym, hardware_store, salon, noodle_house, clothing_store, cafe, tech_shop, pizzeria, craft_shop, florist, gelateria, pharmacy, party_store, jewelry_store, bike_shop : 56950
Saved path: cafe, gym, hardware_store, toy_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, bank, music_store, craft_shop, pizzeria : 69300
Saved path: bank, music_store, bike_shop, jewelry_store, party_store, bakery, hardware_store, gym, burger_joint, clothing_store, tech_shop, pizzeria, pet_store, florist, gelateria : 65343
Saved path: bakery, music_store, bank, gelateria, craft_shop, pizzeria, dentist, gym, toy_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store : 69727
Saved path: gelateria, pharmacy, bike_shop, barber_shop, salon, hardware_store, burger_joint, noodle_house, clothing_store, grocery_store, dentist, pizzeria, pet_store, florist, bank : 64026
Saved path: florist, dentist, cafe, bookstore, burger_joint, toy_store, noodle_house, salon, barber_shop, jewelry_store, party_store, hardware_store, gym, pet_store, bank : 70150
Saved path: bakery, pharmacy, gelateria, bank, pet_store, dentist, cafe, tech_shop, clothing_store, toy_store, salon, hardware_store, gym, party_store, jewelry_store : 65852
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, burger_joint, bookstore, craft_shop, gym, hardware_store, pharmacy, bakery : 48224
Saved path: gym, hardware_store, salon, noodle_house, grocery_store, bookstore, burger_joint, cafe, dentist, pizzeria, craft_shop, florist, gelateria, music_store, pharmacy : 47976
Saved path: bakery, pharmacy, music_store, gelateria, craft_shop, pizzeria, dentist, cafe, grocery_store, noodle_house, toy_store, gym, hardware_store, barber_shop, jewelry_store : 60610
Saved path: grocery_store, clothing_store, toy_store, hardware_store, barber_shop, bakery, party_store, pharmacy, bank, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore : 65093
Saved path: party_store, jewelry_store, bike_shop, gelateria, music_store, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, noodle_house, bookstore, bakery : 59686
Saved path: cafe, bookstore, clothing_store, toy_store, gym, hardware_store, bakery, party_store, bike_shop, music_store, bank, gelateria, pet_store, pizzeria, tech_shop : 62611
Saved path: florist, music_store, gelateria, bike_shop, bakery, hardware_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, gym, pet_store : 48582
Saved path: bookstore, grocery_store, noodle_house, barber_shop, bike_shop, party_store, bakery, music_store, bank, pet_store, gym, craft_shop, pizzeria, tech_shop, cafe : 66512
Saved path: pizzeria, dentist, grocery_store, clothing_store, cafe, bookstore, burger_joint, hardware_store, salon, barber_shop, bike_shop, bakery, pharmacy, gelateria, florist : 50226
