Saved path: craft_shop, hardware_store, burger_joint, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, florist, pet_store : 55074
Saved path: hardware_store, gym, pizzeria, pet_store, florist, bank, music_store, pharmacy, barber_shop, salon, toy_store, noodle_house, grocery_store, bookstore, burger_joint : 62818
Saved path: gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, dentist, pizzeria, pet_store, florist, gelateria, pharmacy, bakery, hardware_store : 47357
Saved path: dentist, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy, jewelry_store, party_store, gym, burger_joint, salon, noodle_house, grocery_store, cafe : 68127
Saved path: bank, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, noodle_house, toy_store, burger_joint, bookstore, cafe, dentist, pizzeria, pet_store, florist : 69187
Saved path: pet_store, florist, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, noodle_house, tech_shop, pizzeria, cafe, bookstore, burger_joint, gym : 60599
Saved path: jewelry_store, party_store, bakery, bank, music_store, craft_shop, gym, burger_joint, bookstore, cafe, dentist, grocery_store, clothing_store, salon, barber_shop : 65966
Saved path: salon, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, pet_store, gym, hardware_store, burger_joint, bookstore, dentist, tech_shop, grocery_store : 60515
Saved path: dentist, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, hardware_store, gym, pet_store, music_store : 64866
Saved path: hardware_store, bike_shop, jewelry_store, party_store, bakery, barber_shop, toy_store, grocery_store, tech_shop, cafe, dentist, florist, bank, pet_store, gym : 69725
Saved path: dentist, pizzeria, craft_shop, florist, gelateria, pharmacy, bike_shop, jewelry_store, hardware_store, salon, toy_store, burger_joint, cafe, tech_shop, grocery_store : 55855
Saved path: party_store, bike_shop, barber_shop, toy_store, clothing_store, bookstore, burger_joint, cafe, pizzeria, pet_store, bank, music_store, florist, gym, bakery : 68615
Saved path: bank, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, salon, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, dentist, pizzeria, craft_shop : 68161
