Saved path: cafe, grocery_store, clothing_store, toy_store, burger_joint, gym, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, music_store, craft_shop, pizzeria, tech_shop : 52797
Saved path: barber_shop, toy_store, noodle_house, tech_shop, cafe, bookstore, hardware_store, gym, craft_shop, pet_store, bank, music_store, pharmacy, bakery, party_store : 60815
Saved path: noodle_house, toy_store, salon, barber_shop, bike_shop, music_store, gelateria, pet_store, gym, craft_shop, pizzeria, dentist, bookstore, grocery_store, clothing_store : 57322
Saved path: gym, craft_shop, florist, bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, grocery_store, tech_shop, bookstore : 64199
Saved path: cafe, tech_shop, grocery_store, noodle_house, salon, toy_store, burger_joint, hardware_store, party_store, gym, florist, music_store, bank, pet_store, dentist : 65540
Saved path: dentist, pizzeria, florist, music_store, bank, pet_store, gym, party_store, barber_shop, salon, toy_store, burger_joint, bookstore, cafe, tech_shop : 68919
Saved path: gym, craft_shop, florist, bank, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, clothing_store, grocery_store, dentist, cafe, bookstore, hardware_store : 67842
Saved path: bike_shop, jewelry_store, bakery, pharmacy, gelateria, bank, music_store, florist, pizzeria, tech_shop, cafe, bookstore, clothing_store, toy_store, barber_shop : 64539
Saved path: florist, gelateria, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, dentist, bookstore, hardware_store, gym, craft_shop : 59409
Saved path: party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, bookstore, burger_joint, gym, pet_store, florist, music_store, pharmacy : 58422
Saved path: bike_shop, hardware_store, salon, toy_store, clothing_store, tech_shop, bookstore, burger_joint, dentist, pizzeria, craft_shop, pet_store, florist, pharmacy, jewelry_store : 59976
Saved path: tech_shop, grocery_store, clothing_store, barber_shop, music_store, bank, pharmacy, bakery, jewelry_store, party_store, hardware_store, burger_joint, bookstore, cafe, dentist : 65407
Saved path: grocery_store, tech_shop, dentist, burger_joint, gym, pet_store, florist, music_store, bank, gelateria, pharmacy, barber_shop, salon, noodle_house, clothing_store : 56054
Saved path: grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, party_store, bakery, pharmacy, gelateria, florist, pet_store, pizzeria, dentist, tech_shop : 54061
Saved path: cafe, tech_shop, clothing_store, noodle_house, salon, barber_shop, bakery, gelateria, music_store, florist, pet_store, gym, hardware_store, burger_joint, bookstore : 47554
Saved path: pizzeria, grocery_store, noodle_house, bookstore, cafe, burger_joint, gym, bakery, party_store, jewelry_store, bike_shop, gelateria, music_store, florist, pet_store : 60743
Saved path: bank, pharmacy, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, gym, music_store : 55927
Saved path: pizzeria, craft_shop, pet_store, gelateria, music_store, bike_shop, party_store, bakery, hardware_store, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store : 56037
Saved path: gelateria, florist, craft_shop, gym, burger_joint, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, bike_shop, party_store, bakery, bank : 56937
Saved path: hardware_store, gym, toy_store, noodle_house, salon, barber_shop, jewelry_store, bakery, pharmacy, music_store, gelateria, pet_store, pizzeria, bookstore, burger_joint : 64040
Saved path: craft_shop, pizzeria, dentist, cafe, burger_joint, clothing_store, noodle_house, salon, hardware_store, gym, bike_shop, jewelry_store, pharmacy, gelateria, pet_store : 60004
Saved path: bike_shop, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, gym, burger_joint, cafe, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store : 58183
Saved path: bookstore, cafe, tech_shop, pizzeria, florist, pharmacy, bakery, jewelry_store, party_store, hardware_store, gym, toy_store, salon, noodle_house, clothing_store : 55919
Saved path: clothing_store, tech_shop, pizzeria, craft_shop, gelateria, bank, party_store, bakery, barber_shop, salon, hardware_store, gym, burger_joint, toy_store, noodle_house : 66062
Saved path: barber_shop, salon, hardware_store, gym, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, florist, music_store, bank, party_store, jewelry_store : 68592
Saved path: gym, toy_store, salon, noodle_house, clothing_store, tech_shop, dentist, pet_store, florist, music_store, bank, gelateria, jewelry_store, party_store, hardware_store : 68447
Saved path: bookstore, cafe, dentist, pizzeria, florist, music_store, bakery, party_store, bike_shop, hardware_store, gym, toy_store, clothing_store, grocery_store, tech_shop : 52112
