Saved path: gym, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, craft_shop, pizzeria, dentist, grocery_store, clothing_store, noodle_house, bookstore, burger_joint : 54343
Saved path: jewelry_store, bookstore, burger_joint, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, bank, music_store, pharmacy : 62239
Saved path: dentist, bookstore, cafe, tech_shop, clothing_store, noodle_house, toy_store, hardware_store, salon, barber_shop, bakery, gelateria, florist, pet_store, craft_shop : 51329
Saved path: barber_shop, noodle_house, toy_store, gym, hardware_store, burger_joint, cafe, tech_shop, pizzeria, florist, music_store, pharmacy, bakery, party_store, bike_shop : 56551
Saved path: noodle_house, grocery_store, bookstore, dentist, pizzeria, gym, pet_store, florist, gelateria, bank, pharmacy, bakery, bike_shop, barber_shop, salon : 64349
Saved path: jewelry_store, bike_shop, bakery, pharmacy, florist, pizzeria, dentist, cafe, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop : 54065
Saved path: pizzeria, tech_shop, grocery_store, cafe, bookstore, burger_joint, hardware_store, toy_store, noodle_house, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store : 56472
Saved path: noodle_house, clothing_store, cafe, bookstore, gym, craft_shop, pet_store, florist, gelateria, bank, music_store, jewelry_store, bike_shop, hardware_store, salon : 64174
Saved path: pharmacy, bakery, jewelry_store, bike_shop, barber_shop, salon, grocery_store, pizzeria, dentist, burger_joint, gym, pet_store, florist, gelateria, bank : 72314
Saved path: tech_shop, grocery_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, florist, gym, burger_joint, dentist : 56857
Saved path: florist, craft_shop, pizzeria, tech_shop, cafe, grocery_store, clothing_store, toy_store, salon, barber_shop, bakery, party_store, bike_shop, hardware_store, gym : 51453
Saved path: craft_shop, gym, burger_joint, cafe, tech_shop, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, bank, music_store, florist : 61691
Saved path: florist, pet_store, dentist, cafe, tech_shop, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, music_store : 67072
Saved path: burger_joint, hardware_store, gelateria, bank, music_store, jewelry_store, bakery, barber_shop, salon, toy_store, grocery_store, tech_shop, pizzeria, dentist, bookstore : 68748
Saved path: tech_shop, noodle_house, toy_store, barber_shop, bakery, pharmacy, music_store, bank, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, bookstore : 59212
Saved path: burger_joint, bakery, jewelry_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria, florist, gym : 66288
Saved path: salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, gelateria, craft_shop, hardware_store, bookstore, cafe, tech_shop, clothing_store : 57466
Saved path: bank, music_store, bike_shop, party_store, jewelry_store, salon, hardware_store, gym, burger_joint, cafe, tech_shop, dentist, pizzeria, craft_shop, gelateria : 69142
Saved path: party_store, bakery, pharmacy, bank, pet_store, gym, hardware_store, burger_joint, bookstore, dentist, pizzeria, grocery_store, toy_store, barber_shop, jewelry_store : 72048
Saved path: bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, dentist, cafe, hardware_store, gelateria, music_store : 61251
Saved path: tech_shop, cafe, burger_joint, bookstore, dentist, craft_shop, florist, gelateria, bank, music_store, bakery, hardware_store, toy_store, noodle_house, clothing_store : 48841
Saved path: pizzeria, dentist, tech_shop, grocery_store, cafe, bookstore, burger_joint, toy_store, gym, hardware_store, jewelry_store, party_store, bakery, bank, craft_shop : 64673
Saved path: hardware_store, burger_joint, cafe, grocery_store, noodle_house, salon, barber_shop, jewelry_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, craft_shop : 61602
Saved path: music_store, bank, gelateria, pet_store, pizzeria, dentist, tech_shop, grocery_store, clothing_store, bookstore, burger_joint, hardware_store, party_store, bike_shop, barber_shop : 68482
Saved path: noodle_house, clothing_store, tech_shop, pizzeria, pet_store, florist, music_store, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, toy_store : 67921
Saved path: barber_shop, salon, noodle_house, toy_store, burger_joint, bookstore, grocery_store, tech_shop, pizzeria, craft_shop, florist, pet_store, gym, hardware_store, bakery : 49819
Saved path: bookstore, burger_joint, clothing_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, bank, gelateria, craft_shop, pizzeria, dentist : 67194
Saved path: clothing_store, noodle_house, toy_store, burger_joint, bakery, party_store, jewelry_store, pharmacy, gelateria, music_store, florist, pet_store, dentist, tech_shop, grocery_store : 54258
Saved path: clothing_store, grocery_store, tech_shop, cafe, burger_joint, hardware_store, gym, craft_shop, music_store, gelateria, pharmacy, bakery, bike_shop, barber_shop, toy_store : 45362
Saved path: pharmacy, bank, florist, pet_store, pizzeria, dentist, grocery_store, noodle_house, salon, toy_store, burger_joint, gym, hardware_store, bike_shop, bakery : 62752
Saved path: music_store, pet_store, craft_shop, gym, burger_joint, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, party_store, jewelry_store, bike_shop : 57467
Saved path: music_store, bank, pet_store, dentist, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, gym, hardware_store, jewelry_store, party_store, pharmacy : 66031
Saved path: barber_shop, bike_shop, party_store, hardware_store, gym, pet_store, gelateria, music_store, florist, bookstore, cafe, grocery_store, clothing_store, noodle_house, salon : 55590
Saved path: hardware_store, gym, bike_shop, jewelry_store, bakery, pharmacy, gelateria, music_store, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, salon : 59473
Saved path: pet_store, florist, pharmacy, party_store, jewelry_store, barber_shop, salon, toy_store, clothing_store, dentist, cafe, burger_joint, hardware_store, gym, craft_shop : 59114
Saved path: dentist, pizzeria, grocery_store, clothing_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, florist, gym, hardware_store, burger_joint, cafe : 60245
Saved path: party_store, jewelry_store, salon, noodle_house, grocery_store, cafe, burger_joint, gym, craft_shop, pet_store, florist, music_store, pharmacy, bakery, bike_shop : 53700
Saved path: grocery_store, clothing_store, noodle_house, toy_store, bookstore, burger_joint, hardware_store, bakery, bike_shop, gelateria, bank, music_store, craft_shop, pizzeria, tech_shop : 52792
Saved path: craft_shop, bookstore, cafe, grocery_store, noodle_house, salon, toy_store, hardware_store, jewelry_store, party_store, bakery, bank, music_store, florist, pet_store : 63008
Saved path: grocery_store, cafe, burger_joint, noodle_house, salon, jewelry_store, bike_shop, bakery, gym, florist, gelateria, bank, pet_store, pizzeria, tech_shop : 68842
Saved path: music_store, bank, gelateria, florist, pet_store, pizzeria, dentist, burger_joint, gym, toy_store, salon, barber_shop, bakery, party_store, pharmacy : 67016
Saved path: pizzeria, craft_shop, pet_store, florist, bank, music_store, pharmacy, jewelry_store, burger_joint, toy_store, noodle_house, grocery_store, tech_shop, cafe, dentist : 63602
Saved path: jewelry_store, bike_shop, bakery, barber_shop, salon, hardware_store, burger_joint, bookstore, cafe, tech_shop, dentist, craft_shop, pet_store, gelateria, music_store : 60693
Saved path: noodle_house, toy_store, burger_joint, bookstore, pet_store, gelateria, music_store, florist, craft_shop, gym, hardware_store, party_store, bike_shop, barber_shop, salon : 57176
Saved path: pharmacy, bakery, bike_shop, barber_shop, salon, hardware_store, burger_joint, clothing_store, grocery_store, dentist, craft_shop, pet_store, florist, bank, gelateria : 59782
Saved path: tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bakery, pharmacy, gelateria, bank, pet_store, craft_shop, pizzeria, dentist : 64872
Saved path: burger_joint, bookstore, dentist, pizzeria, tech_shop, grocery_store, clothing_store, salon, barber_shop, bike_shop, pharmacy, gelateria, music_store, florist, gym : 53501
Saved path: dentist, cafe, bookstore, tech_shop, grocery_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, pet_store, craft_shop : 57747
Saved path: pizzeria, craft_shop, florist, music_store, bank, gelateria, barber_shop, bike_shop, jewelry_store, party_store, bakery, hardware_store, bookstore, clothing_store, tech_shop : 67713
Saved path: hardware_store, burger_joint, cafe, grocery_store, clothing_store, noodle_house, salon, barber_shop, party_store, pharmacy, gelateria, florist, pet_store, craft_shop, gym : 50242
