Saved path: gelateria, pharmacy, bakery, party_store, hardware_store, toy_store, salon, noodle_house, clothing_store, grocery_store, bookstore, tech_shop, pizzeria, craft_shop, pet_store : 53655
Saved path: gelateria, florist, craft_shop, pizzeria, dentist, cafe, bookstore, noodle_house, salon, toy_store, gym, party_store, jewelry_store, music_store, bank : 66818
Saved path: bike_shop, hardware_store, gym, toy_store, salon, noodle_house, clothing_store, bookstore, burger_joint, dentist, pizzeria, craft_shop, music_store, pharmacy, party_store : 57542
Saved path: pet_store, gym, hardware_store, burger_joint, bookstore, dentist, pizzeria, tech_shop, noodle_house, barber_shop, jewelry_store, party_store, bakery, music_store, florist : 64802
Saved path: grocery_store, tech_shop, bookstore, burger_joint, gym, pet_store, florist, gelateria, pharmacy, party_store, jewelry_store, hardware_store, toy_store, salon, noodle_house : 56106
Saved path: gym, hardware_store, burger_joint, bookstore, dentist, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, florist, pet_store : 60420
Saved path: salon, noodle_house, clothing_store, grocery_store, burger_joint, bookstore, craft_shop, pet_store, florist, gelateria, bank, music_store, pharmacy, jewelry_store, hardware_store : 60934
Saved path: bank, music_store, pharmacy, bakery, bike_shop, barber_shop, salon, noodle_house, toy_store, burger_joint, cafe, tech_shop, pizzeria, craft_shop, pet_store : 57344
Saved path: grocery_store, clothing_store, noodle_house, salon, toy_store, gym, jewelry_store, gelateria, florist, craft_shop, pizzeria, dentist, cafe, burger_joint, bookstore : 57147
Saved path: hardware_store, salon, noodle_house, grocery_store, pizzeria, dentist, bookstore, burger_joint, gym, music_store, bank, gelateria, pharmacy, party_store, bike_shop : 66226
Saved path: music_store, bank, gelateria, florist, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, burger_joint, hardware_store, salon, barber_shop, party_store : 67185
Saved path: bike_shop, bakery, pharmacy, florist, pet_store, craft_shop, pizzeria, dentist, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, hardware_store, barber_shop : 51683
Saved path: cafe, dentist, pizzeria, craft_shop, florist, music_store, bike_shop, party_store, bakery, hardware_store, gym, burger_joint, bookstore, noodle_house, clothing_store : 51950
Saved path: gym, hardware_store, party_store, jewelry_store, bike_shop, pharmacy, florist, craft_shop, dentist, cafe, tech_shop, grocery_store, noodle_house, bookstore, burger_joint : 52060
Saved path: florist, music_store, bank, bakery, bike_shop, party_store, hardware_store, gym, bookstore, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop : 60311
Saved path: toy_store, salon, jewelry_store, bike_shop, bakery, gym, pet_store, gelateria, music_store, florist, pizzeria, dentist, cafe, bookstore, burger_joint : 63180
Saved path: bookstore, cafe, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bakery, pharmacy, music_store, gelateria, pet_store, craft_shop, gym : 55601
Saved path: craft_shop, gym, bookstore, cafe, dentist, pizzeria, tech_shop, clothing_store, salon, barber_shop, jewelry_store, party_store, bakery, bank, florist : 69533
Saved path: jewelry_store, pharmacy, music_store, florist, pet_store, gym, hardware_store, burger_joint, dentist, tech_shop, noodle_house, toy_store, salon, barber_shop, bike_shop : 63662
Saved path: toy_store, noodle_house, clothing_store, tech_shop, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, gym : 62632
Saved path: bike_shop, bakery, pharmacy, gelateria, music_store, craft_shop, bookstore, burger_joint, cafe, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store : 53577
Saved path: gym, bookstore, dentist, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, music_store : 68040
Saved path: hardware_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, gym, craft_shop, pet_store, florist, music_store, bakery, bike_shop, jewelry_store : 54496
Saved path: clothing_store, salon, barber_shop, bakery, party_store, pharmacy, bank, florist, craft_shop, pizzeria, gym, burger_joint, bookstore, cafe, grocery_store : 63609
Saved path: hardware_store, salon, toy_store, burger_joint, bookstore, cafe, tech_shop, grocery_store, dentist, craft_shop, gelateria, music_store, pharmacy, party_store, jewelry_store : 56783
Saved path: bookstore, cafe, dentist, clothing_store, salon, barber_shop, bakery, bike_shop, music_store, gelateria, pet_store, craft_shop, gym, hardware_store, burger_joint : 54245
Saved path: pizzeria, dentist, cafe, burger_joint, bookstore, grocery_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, pet_store, craft_shop : 58698
Saved path: grocery_store, clothing_store, noodle_house, salon, hardware_store, bike_shop, music_store, florist, pet_store, craft_shop, pizzeria, dentist, bookstore, cafe, tech_shop : 51744
Saved path: pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store, toy_store, noodle_house, salon, barber_shop, bakery, party_store, bike_shop, gelateria, pet_store : 58886
Saved path: cafe, bookstore, toy_store, gym, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, dentist, tech_shop : 63982
Saved path: noodle_house, clothing_store, tech_shop, cafe, burger_joint, dentist, pizzeria, craft_shop, pet_store, music_store, bike_shop, party_store, jewelry_store, barber_shop, salon : 62627
Saved path: barber_shop, bike_shop, jewelry_store, party_store, bakery, bank, gelateria, florist, pet_store, craft_shop, gym, hardware_store, tech_shop, grocery_store, clothing_store : 66408
Saved path: music_store, gelateria, florist, gym, burger_joint, cafe, dentist, pizzeria, grocery_store, clothing_store, salon, hardware_store, bike_shop, bakery, pharmacy : 51232
Saved path: hardware_store, party_store, jewelry_store, bakery, pharmacy, bank, music_store, florist, bookstore, cafe, tech_shop, grocery_store, noodle_house, salon, toy_store : 59287
Saved path: bookstore, cafe, burger_joint, hardware_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, clothing_store, grocery_store, pizzeria, craft_shop : 52614
Saved path: bank, pet_store, craft_shop, pizzeria, tech_shop, cafe, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, hardware_store, party_store, bakery : 62854
Saved path: grocery_store, tech_shop, dentist, craft_shop, florist, gelateria, bank, music_store, pharmacy, party_store, bakery, barber_shop, salon, hardware_store, toy_store : 60931
Saved path: barber_shop, salon, toy_store, burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop, gym, hardware_store, bakery, party_store, jewelry_store, bike_shop : 45515
Saved path: craft_shop, florist, music_store, pharmacy, bakery, party_store, bike_shop, hardware_store, toy_store, grocery_store, tech_shop, cafe, bookstore, dentist, pizzeria : 49472
Saved path: bike_shop, bakery, pharmacy, bank, florist, pet_store, gym, hardware_store, bookstore, cafe, tech_shop, grocery_store, toy_store, barber_shop, jewelry_store : 66477
Saved path: tech_shop, toy_store, salon, hardware_store, party_store, bike_shop, gelateria, bank, music_store, florist, craft_shop, gym, burger_joint, bookstore, cafe : 59133
Saved path: bank, music_store, pharmacy, bakery, bike_shop, barber_shop, salon, hardware_store, burger_joint, bookstore, grocery_store, dentist, pizzeria, craft_shop, florist : 59454
Saved path: gym, hardware_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, burger_joint, cafe, tech_shop, pizzeria, craft_shop : 51515
Saved path: noodle_house, clothing_store, cafe, hardware_store, craft_shop, florist, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store : 54733
Saved path: jewelry_store, bakery, pharmacy, music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop : 57620
Saved path: craft_shop, pizzeria, cafe, bookstore, burger_joint, gym, toy_store, noodle_house, salon, barber_shop, party_store, pharmacy, gelateria, music_store, florist : 56887
Saved path: hardware_store, gym, burger_joint, bookstore, cafe, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, barber_shop, bike_shop : 60578
Saved path: party_store, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, bookstore, hardware_store, gym, craft_shop, pet_store, florist, pharmacy : 59043
Saved path: clothing_store, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, gelateria, craft_shop, gym, hardware_store, cafe, dentist, grocery_store : 59520
Saved path: toy_store, gym, craft_shop, florist, gelateria, bank, pharmacy, hardware_store, burger_joint, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, salon : 48767
Saved path: cafe, burger_joint, bookstore, craft_shop, florist, gelateria, bank, music_store, pharmacy, party_store, jewelry_store, barber_shop, salon, toy_store, grocery_store : 59796
Saved path: grocery_store, dentist, bookstore, hardware_store, gym, florist, bank, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store : 68289
Saved path: florist, pizzeria, tech_shop, cafe, bookstore, grocery_store, clothing_store, toy_store, hardware_store, bike_shop, bakery, pharmacy, gelateria, bank, music_store : 51519
Saved path: noodle_house, toy_store, gym, florist, bank, music_store, bike_shop, party_store, bakery, burger_joint, cafe, dentist, pizzeria, tech_shop, grocery_store : 60895
Saved path: cafe, dentist, tech_shop, clothing_store, salon, barber_shop, bike_shop, jewelry_store, music_store, bank, florist, craft_shop, gym, hardware_store, burger_joint : 67595
Saved path: music_store, florist, craft_shop, pizzeria, dentist, tech_shop, noodle_house, bookstore, burger_joint, hardware_store, bakery, bike_shop, jewelry_store, gelateria, bank : 62283
Saved path: bookstore, cafe, tech_shop, pizzeria, florist, music_store, gelateria, pet_store, gym, bike_shop, bakery, barber_shop, salon, noodle_house, toy_store : 57124
Saved path: hardware_store, party_store, jewelry_store, gelateria, bank, music_store, florist, pet_store, craft_shop, dentist, grocery_store, noodle_house, salon, toy_store, burger_joint : 66109
Saved path: hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, florist, gelateria, pet_store, gym, bike_shop, party_store : 58948
Saved path: craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store, party_store, jewelry_store, bakery, pharmacy, gelateria, music_store : 55158
Saved path: bike_shop, jewelry_store, party_store, bakery, barber_shop, toy_store, tech_shop, dentist, pizzeria, craft_shop, florist, music_store, gelateria, gym, hardware_store : 63283
Saved path: bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, burger_joint, bookstore, cafe, grocery_store, dentist, pizzeria, craft_shop, florist, gelateria : 52869
Saved path: gelateria, pet_store, craft_shop, pizzeria, dentist, grocery_store, tech_shop, cafe, bookstore, hardware_store, toy_store, salon, barber_shop, jewelry_store, party_store : 63139
Saved path: tech_shop, pizzeria, craft_shop, pet_store, gelateria, florist, gym, hardware_store, bakery, jewelry_store, salon, clothing_store, grocery_store, burger_joint, cafe : 59051
Saved path: bike_shop, jewelry_store, gelateria, bank, music_store, florist, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, cafe, bookstore, burger_joint, barber_shop : 68564
Saved path: barber_shop, toy_store, grocery_store, pizzeria, dentist, cafe, bookstore, burger_joint, gym, florist, bank, gelateria, jewelry_store, bike_shop, bakery : 69169
Saved path: salon, barber_shop, party_store, jewelry_store, music_store, bank, gelateria, florist, gym, burger_joint, cafe, pizzeria, tech_shop, grocery_store, toy_store : 67785
