Saved path: music_store, bank, gelateria, pet_store, pizzeria, dentist, burger_joint, bookstore, grocery_store, clothing_store, toy_store, salon, barber_shop, bakery, jewelry_store : 68107
Saved path: grocery_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, bike_shop, pharmacy, music_store, gelateria, pet_store, gym, toy_store, noodle_house, clothing_store : 43939
Saved path: barber_shop, salon, toy_store, clothing_store, grocery_store, pizzeria, dentist, burger_joint, gym, florist, gelateria, music_store, bike_shop, party_store, jewelry_store : 63271
Saved path: noodle_house, salon, barber_shop, bike_shop, pharmacy, bank, pet_store, gym, hardware_store, burger_joint, bookstore, cafe, dentist, tech_shop, clothing_store : 60946
Saved path: tech_shop, bookstore, burger_joint, noodle_house, salon, toy_store, gym, party_store, pharmacy, bank, music_store, florist, craft_shop, pizzeria, dentist : 65441
Saved path: bookstore, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, music_store, craft_shop, pizzeria, tech_shop, burger_joint : 54693
Saved path: grocery_store, bookstore, burger_joint, dentist, pizzeria, pet_store, bank, gelateria, pharmacy, bike_shop, party_store, hardware_store, salon, toy_store, clothing_store : 64995
Saved path: craft_shop, gym, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, pharmacy, bank, florist, pet_store : 64563
Saved path: bakery, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, bookstore, gym, craft_shop, pet_store, florist, bank, pharmacy : 66160
Saved path: bakery, pharmacy, gelateria, florist, craft_shop, dentist, cafe, grocery_store, noodle_house, toy_store, burger_joint, gym, hardware_store, bike_shop, jewelry_store : 50515
Saved path: bookstore, burger_joint, cafe, grocery_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria, pet_store : 61069
Saved path: gelateria, pharmacy, barber_shop, bike_shop, jewelry_store, hardware_store, burger_joint, toy_store, clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop, florist : 56086
Saved path: gym, bike_shop, bakery, pharmacy, gelateria, music_store, florist, craft_shop, dentist, cafe, burger_joint, bookstore, clothing_store, noodle_house, toy_store : 45178
Saved path: florist, gelateria, pharmacy, bakery, bike_shop, jewelry_store, party_store, burger_joint, bookstore, noodle_house, grocery_store, tech_shop, pizzeria, craft_shop, pet_store : 54790
Saved path: party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, bookstore, burger_joint, cafe, dentist, craft_shop, gelateria, pharmacy : 53594
Saved path: toy_store, grocery_store, tech_shop, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, jewelry_store, hardware_store, salon : 68610
Saved path: gelateria, music_store, florist, pet_store, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, salon, hardware_store, gym, jewelry_store, pharmacy : 61864
Saved path: cafe, bookstore, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank, florist, pet_store, dentist : 69816
Saved path: pet_store, gelateria, bank, music_store, bakery, bike_shop, party_store, jewelry_store, salon, toy_store, noodle_house, tech_shop, bookstore, burger_joint, gym : 65423
Saved path: noodle_house, clothing_store, tech_shop, pizzeria, cafe, bookstore, hardware_store, gym, craft_shop, pet_store, gelateria, music_store, pharmacy, barber_shop, toy_store : 52893
Saved path: florist, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, music_store : 61189
Saved path: bookstore, cafe, pizzeria, craft_shop, florist, gelateria, pharmacy, bakery, jewelry_store, party_store, hardware_store, salon, noodle_house, toy_store, burger_joint : 54059
Saved path: pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, clothing_store, toy_store, salon, barber_shop, bakery, bike_shop, jewelry_store, gelateria, florist : 59355
Saved path: pizzeria, florist, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, toy_store, burger_joint, bookstore, dentist : 67788
Saved path: party_store, bakery, barber_shop, salon, toy_store, noodle_house, grocery_store, dentist, hardware_store, gym, pet_store, gelateria, bank, music_store, pharmacy : 65495
Saved path: bank, music_store, pharmacy, party_store, jewelry_store, barber_shop, noodle_house, tech_shop, cafe, burger_joint, hardware_store, gym, craft_shop, pet_store, gelateria : 63193
Saved path: cafe, dentist, craft_shop, pet_store, bank, music_store, florist, gym, hardware_store, bakery, bike_shop, jewelry_store, barber_shop, clothing_store, tech_shop : 67667
Saved path: bike_shop, jewelry_store, party_store, hardware_store, bank, music_store, florist, craft_shop, pizzeria, tech_shop, cafe, bookstore, noodle_house, salon, barber_shop : 69862
Saved path: jewelry_store, party_store, bakery, gym, toy_store, salon, noodle_house, clothing_store, cafe, tech_shop, pizzeria, craft_shop, florist, music_store, gelateria : 57708
Saved path: bakery, party_store, jewelry_store, barber_shop, salon, toy_store, hardware_store, burger_joint, cafe, tech_shop, dentist, pizzeria, pet_store, music_store, pharmacy : 63061
Saved path: pet_store, craft_shop, pizzeria, tech_shop, bookstore, grocery_store, clothing_store, salon, toy_store, gym, bike_shop, bakery, pharmacy, gelateria, bank : 60148
Saved path: pizzeria, bookstore, grocery_store, clothing_store, noodle_house, salon, hardware_store, gym, bakery, party_store, jewelry_store, gelateria, bank, music_store, florist : 66592
Saved path: toy_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, bank, florist, pizzeria, cafe, bookstore, burger_joint, gym : 69828
Saved path: bakery, pharmacy, florist, pet_store, craft_shop, gym, bookstore, cafe, tech_shop, grocery_store, clothing_store, burger_joint, hardware_store, bike_shop, jewelry_store : 49369
Saved path: music_store, bakery, jewelry_store, party_store, hardware_store, gym, burger_joint, salon, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, florist, bank : 65561
Saved path: gelateria, pharmacy, bakery, bike_shop, party_store, hardware_store, salon, toy_store, clothing_store, bookstore, dentist, craft_shop, florist, music_store, bank : 59506
Saved path: music_store, florist, gym, bakery, barber_shop, salon, clothing_store, grocery_store, bookstore, burger_joint, pizzeria, craft_shop, pet_store, gelateria, bank : 60788
Saved path: toy_store, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, bank, gelateria, gym, hardware_store, party_store, bakery, barber_shop : 67205
Saved path: craft_shop, pet_store, florist, bank, music_store, pharmacy, bakery, bike_shop, hardware_store, salon, toy_store, clothing_store, tech_shop, cafe, bookstore : 54842
Saved path: bike_shop, jewelry_store, party_store, pharmacy, bank, florist, pet_store, craft_shop, pizzeria, burger_joint, bookstore, clothing_store, noodle_house, toy_store, gym : 68896
Saved path: cafe, bookstore, noodle_house, clothing_store, grocery_store, pizzeria, craft_shop, music_store, gelateria, pharmacy, jewelry_store, bike_shop, hardware_store, gym, burger_joint : 55671
Saved path: gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, bank, florist : 62052
Saved path: clothing_store, grocery_store, bookstore, burger_joint, dentist, pizzeria, music_store, bank, gelateria, bike_shop, jewelry_store, party_store, bakery, hardware_store, toy_store : 63449
Saved path: bookstore, cafe, grocery_store, pizzeria, craft_shop, pet_store, bank, gelateria, bakery, jewelry_store, barber_shop, salon, noodle_house, toy_store, hardware_store : 69143
Saved path: barber_shop, toy_store, noodle_house, clothing_store, bookstore, burger_joint, gym, pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy, bakery, bike_shop : 55528
Saved path: grocery_store, clothing_store, noodle_house, salon, bookstore, burger_joint, party_store, bakery, bank, gelateria, florist, pet_store, craft_shop, pizzeria, tech_shop : 64094
Saved path: burger_joint, bookstore, dentist, pizzeria, tech_shop, grocery_store, noodle_house, salon, toy_store, hardware_store, bike_shop, party_store, pharmacy, pet_store, gym : 60094
Saved path: grocery_store, tech_shop, pizzeria, dentist, burger_joint, gym, craft_shop, gelateria, music_store, pharmacy, bike_shop, party_store, jewelry_store, salon, toy_store : 61835
Saved path: pet_store, bank, gelateria, florist, gym, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, bookstore, dentist, pizzeria : 72333
Saved path: pet_store, florist, pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, cafe, bookstore, burger_joint, hardware_store : 55026
Saved path: dentist, bookstore, burger_joint, tech_shop, clothing_store, noodle_house, salon, toy_store, hardware_store, jewelry_store, pharmacy, music_store, bank, pet_store, pizzeria : 68289
Saved path: dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bakery, bike_shop, gelateria, bank, gym, hardware_store, burger_joint, cafe : 57827
Saved path: pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, salon, hardware_store, bike_shop, jewelry_store, pharmacy, music_store, bank, gelateria, pet_store : 65921
Saved path: craft_shop, pet_store, gelateria, bank, music_store, party_store, gym, burger_joint, bookstore, cafe, salon, clothing_store, grocery_store, tech_shop, pizzeria : 66109
Saved path: florist, pet_store, pizzeria, tech_shop, cafe, grocery_store, clothing_store, toy_store, hardware_store, salon, barber_shop, bike_shop, bakery, gelateria, music_store : 55665
Saved path: pet_store, craft_shop, pizzeria, dentist, bookstore, burger_joint, toy_store, salon, hardware_store, gym, jewelry_store, bakery, pharmacy, music_store, gelateria : 60981
Saved path: craft_shop, dentist, tech_shop, clothing_store, noodle_house, toy_store, hardware_store, bakery, party_store, jewelry_store, bike_shop, music_store, bank, gelateria, pet_store : 61434
Saved path: grocery_store, tech_shop, dentist, cafe, bookstore, burger_joint, gym, pet_store, bank, gelateria, pharmacy, bakery, jewelry_store, salon, noodle_house : 64244
Saved path: bank, music_store, jewelry_store, party_store, hardware_store, toy_store, salon, noodle_house, clothing_store, bookstore, dentist, pizzeria, pet_store, florist, gelateria : 70053
Saved path: party_store, jewelry_store, gym, toy_store, noodle_house, clothing_store, tech_shop, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, gelateria, pharmacy : 55246
Saved path: party_store, bike_shop, barber_shop, toy_store, grocery_store, bookstore, burger_joint, hardware_store, gym, craft_shop, pet_store, florist, gelateria, bank, music_store : 63524
Saved path: pizzeria, dentist, cafe, burger_joint, hardware_store, gelateria, music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, clothing_store, grocery_store, tech_shop : 58891
Saved path: tech_shop, grocery_store, clothing_store, toy_store, barber_shop, party_store, bakery, pharmacy, bank, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore : 62630
Saved path: gelateria, bank, pet_store, gym, bookstore, dentist, pizzeria, tech_shop, clothing_store, noodle_house, salon, jewelry_store, bike_shop, bakery, pharmacy : 68960
Saved path: bank, music_store, pharmacy, bakery, barber_shop, noodle_house, tech_shop, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, florist, gelateria : 52840
Saved path: jewelry_store, barber_shop, hardware_store, gym, burger_joint, bookstore, cafe, tech_shop, pizzeria, pet_store, florist, bank, gelateria, pharmacy, party_store : 70731
Saved path: clothing_store, cafe, bookstore, burger_joint, hardware_store, gym, pizzeria, craft_shop, pet_store, gelateria, pharmacy, party_store, bakery, barber_shop, toy_store : 57786
Saved path: dentist, cafe, burger_joint, gym, hardware_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, gelateria, pet_store, craft_shop : 59800
Saved path: tech_shop, bookstore, hardware_store, gym, craft_shop, pet_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store : 65904
