Saved path: pet_store, gelateria, pharmacy, jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, cafe, dentist, pizzeria : 55981
Saved path: florist, gelateria, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, noodle_house, grocery_store, cafe, bookstore, gym, craft_shop, pet_store : 55913
Saved path: noodle_house, tech_shop, cafe, dentist, craft_shop, florist, gelateria, bank, music_store, bakery, bike_shop, jewelry_store, barber_shop, hardware_store, toy_store : 65722
Saved path: jewelry_store, bakery, barber_shop, salon, toy_store, clothing_store, grocery_store, pizzeria, dentist, cafe, bookstore, burger_joint, gym, craft_shop, music_store : 59817
Saved path: toy_store, salon, hardware_store, gym, bike_shop, jewelry_store, party_store, bakery, bank, gelateria, florist, craft_shop, dentist, cafe, clothing_store : 65017
Saved path: hardware_store, bike_shop, jewelry_store, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store, pizzeria, cafe, clothing_store, noodle_house, barber_shop : 69405
Saved path: gym, craft_shop, pizzeria, dentist, cafe, tech_shop, toy_store, salon, barber_shop, bike_shop, bakery, pharmacy, gelateria, bank, music_store : 60215
Saved path: salon, noodle_house, clothing_store, grocery_store, bookstore, cafe, pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy, bakery, bike_shop, barber_shop : 50605
Saved path: bakery, music_store, bank, gelateria, pet_store, gym, craft_shop, pizzeria, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store : 69524
Saved path: party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, burger_joint, gym, craft_shop, pet_store, bank : 63094
Saved path: craft_shop, florist, music_store, gelateria, pharmacy, bakery, bike_shop, barber_shop, salon, grocery_store, dentist, cafe, bookstore, burger_joint, gym : 49961
Saved path: cafe, dentist, grocery_store, clothing_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, gym, hardware_store, bookstore : 58663
Saved path: dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, bike_shop, hardware_store, gym, florist, music_store, gelateria : 52082
Saved path: bookstore, cafe, grocery_store, clothing_store, toy_store, gym, craft_shop, pet_store, gelateria, bank, music_store, jewelry_store, party_store, hardware_store, burger_joint : 58394
Saved path: bike_shop, jewelry_store, party_store, bakery, burger_joint, bookstore, noodle_house, clothing_store, cafe, dentist, pet_store, florist, music_store, bank, gelateria : 63876
Saved path: burger_joint, toy_store, salon, noodle_house, tech_shop, pizzeria, pet_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym : 60490
Saved path: pharmacy, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, burger_joint, noodle_house, clothing_store, grocery_store, cafe, pizzeria, pet_store, gelateria, music_store : 63635
Saved path: dentist, burger_joint, cafe, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bakery, jewelry_store, hardware_store, florist, pet_store, pizzeria : 60979
Saved path: dentist, cafe, grocery_store, clothing_store, noodle_house, salon, hardware_store, gym, bike_shop, party_store, bakery, music_store, gelateria, pet_store, craft_shop : 55242
Saved path: florist, gelateria, bank, bakery, bike_shop, party_store, hardware_store, salon, noodle_house, clothing_store, tech_shop, bookstore, burger_joint, cafe, dentist : 60836
Saved path: bank, music_store, pharmacy, party_store, gym, burger_joint, bookstore, noodle_house, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store : 61429
Saved path: jewelry_store, bakery, pharmacy, gelateria, bank, music_store, florist, craft_shop, gym, cafe, tech_shop, clothing_store, noodle_house, salon, barber_shop : 58458
Saved path: craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, bookstore, burger_joint, gym, hardware_store, bike_shop, music_store, bank : 56627
Saved path: cafe, bookstore, burger_joint, gym, music_store, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, salon, toy_store, clothing_store, tech_shop, pizzeria : 60975
Saved path: party_store, jewelry_store, salon, noodle_house, grocery_store, dentist, burger_joint, gym, craft_shop, music_store, bank, gelateria, pharmacy, bakery, bike_shop : 64417
Saved path: salon, noodle_house, burger_joint, cafe, grocery_store, tech_shop, pizzeria, pet_store, florist, music_store, gelateria, bike_shop, party_store, bakery, hardware_store : 57878
Saved path: pizzeria, cafe, bookstore, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, hardware_store, gym, florist, craft_shop : 56336
Saved path: pizzeria, dentist, tech_shop, clothing_store, noodle_house, bookstore, burger_joint, hardware_store, jewelry_store, party_store, bakery, pharmacy, bank, pet_store, craft_shop : 63173
Saved path: music_store, florist, pet_store, craft_shop, pizzeria, dentist, burger_joint, bookstore, tech_shop, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, pharmacy : 61223
Saved path: dentist, pizzeria, craft_shop, florist, bank, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, hardware_store, toy_store, grocery_store, cafe : 69218
Saved path: bank, music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, cafe, bookstore, gym, pet_store, gelateria : 60780
Saved path: bike_shop, bakery, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, dentist, cafe, clothing_store, noodle_house, salon, hardware_store, gym : 49466
Saved path: pharmacy, music_store, bank, gelateria, pet_store, gym, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop : 55812
Saved path: pet_store, bank, gelateria, bakery, barber_shop, salon, noodle_house, grocery_store, tech_shop, pizzeria, cafe, burger_joint, hardware_store, gym, craft_shop : 58458
Saved path: noodle_house, clothing_store, grocery_store, cafe, burger_joint, hardware_store, craft_shop, florist, bank, gelateria, pharmacy, party_store, jewelry_store, barber_shop, toy_store : 60777
Saved path: toy_store, grocery_store, tech_shop, cafe, bookstore, hardware_store, gym, pet_store, florist, gelateria, bank, pharmacy, party_store, bike_shop, barber_shop : 63609
Saved path: jewelry_store, bike_shop, bakery, music_store, gelateria, pet_store, burger_joint, cafe, tech_shop, clothing_store, noodle_house, salon, toy_store, hardware_store, party_store : 57521
Saved path: pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy, party_store, barber_shop, toy_store, hardware_store, burger_joint, bookstore, cafe, clothing_store, grocery_store : 58839
Saved path: music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, cafe, burger_joint, craft_shop, pet_store, bank : 63302
Saved path: gelateria, florist, pet_store, craft_shop, dentist, tech_shop, grocery_store, bookstore, burger_joint, gym, bike_shop, jewelry_store, party_store, pharmacy, bank : 64432
Saved path: noodle_house, clothing_store, grocery_store, dentist, pizzeria, craft_shop, florist, music_store, bank, gelateria, pharmacy, bakery, jewelry_store, hardware_store, gym : 59581
Saved path: burger_joint, bookstore, clothing_store, noodle_house, barber_shop, bakery, pharmacy, gelateria, music_store, florist, pet_store, craft_shop, pizzeria, gym, hardware_store : 53619
Saved path: party_store, bike_shop, salon, noodle_house, grocery_store, dentist, cafe, burger_joint, gym, pet_store, florist, music_store, gelateria, pharmacy, bakery : 57124
Saved path: clothing_store, grocery_store, tech_shop, dentist, burger_joint, gym, craft_shop, pet_store, florist, music_store, pharmacy, barber_shop, salon, toy_store, noodle_house : 48895
Saved path: burger_joint, bookstore, cafe, dentist, grocery_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, bank, florist, gym, hardware_store : 67444
Saved path: hardware_store, bike_shop, bakery, pharmacy, gelateria, bank, florist, pet_store, craft_shop, pizzeria, burger_joint, bookstore, clothing_store, noodle_house, salon : 59649
Saved path: pizzeria, grocery_store, cafe, bookstore, burger_joint, salon, barber_shop, bakery, bike_shop, hardware_store, gym, florist, gelateria, pet_store, craft_shop : 54797
Saved path: noodle_house, burger_joint, cafe, dentist, pizzeria, craft_shop, gym, pet_store, florist, music_store, pharmacy, jewelry_store, bike_shop, barber_shop, salon : 62663
Saved path: bakery, bike_shop, jewelry_store, music_store, bank, gelateria, pet_store, craft_shop, hardware_store, burger_joint, grocery_store, noodle_house, toy_store, salon, barber_shop : 65325
Saved path: salon, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, cafe, dentist, pizzeria, florist, music_store, gelateria, pharmacy, party_store, hardware_store : 53113
Saved path: jewelry_store, party_store, music_store, florist, gym, hardware_store, bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store, toy_store, barber_shop, bike_shop : 63099
Saved path: party_store, bike_shop, barber_shop, salon, toy_store, grocery_store, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop, music_store, pharmacy, bakery : 56416
Saved path: dentist, pizzeria, craft_shop, florist, music_store, bank, bakery, hardware_store, toy_store, salon, noodle_house, grocery_store, bookstore, burger_joint, cafe : 55197
Saved path: salon, barber_shop, bike_shop, pharmacy, music_store, pet_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, burger_joint, toy_store, clothing_store, noodle_house : 53413
Saved path: bike_shop, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, dentist, cafe, bookstore, burger_joint, gym, pet_store, bank, music_store : 69160
Saved path: dentist, pizzeria, craft_shop, florist, gelateria, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, salon, toy_store, clothing_store, burger_joint, cafe : 56358
Saved path: bakery, salon, toy_store, grocery_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, pet_store, florist, bank, gelateria, pharmacy : 61315
Saved path: pharmacy, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, toy_store, hardware_store, burger_joint, bookstore, cafe, tech_shop, pizzeria, craft_shop, bank : 68749
Saved path: pizzeria, dentist, cafe, tech_shop, grocery_store, noodle_house, salon, barber_shop, bakery, bike_shop, party_store, hardware_store, burger_joint, bookstore, craft_shop : 43897
Saved path: bank, gelateria, bike_shop, bakery, gym, hardware_store, salon, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store : 60399
Saved path: dentist, craft_shop, florist, bank, music_store, jewelry_store, bakery, barber_shop, salon, hardware_store, burger_joint, bookstore, noodle_house, clothing_store, tech_shop : 66977
Saved path: pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, gym, hardware_store, party_store, jewelry_store, bike_shop, gelateria, music_store, florist : 55815
Saved path: pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, pharmacy, bank, music_store, florist, pet_store, craft_shop : 61825
Saved path: pharmacy, bakery, party_store, bike_shop, barber_shop, salon, clothing_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, hardware_store, gym, music_store : 58060
Saved path: gelateria, pet_store, gym, hardware_store, party_store, jewelry_store, salon, noodle_house, burger_joint, cafe, dentist, pizzeria, craft_shop, florist, music_store : 62495
Saved path: pizzeria, tech_shop, grocery_store, clothing_store, bookstore, hardware_store, toy_store, barber_shop, jewelry_store, bike_shop, bakery, gelateria, music_store, florist, craft_shop : 60641
Saved path: gym, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, salon, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, bank, florist : 61829
Saved path: burger_joint, clothing_store, toy_store, salon, barber_shop, bakery, bike_shop, gym, florist, gelateria, bank, pet_store, dentist, cafe, bookstore : 61617
Saved path: barber_shop, jewelry_store, bike_shop, bakery, bank, music_store, florist, craft_shop, gym, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store : 61385
Saved path: pizzeria, dentist, burger_joint, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bakery, bike_shop, music_store, florist, craft_shop : 47863
Saved path: toy_store, noodle_house, clothing_store, grocery_store, burger_joint, bookstore, pet_store, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store : 57848
Saved path: barber_shop, toy_store, clothing_store, tech_shop, bookstore, burger_joint, gym, pet_store, florist, bank, music_store, pharmacy, bakery, party_store, bike_shop : 62515
Saved path: pet_store, florist, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, cafe, hardware_store, gym, pizzeria, craft_shop : 62205
Saved path: grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, gym, pet_store, music_store, bike_shop, party_store, jewelry_store, barber_shop, toy_store, clothing_store : 64328
Saved path: barber_shop, toy_store, noodle_house, grocery_store, cafe, burger_joint, gym, craft_shop, pet_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store : 60773
Saved path: burger_joint, gym, pet_store, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, dentist : 61689
Saved path: bike_shop, barber_shop, salon, hardware_store, gym, burger_joint, cafe, grocery_store, tech_shop, pizzeria, florist, music_store, bank, bakery, party_store : 65320
Saved path: bank, music_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house, cafe, dentist, craft_shop, gym, gelateria : 67348
