Saved path: burger_joint, bookstore, cafe, tech_shop, dentist, craft_shop, pet_store, florist, gelateria, jewelry_store, party_store, bakery, barber_shop, salon, hardware_store : 59361
Saved path: gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, clothing_store, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, bank : 67999
Saved path: noodle_house, clothing_store, grocery_store, dentist, pizzeria, craft_shop, florist, bank, gelateria, barber_shop, party_store, hardware_store, gym, burger_joint, toy_store : 65793
Saved path: pet_store, gym, hardware_store, bike_shop, jewelry_store, salon, noodle_house, clothing_store, toy_store, burger_joint, bookstore, dentist, pizzeria, florist, gelateria : 63989
Saved path: clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery, hardware_store, bookstore, florist, pizzeria, dentist, tech_shop, grocery_store : 58774
Saved path: music_store, bakery, party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, bookstore, burger_joint, hardware_store, pet_store, florist : 54421
Saved path: toy_store, noodle_house, clothing_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria, party_store, bakery, gym, burger_joint : 58817
Saved path: salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, burger_joint, hardware_store, gym, craft_shop, music_store, bank, pharmacy, bakery, barber_shop : 57212
Saved path: hardware_store, bike_shop, party_store, bakery, bank, gelateria, craft_shop, gym, burger_joint, cafe, dentist, tech_shop, grocery_store, clothing_store, salon : 61974
Saved path: tech_shop, cafe, bookstore, dentist, craft_shop, pet_store, music_store, pharmacy, bakery, jewelry_store, hardware_store, toy_store, salon, noodle_house, clothing_store : 57456
Saved path: pharmacy, music_store, bank, gelateria, pet_store, burger_joint, tech_shop, grocery_store, noodle_house, salon, toy_store, hardware_store, party_store, bike_shop, bakery : 60576
Saved path: hardware_store, gym, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint : 62413
Saved path: pizzeria, dentist, bookstore, burger_joint, gym, toy_store, salon, barber_shop, bike_shop, pharmacy, gelateria, bank, music_store, florist, craft_shop : 60156
Saved path: bookstore, dentist, pizzeria, tech_shop, grocery_store, clothing_store, salon, jewelry_store, party_store, bike_shop, bakery, pharmacy, florist, craft_shop, gym : 57722
Saved path: party_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, hardware_store, gym, bank, pharmacy, bakery : 65821
Saved path: burger_joint, bookstore, dentist, tech_shop, grocery_store, salon, hardware_store, jewelry_store, bike_shop, bakery, music_store, bank, pet_store, craft_shop, gym : 68331
Saved path: hardware_store, party_store, bakery, pharmacy, music_store, gelateria, florist, craft_shop, pizzeria, dentist, bookstore, burger_joint, tech_shop, grocery_store, salon : 54617
Saved path: bookstore, cafe, grocery_store, dentist, craft_shop, florist, music_store, bank, gelateria, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, gym : 67991
Saved path: gym, burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop, gelateria, bank, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, hardware_store : 67777
Saved path: barber_shop, bakery, jewelry_store, bike_shop, hardware_store, gym, florist, gelateria, pet_store, pizzeria, dentist, cafe, bookstore, grocery_store, noodle_house : 62442
Saved path: gym, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, pharmacy, music_store, florist, pet_store : 61736
Saved path: salon, toy_store, grocery_store, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop, gelateria, bank, pharmacy, jewelry_store, bike_shop, barber_shop : 68408
Saved path: gym, bookstore, cafe, dentist, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, pharmacy, bank, pet_store : 66929
Saved path: noodle_house, grocery_store, tech_shop, dentist, pizzeria, craft_shop, florist, gelateria, bank, music_store, pharmacy, party_store, jewelry_store, salon, toy_store : 63229
Saved path: toy_store, hardware_store, bookstore, cafe, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, florist, music_store, bakery, party_store, jewelry_store, barber_shop : 58497
Saved path: jewelry_store, party_store, bakery, pharmacy, pet_store, craft_shop, pizzeria, gym, burger_joint, bookstore, grocery_store, toy_store, salon, barber_shop, bike_shop : 63410
Saved path: burger_joint, bookstore, cafe, dentist, grocery_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, music_store, bank, gym, hardware_store : 68653
