Saved path: dentist, pizzeria, pet_store, florist, music_store, bank, gelateria, jewelry_store, party_store, hardware_store, salon, toy_store, burger_joint, grocery_store, tech_shop : 69988
Saved path: clothing_store, grocery_store, bookstore, pizzeria, florist, bank, gelateria, bike_shop, party_store, jewelry_store, barber_shop, salon, hardware_store, toy_store, noodle_house : 71280
Saved path: salon, barber_shop, jewelry_store, party_store, hardware_store, pharmacy, florist, pet_store, pizzeria, tech_shop, cafe, bookstore, grocery_store, clothing_store, noodle_house : 61000
Saved path: party_store, jewelry_store, barber_shop, toy_store, grocery_store, cafe, bookstore, burger_joint, hardware_store, gym, pizzeria, craft_shop, pet_store, bank, gelateria : 70980
Saved path: music_store, pet_store, pizzeria, gym, hardware_store, burger_joint, cafe, clothing_store, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy : 64227
Saved path: music_store, bank, gelateria, pharmacy, bakery, bike_shop, party_store, hardware_store, toy_store, clothing_store, bookstore, dentist, pizzeria, pet_store, florist : 61944
Saved path: pet_store, florist, pharmacy, bike_shop, party_store, burger_joint, cafe, dentist, pizzeria, tech_shop, clothing_store, noodle_house, salon, toy_store, gym : 57743
Saved path: burger_joint, party_store, jewelry_store, bike_shop, music_store, bank, pet_store, gym, toy_store, clothing_store, grocery_store, tech_shop, dentist, cafe, bookstore : 64601
Saved path: toy_store, burger_joint, gym, hardware_store, party_store, bike_shop, pharmacy, florist, craft_shop, pizzeria, dentist, grocery_store, clothing_store, noodle_house, salon : 52633
Saved path: dentist, bookstore, grocery_store, noodle_house, salon, toy_store, gym, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, music_store, florist : 66778
Saved path: burger_joint, cafe, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, jewelry_store, bike_shop, barber_shop, noodle_house, toy_store, gym : 68538
Saved path: bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, burger_joint, cafe, tech_shop, pizzeria, craft_shop, florist, music_store, gelateria : 50154
Saved path: cafe, dentist, pizzeria, tech_shop, clothing_store, barber_shop, jewelry_store, bike_shop, bakery, music_store, bank, gelateria, hardware_store, burger_joint, bookstore : 68690
Saved path: craft_shop, pet_store, gelateria, music_store, florist, gym, hardware_store, bakery, jewelry_store, salon, clothing_store, grocery_store, cafe, tech_shop, pizzeria : 59835
