Saved path: florist, gelateria, bank, music_store, party_store, jewelry_store, bike_shop, barber_shop, salon, burger_joint, bookstore, tech_shop, pizzeria, craft_shop, pet_store : 70258
Saved path: jewelry_store, party_store, bakery, bank, pet_store, pizzeria, tech_shop, bookstore, burger_joint, toy_store, clothing_store, noodle_house, salon, barber_shop, bike_shop : 70255
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, pet_store, florist, bank, gelateria, pharmacy, hardware_store, jewelry_store, barber_shop : 69311
Saved path: grocery_store, clothing_store, noodle_house, salon, barber_shop, party_store, music_store, bank, pet_store, craft_shop, gym, burger_joint, bookstore, dentist, pizzeria : 67215
Saved path: pizzeria, craft_shop, florist, gelateria, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, burger_joint, cafe, tech_shop, grocery_store, clothing_store, dentist : 58802
Saved path: burger_joint, cafe, bookstore, noodle_house, grocery_store, pizzeria, craft_shop, pet_store, florist, gelateria, bank, pharmacy, bakery, jewelry_store, gym : 64356
Saved path: cafe, dentist, tech_shop, noodle_house, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank, pet_store, gym, hardware_store, burger_joint : 67143
Saved path: bank, music_store, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house, clothing_store, tech_shop, bookstore, burger_joint, hardware_store, gym, gelateria : 62993
Saved path: music_store, florist, pet_store, pizzeria, dentist, cafe, bookstore, burger_joint, toy_store, clothing_store, noodle_house, salon, jewelry_store, bike_shop, bakery : 60579
Saved path: pet_store, craft_shop, gym, burger_joint, bookstore, cafe, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank, florist : 65993
Saved path: jewelry_store, party_store, hardware_store, gym, craft_shop, florist, music_store, bank, gelateria, pet_store, bookstore, salon, barber_shop, bakery, bike_shop : 67228
Saved path: clothing_store, toy_store, bakery, bike_shop, party_store, pharmacy, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, tech_shop : 52292
Saved path: burger_joint, bookstore, cafe, tech_shop, clothing_store, toy_store, salon, barber_shop, party_store, jewelry_store, music_store, gelateria, pet_store, pizzeria, dentist : 63346
Saved path: toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, pet_store, bank, florist, hardware_store, bakery, bike_shop, jewelry_store, barber_shop, salon : 68135
Saved path: salon, barber_shop, jewelry_store, gelateria, music_store, florist, pet_store, gym, burger_joint, bookstore, dentist, pizzeria, tech_shop, grocery_store, clothing_store : 64734
Saved path: clothing_store, tech_shop, pizzeria, craft_shop, gelateria, bank, music_store, pharmacy, bike_shop, barber_shop, salon, hardware_store, burger_joint, toy_store, noodle_house : 59758
Saved path: bookstore, burger_joint, pizzeria, craft_shop, florist, music_store, gelateria, pet_store, gym, hardware_store, bakery, barber_shop, salon, clothing_store, grocery_store : 54123
Saved path: pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, bakery, party_store, bike_shop, music_store, bank, florist, pet_store : 64366
