Saved path: hardware_store, toy_store, clothing_store, grocery_store, bookstore, dentist, pizzeria, pet_store, gelateria, bank, music_store, bike_shop, bakery, barber_shop, salon : 63995
Saved path: jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, clothing_store, toy_store : 61124
Saved path: party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, pet_store, music_store : 58030
Saved path: burger_joint, bookstore, cafe, tech_shop, noodle_house, salon, hardware_store, bike_shop, party_store, pharmacy, bank, music_store, florist, pet_store, gym : 62071
Saved path: bike_shop, party_store, bakery, salon, toy_store, clothing_store, grocery_store, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, gelateria, music_store : 52802
Saved path: florist, music_store, pharmacy, party_store, jewelry_store, barber_shop, salon, hardware_store, burger_joint, cafe, clothing_store, tech_shop, pizzeria, craft_shop, pet_store : 60962
Saved path: clothing_store, cafe, burger_joint, hardware_store, gym, pizzeria, craft_shop, pet_store, florist, music_store, pharmacy, bakery, barber_shop, salon, toy_store : 52324
Saved path: bookstore, burger_joint, toy_store, clothing_store, grocery_store, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, jewelry_store, hardware_store, gym : 55568
Saved path: music_store, pharmacy, jewelry_store, barber_shop, clothing_store, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, pet_store : 63765
Saved path: music_store, bank, gelateria, craft_shop, pizzeria, dentist, burger_joint, tech_shop, clothing_store, noodle_house, salon, hardware_store, bike_shop, party_store, bakery : 62568
Saved path: noodle_house, clothing_store, cafe, pizzeria, craft_shop, florist, gelateria, bank, pharmacy, party_store, bakery, gym, burger_joint, toy_store, salon : 61106
Saved path: dentist, craft_shop, music_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, toy_store, burger_joint : 63004
Saved path: florist, bank, gelateria, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, hardware_store, burger_joint, noodle_house, grocery_store, tech_shop, dentist, craft_shop : 65322
Saved path: pharmacy, party_store, barber_shop, toy_store, hardware_store, burger_joint, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, music_store, bank : 67992
Saved path: salon, noodle_house, grocery_store, tech_shop, burger_joint, dentist, pizzeria, craft_shop, music_store, bank, gelateria, pharmacy, bakery, jewelry_store, barber_shop : 64259
Saved path: bakery, jewelry_store, bike_shop, gym, toy_store, salon, noodle_house, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, music_store : 62323
Saved path: jewelry_store, party_store, barber_shop, toy_store, clothing_store, grocery_store, bookstore, burger_joint, cafe, dentist, pizzeria, craft_shop, florist, gelateria, music_store : 58358
Saved path: clothing_store, grocery_store, cafe, bookstore, burger_joint, gym, pizzeria, craft_shop, florist, music_store, gelateria, bakery, bike_shop, barber_shop, noodle_house : 51271
Saved path: toy_store, clothing_store, tech_shop, dentist, burger_joint, gym, craft_shop, pet_store, bank, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon : 69650
Saved path: gelateria, music_store, pharmacy, bakery, jewelry_store, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, dentist, craft_shop, pet_store : 55658
Saved path: pizzeria, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, party_store, music_store, bank, florist, gym, hardware_store, cafe, dentist : 66762
Saved path: noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, gym, pet_store, gelateria, florist, craft_shop, pizzeria, dentist, burger_joint, toy_store : 61931
Saved path: bookstore, burger_joint, gym, hardware_store, barber_shop, bike_shop, party_store, bakery, pharmacy, florist, craft_shop, pizzeria, dentist, tech_shop, grocery_store : 55581
Saved path: bookstore, cafe, dentist, craft_shop, pet_store, bank, gelateria, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, tech_shop : 65516
Saved path: bookstore, burger_joint, gym, florist, music_store, gelateria, pharmacy, bike_shop, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, cafe : 52700
Saved path: cafe, bookstore, clothing_store, salon, barber_shop, bakery, bike_shop, gym, florist, music_store, gelateria, pet_store, craft_shop, pizzeria, dentist : 56364
Saved path: bakery, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, hardware_store, craft_shop, pet_store, bank, gelateria, jewelry_store : 62848
Saved path: jewelry_store, bike_shop, gelateria, bank, florist, craft_shop, hardware_store, burger_joint, bookstore, tech_shop, clothing_store, noodle_house, toy_store, barber_shop, party_store : 65386
Saved path: pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, gym, burger_joint, bookstore, tech_shop, dentist, craft_shop, pet_store, music_store : 62719
Saved path: gym, pizzeria, craft_shop, florist, bank, music_store, pharmacy, party_store, jewelry_store, salon, toy_store, clothing_store, grocery_store, cafe, burger_joint : 65784
Saved path: party_store, pharmacy, gelateria, bank, music_store, florist, pet_store, pizzeria, tech_shop, cafe, grocery_store, noodle_house, toy_store, salon, barber_shop : 64173
Saved path: barber_shop, salon, clothing_store, tech_shop, pizzeria, dentist, cafe, bookstore, hardware_store, gym, craft_shop, florist, bank, bike_shop, jewelry_store : 71506
Saved path: cafe, bookstore, burger_joint, jewelry_store, party_store, pharmacy, bank, florist, pet_store, gym, toy_store, clothing_store, grocery_store, tech_shop, dentist : 65006
Saved path: music_store, party_store, bike_shop, barber_shop, salon, toy_store, grocery_store, bookstore, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, bank : 67655
Saved path: tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, florist, music_store, bank, gelateria, pharmacy, jewelry_store, gym, toy_store, clothing_store : 63839
Saved path: noodle_house, salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, gelateria, bank, gym, bookstore, pizzeria, tech_shop, grocery_store, clothing_store : 68277
Saved path: pet_store, craft_shop, gym, noodle_house, grocery_store, tech_shop, cafe, burger_joint, hardware_store, party_store, bike_shop, bakery, pharmacy, gelateria, bank : 55055
Saved path: salon, noodle_house, clothing_store, cafe, dentist, pizzeria, gym, pet_store, florist, bank, music_store, pharmacy, bakery, jewelry_store, barber_shop : 69446
Saved path: pet_store, gelateria, bank, music_store, florist, craft_shop, pizzeria, tech_shop, cafe, bookstore, burger_joint, noodle_house, toy_store, hardware_store, gym : 51991
Saved path: clothing_store, grocery_store, tech_shop, pizzeria, pet_store, florist, bank, music_store, pharmacy, barber_shop, party_store, hardware_store, burger_joint, bookstore, cafe : 65986
Saved path: bike_shop, jewelry_store, salon, toy_store, clothing_store, tech_shop, pizzeria, dentist, bookstore, gym, craft_shop, pet_store, bank, gelateria, pharmacy : 70353
Saved path: clothing_store, grocery_store, tech_shop, burger_joint, hardware_store, craft_shop, florist, music_store, bank, gelateria, bakery, party_store, jewelry_store, barber_shop, salon : 61688
Saved path: bookstore, burger_joint, hardware_store, noodle_house, barber_shop, bike_shop, party_store, bakery, pharmacy, bank, florist, craft_shop, pizzeria, dentist, tech_shop : 66946
Saved path: pet_store, gelateria, music_store, pharmacy, bakery, party_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, dentist, pizzeria, gym : 58629
Saved path: pet_store, gelateria, bank, music_store, florist, craft_shop, pizzeria, tech_shop, toy_store, salon, barber_shop, bike_shop, party_store, hardware_store, gym : 67755
Saved path: barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria, craft_shop, pizzeria, tech_shop, bookstore, grocery_store, clothing_store, toy_store : 64374
Saved path: salon, clothing_store, grocery_store, pizzeria, dentist, cafe, burger_joint, hardware_store, gym, florist, gelateria, pharmacy, party_store, jewelry_store, barber_shop : 59464
Saved path: florist, craft_shop, gym, hardware_store, bookstore, dentist, tech_shop, grocery_store, noodle_house, salon, barber_shop, bakery, pharmacy, gelateria, bank : 56320
Saved path: tech_shop, cafe, gym, craft_shop, pet_store, florist, gelateria, music_store, pharmacy, bakery, jewelry_store, hardware_store, toy_store, salon, noodle_house : 56186
Saved path: toy_store, noodle_house, grocery_store, tech_shop, pizzeria, pet_store, florist, music_store, bank, gelateria, jewelry_store, bakery, burger_joint, cafe, bookstore : 63850
Saved path: toy_store, clothing_store, grocery_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, craft_shop, music_store, bike_shop, jewelry_store, hardware_store, salon : 60994
Saved path: music_store, pharmacy, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, dentist, cafe, bookstore, burger_joint, gym, craft_shop, florist, bank : 52620
Saved path: grocery_store, burger_joint, dentist, pizzeria, craft_shop, pet_store, florist, bank, gelateria, bakery, party_store, jewelry_store, hardware_store, salon, clothing_store : 67883
Saved path: gelateria, jewelry_store, bakery, gym, toy_store, noodle_house, burger_joint, bookstore, tech_shop, dentist, pizzeria, craft_shop, florist, music_store, bank : 63658
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, party_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, bookstore, cafe : 55498
Saved path: barber_shop, noodle_house, toy_store, hardware_store, bookstore, tech_shop, dentist, pizzeria, craft_shop, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop : 62127
Saved path: grocery_store, dentist, pizzeria, craft_shop, pet_store, gelateria, music_store, bike_shop, barber_shop, salon, noodle_house, toy_store, hardware_store, bookstore, cafe : 57392
Saved path: barber_shop, noodle_house, clothing_store, toy_store, burger_joint, cafe, pizzeria, craft_shop, pet_store, gelateria, music_store, florist, gym, hardware_store, bike_shop : 56053
Saved path: dentist, pizzeria, craft_shop, pet_store, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, cafe, burger_joint : 59614
Saved path: grocery_store, tech_shop, cafe, dentist, craft_shop, pet_store, bank, florist, bookstore, burger_joint, hardware_store, party_store, barber_shop, noodle_house, clothing_store : 65235
Saved path: jewelry_store, bike_shop, bakery, pharmacy, music_store, bank, gelateria, pet_store, pizzeria, gym, hardware_store, cafe, clothing_store, salon, barber_shop : 71547
Saved path: pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy, bakery, bike_shop, hardware_store, burger_joint, bookstore, cafe, clothing_store, grocery_store, tech_shop : 44785
Saved path: salon, clothing_store, tech_shop, cafe, bookstore, burger_joint, gym, craft_shop, florist, gelateria, bank, bakery, bike_shop, party_store, jewelry_store : 61160
Saved path: bookstore, pet_store, bank, music_store, florist, pizzeria, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, hardware_store, burger_joint : 68614
Saved path: tech_shop, bookstore, dentist, pet_store, bank, gelateria, bakery, party_store, bike_shop, hardware_store, gym, toy_store, salon, noodle_house, clothing_store : 65575
