Saved path: party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, gym, pet_store, florist, music_store, bank, bakery : 62293
Saved path: barber_shop, salon, noodle_house, clothing_store, bookstore, burger_joint, hardware_store, gym, pet_store, gelateria, bank, music_store, pharmacy, bakery, party_store : 59496
Saved path: cafe, dentist, pizzeria, florist, bank, gelateria, bakery, jewelry_store, bike_shop, gym, burger_joint, noodle_house, clothing_store, grocery_store, tech_shop : 62544
Saved path: pizzeria, grocery_store, salon, toy_store, burger_joint, gym, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store : 69522
Saved path: cafe, dentist, tech_shop, grocery_store, clothing_store, salon, barber_shop, jewelry_store, party_store, pharmacy, bank, florist, craft_shop, gym, bookstore : 66603
Saved path: pet_store, craft_shop, gym, burger_joint, dentist, pizzeria, tech_shop, clothing_store, toy_store, barber_shop, bike_shop, party_store, pharmacy, gelateria, florist : 59892
Saved path: pharmacy, bakery, party_store, bike_shop, hardware_store, gym, burger_joint, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, florist, bank : 58592
Saved path: music_store, florist, pizzeria, dentist, bookstore, burger_joint, noodle_house, toy_store, bakery, party_store, jewelry_store, hardware_store, gym, pet_store, bank : 67860
Saved path: grocery_store, noodle_house, toy_store, hardware_store, barber_shop, bike_shop, bakery, music_store, bank, gelateria, florist, craft_shop, bookstore, cafe, tech_shop : 54684
Saved path: pharmacy, hardware_store, salon, noodle_house, clothing_store, grocery_store, pizzeria, dentist, bookstore, burger_joint, gym, pet_store, florist, music_store, bank : 59723
Saved path: dentist, tech_shop, cafe, bookstore, burger_joint, noodle_house, salon, hardware_store, party_store, jewelry_store, bike_shop, florist, pet_store, craft_shop, pizzeria : 60568
Saved path: gelateria, pet_store, gym, bookstore, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, bakery, party_store, bike_shop, music_store, bank : 60768
Saved path: clothing_store, grocery_store, tech_shop, pizzeria, pet_store, music_store, pharmacy, party_store, bakery, gym, burger_joint, cafe, bookstore, toy_store, noodle_house : 54126
Saved path: pet_store, bank, florist, pizzeria, dentist, burger_joint, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, hardware_store, gym : 66119
Saved path: music_store, bank, gelateria, florist, pizzeria, dentist, cafe, grocery_store, noodle_house, toy_store, burger_joint, gym, hardware_store, party_store, bakery : 58727
Saved path: pharmacy, bakery, bike_shop, jewelry_store, barber_shop, noodle_house, tech_shop, cafe, burger_joint, hardware_store, craft_shop, florist, gelateria, bank, music_store : 60880
Saved path: pet_store, craft_shop, gym, burger_joint, grocery_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, music_store, bank, gelateria : 62765
Saved path: dentist, cafe, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, salon, barber_shop, pharmacy, gelateria, bank, florist, pet_store, craft_shop : 56555
Saved path: toy_store, clothing_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, bakery, jewelry_store, barber_shop, salon : 65352
Saved path: hardware_store, party_store, bakery, barber_shop, toy_store, tech_shop, cafe, bookstore, florist, music_store, bank, gelateria, pet_store, craft_shop, gym : 62555
Saved path: cafe, bookstore, clothing_store, noodle_house, barber_shop, jewelry_store, party_store, bakery, hardware_store, gym, pet_store, bank, gelateria, florist, pizzeria : 69580
Saved path: bike_shop, bakery, barber_shop, salon, toy_store, clothing_store, grocery_store, burger_joint, pizzeria, florist, gelateria, bank, pet_store, gym, hardware_store : 62962
Saved path: grocery_store, clothing_store, noodle_house, toy_store, hardware_store, party_store, bike_shop, bakery, music_store, bank, gelateria, florist, pizzeria, dentist, cafe : 56569
Saved path: pizzeria, craft_shop, pet_store, bank, gelateria, florist, gym, hardware_store, bakery, burger_joint, toy_store, salon, clothing_store, grocery_store, tech_shop : 57633
Saved path: craft_shop, pet_store, gelateria, music_store, bike_shop, jewelry_store, party_store, bakery, barber_shop, noodle_house, burger_joint, bookstore, grocery_store, tech_shop, pizzeria : 61778
Saved path: cafe, bookstore, grocery_store, clothing_store, salon, barber_shop, bike_shop, hardware_store, gym, gelateria, bank, florist, craft_shop, pizzeria, dentist : 61877
Saved path: bookstore, dentist, pizzeria, craft_shop, music_store, gelateria, bike_shop, jewelry_store, party_store, hardware_store, salon, noodle_house, clothing_store, grocery_store, tech_shop : 59828
Saved path: jewelry_store, bike_shop, bakery, bank, florist, gym, hardware_store, burger_joint, bookstore, cafe, dentist, clothing_store, noodle_house, toy_store, barber_shop : 67636
Saved path: bike_shop, bakery, pharmacy, gelateria, bank, florist, pet_store, craft_shop, pizzeria, dentist, cafe, noodle_house, toy_store, gym, hardware_store : 56976
Saved path: gelateria, florist, craft_shop, pizzeria, cafe, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, hardware_store, gym, bank : 66404
Saved path: burger_joint, bookstore, cafe, tech_shop, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, bank, gelateria, craft_shop, gym, hardware_store : 62088
Saved path: grocery_store, cafe, burger_joint, gym, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop, noodle_house : 69731
Saved path: pharmacy, hardware_store, gym, bookstore, cafe, dentist, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery : 51058
Saved path: party_store, bike_shop, hardware_store, burger_joint, toy_store, salon, clothing_store, grocery_store, tech_shop, pizzeria, pet_store, florist, gelateria, bank, bakery : 64845
Saved path: craft_shop, dentist, tech_shop, grocery_store, noodle_house, burger_joint, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank, music_store, florist : 57703
Saved path: hardware_store, party_store, barber_shop, pharmacy, gelateria, bank, music_store, craft_shop, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, burger_joint : 63136
Saved path: jewelry_store, bakery, pharmacy, music_store, bank, gelateria, florist, craft_shop, dentist, burger_joint, bookstore, clothing_store, toy_store, gym, hardware_store : 59502
Saved path: bike_shop, party_store, hardware_store, gym, craft_shop, pet_store, bank, gelateria, florist, bookstore, clothing_store, noodle_house, toy_store, salon, barber_shop : 63826
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, party_store, pharmacy, gelateria, pet_store, craft_shop, gym, hardware_store, bookstore, cafe : 51870
Saved path: salon, noodle_house, toy_store, burger_joint, cafe, tech_shop, dentist, florist, music_store, gelateria, pharmacy, bike_shop, jewelry_store, party_store, hardware_store : 57429
Saved path: hardware_store, bakery, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, cafe, burger_joint, bookstore, florist, bank, pet_store, craft_shop : 58288
Saved path: tech_shop, cafe, bookstore, hardware_store, gym, craft_shop, pet_store, florist, gelateria, music_store, pharmacy, bakery, bike_shop, barber_shop, toy_store : 51042
Saved path: pizzeria, dentist, bookstore, burger_joint, clothing_store, toy_store, salon, bike_shop, party_store, bakery, pharmacy, music_store, florist, pet_store, craft_shop : 58076
Saved path: pizzeria, pet_store, gelateria, bank, music_store, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, burger_joint, toy_store, grocery_store, cafe, dentist : 62623
Saved path: hardware_store, party_store, bike_shop, bakery, pharmacy, gelateria, bank, music_store, gym, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, toy_store : 53258
Saved path: barber_shop, toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, gym, bike_shop, jewelry_store, party_store, pharmacy : 54043
Saved path: party_store, jewelry_store, music_store, bank, gelateria, florist, craft_shop, pizzeria, cafe, bookstore, burger_joint, toy_store, salon, barber_shop, bakery : 63715
Saved path: bookstore, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, party_store, hardware_store, gym, toy_store, clothing_store, grocery_store : 52365
Saved path: bank, music_store, florist, pet_store, craft_shop, dentist, bookstore, tech_shop, grocery_store, clothing_store, salon, barber_shop, jewelry_store, party_store, bakery : 67627
Saved path: pizzeria, dentist, cafe, burger_joint, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, music_store, gelateria, florist, craft_shop : 50461
Saved path: bike_shop, bakery, pharmacy, bank, florist, pet_store, gym, hardware_store, burger_joint, cafe, dentist, tech_shop, toy_store, barber_shop, jewelry_store : 70682
Saved path: clothing_store, grocery_store, dentist, bookstore, burger_joint, hardware_store, gym, florist, music_store, bank, gelateria, bike_shop, barber_shop, salon, toy_store : 59380
Saved path: florist, pet_store, gym, burger_joint, bookstore, cafe, dentist, tech_shop, clothing_store, noodle_house, salon, bakery, pharmacy, music_store, bank : 57915
Saved path: bookstore, cafe, pizzeria, tech_shop, clothing_store, noodle_house, barber_shop, jewelry_store, bakery, bank, florist, craft_shop, gym, hardware_store, burger_joint : 67502
Saved path: salon, hardware_store, bike_shop, jewelry_store, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, gym, burger_joint, cafe, tech_shop, grocery_store : 62323
Saved path: music_store, gelateria, bike_shop, bakery, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, cafe, bookstore, hardware_store, gym, florist : 53589
Saved path: gym, pet_store, bank, florist, craft_shop, pizzeria, dentist, cafe, burger_joint, bookstore, tech_shop, clothing_store, toy_store, barber_shop, bakery : 61265
Saved path: craft_shop, pet_store, florist, music_store, bank, gelateria, pharmacy, bike_shop, jewelry_store, salon, noodle_house, clothing_store, bookstore, cafe, pizzeria : 66452
Saved path: jewelry_store, party_store, bakery, pharmacy, gelateria, florist, pet_store, pizzeria, dentist, cafe, gym, hardware_store, salon, barber_shop, bike_shop : 63180
Saved path: barber_shop, salon, noodle_house, hardware_store, burger_joint, bookstore, tech_shop, pizzeria, florist, bank, music_store, pharmacy, bakery, jewelry_store, bike_shop : 68938
Saved path: music_store, bank, pet_store, gym, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, cafe, bookstore, florist : 66663
Saved path: salon, barber_shop, jewelry_store, pharmacy, bank, gelateria, craft_shop, gym, bookstore, cafe, dentist, tech_shop, grocery_store, clothing_store, toy_store : 65854
Saved path: pet_store, gelateria, music_store, bike_shop, party_store, bakery, barber_shop, salon, noodle_house, dentist, cafe, bookstore, burger_joint, hardware_store, gym : 59669
Saved path: gelateria, music_store, florist, pet_store, pizzeria, tech_shop, cafe, bookstore, burger_joint, toy_store, noodle_house, salon, barber_shop, party_store, jewelry_store : 62546
Saved path: burger_joint, hardware_store, gym, pizzeria, craft_shop, pet_store, florist, music_store, jewelry_store, party_store, bakery, barber_shop, noodle_house, grocery_store, cafe : 62228
Saved path: tech_shop, cafe, bookstore, gym, pet_store, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house : 57097
Saved path: bank, gelateria, florist, pet_store, craft_shop, gym, burger_joint, bookstore, grocery_store, clothing_store, salon, barber_shop, bike_shop, party_store, pharmacy : 61856
Saved path: florist, bank, pet_store, craft_shop, pizzeria, dentist, bookstore, burger_joint, toy_store, clothing_store, noodle_house, barber_shop, bike_shop, hardware_store, gym : 64705
Saved path: jewelry_store, barber_shop, salon, noodle_house, clothing_store, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym, pet_store, bank, gelateria : 69161
Saved path: grocery_store, burger_joint, cafe, dentist, pizzeria, craft_shop, florist, music_store, pharmacy, bakery, party_store, hardware_store, barber_shop, salon, noodle_house : 54848
Saved path: bank, music_store, florist, craft_shop, gym, cafe, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, bakery : 61827
Saved path: bank, music_store, craft_shop, pizzeria, tech_shop, cafe, clothing_store, salon, toy_store, burger_joint, gym, hardware_store, party_store, bakery, gelateria : 63071
Saved path: florist, bank, music_store, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, bookstore, burger_joint, dentist, pizzeria, craft_shop, pet_store : 70552
Saved path: craft_shop, bookstore, burger_joint, cafe, clothing_store, noodle_house, salon, hardware_store, bike_shop, jewelry_store, gelateria, bank, music_store, florist, pet_store : 62874
Saved path: gym, gelateria, bank, music_store, pharmacy, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, dentist, burger_joint, hardware_store : 66882
Saved path: noodle_house, grocery_store, burger_joint, hardware_store, gym, pizzeria, craft_shop, pet_store, bank, pharmacy, bakery, party_store, bike_shop, barber_shop, toy_store : 67900
Saved path: music_store, bank, pet_store, gym, hardware_store, burger_joint, bookstore, tech_shop, noodle_house, salon, barber_shop, bakery, party_store, jewelry_store, bike_shop : 66196
Saved path: florist, gelateria, bank, music_store, party_store, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, burger_joint, gym, pet_store : 60008
