Saved path: music_store, bank, pharmacy, jewelry_store, party_store, hardware_store, salon, toy_store, clothing_store, grocery_store, bookstore, burger_joint, dentist, pet_store, florist : 67728
Saved path: cafe, dentist, pizzeria, tech_shop, grocery_store, clothing_store, barber_shop, jewelry_store, bike_shop, gelateria, bank, florist, gym, burger_joint, bookstore : 68328
Saved path: cafe, dentist, pizzeria, pet_store, florist, hardware_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, bookstore : 62314
Saved path: craft_shop, pet_store, music_store, jewelry_store, party_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, burger_joint, hardware_store, gym, pizzeria : 64009
Saved path: salon, toy_store, clothing_store, burger_joint, cafe, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, bank, music_store, party_store, jewelry_store : 67679
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, music_store, bank, gelateria, pharmacy, bike_shop, gym, toy_store, salon, clothing_store, tech_shop : 61975
Saved path: pet_store, craft_shop, pizzeria, dentist, clothing_store, cafe, bookstore, burger_joint, party_store, bakery, pharmacy, gelateria, bank, music_store, florist : 58395
Saved path: cafe, bookstore, burger_joint, gym, toy_store, clothing_store, noodle_house, salon, barber_shop, bakery, pharmacy, bank, music_store, craft_shop, pizzeria : 58293
Saved path: bakery, gelateria, bank, music_store, florist, gym, hardware_store, burger_joint, dentist, pizzeria, clothing_store, toy_store, salon, barber_shop, bike_shop : 61967
Saved path: bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, bookstore, hardware_store, gym, craft_shop, pet_store, florist, music_store, gelateria, pharmacy : 58659
Saved path: barber_shop, hardware_store, gym, cafe, clothing_store, tech_shop, pizzeria, craft_shop, pet_store, florist, bank, music_store, pharmacy, party_store, bike_shop : 69039
Saved path: toy_store, salon, barber_shop, bike_shop, party_store, bakery, hardware_store, gym, gelateria, bank, music_store, pizzeria, tech_shop, cafe, clothing_store : 66581
Saved path: pet_store, craft_shop, gym, hardware_store, cafe, grocery_store, clothing_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, florist : 65246
Saved path: salon, noodle_house, clothing_store, grocery_store, cafe, hardware_store, gym, craft_shop, florist, bank, music_store, pharmacy, bakery, jewelry_store, barber_shop : 58915
Saved path: burger_joint, bookstore, dentist, pizzeria, craft_shop, pet_store, gelateria, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, clothing_store, toy_store, hardware_store : 61935
Saved path: dentist, cafe, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, bakery, pharmacy, pet_store, craft_shop : 48778
Saved path: pizzeria, tech_shop, grocery_store, cafe, bookstore, hardware_store, toy_store, noodle_house, barber_shop, bike_shop, party_store, pharmacy, bank, pet_store, craft_shop : 67054
