Saved path: burger_joint, gym, pet_store, florist, bank, gelateria, bakery, party_store, jewelry_store, barber_shop, noodle_house, grocery_store, tech_shop, dentist, bookstore : 69376
Saved path: barber_shop, bike_shop, party_store, pharmacy, bank, florist, pet_store, gym, craft_shop, pizzeria, dentist, cafe, bookstore, grocery_store, clothing_store : 69165
Saved path: noodle_house, clothing_store, grocery_store, bookstore, dentist, pizzeria, craft_shop, gelateria, bank, music_store, party_store, bike_shop, barber_shop, salon, toy_store : 64266
Saved path: toy_store, salon, barber_shop, party_store, bakery, pharmacy, music_store, bank, gelateria, florist, pet_store, gym, craft_shop, pizzeria, grocery_store : 65620
Saved path: toy_store, noodle_house, grocery_store, dentist, cafe, burger_joint, gym, craft_shop, gelateria, bank, pharmacy, bakery, jewelry_store, barber_shop, salon : 64284
Saved path: bakery, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, toy_store : 60399
Saved path: gym, pet_store, florist, pharmacy, bakery, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, dentist, bookstore, burger_joint, hardware_store : 52517
Saved path: cafe, bookstore, dentist, craft_shop, pet_store, bank, music_store, pharmacy, bakery, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop : 62161
Saved path: cafe, bookstore, grocery_store, clothing_store, toy_store, salon, hardware_store, jewelry_store, party_store, pharmacy, florist, pet_store, craft_shop, pizzeria, tech_shop : 56964
Saved path: bike_shop, bakery, pharmacy, gelateria, pet_store, dentist, burger_joint, bookstore, grocery_store, clothing_store, toy_store, salon, hardware_store, party_store, jewelry_store : 57849
Saved path: pet_store, bank, music_store, bakery, bike_shop, hardware_store, salon, noodle_house, tech_shop, dentist, cafe, bookstore, burger_joint, gym, craft_shop : 59486
Saved path: music_store, florist, gym, craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store, clothing_store, noodle_house, salon, barber_shop, party_store, bank : 64117
Saved path: dentist, pizzeria, pet_store, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, gym, toy_store, noodle_house, clothing_store, grocery_store, tech_shop : 64671
Saved path: bank, music_store, florist, pet_store, pizzeria, cafe, bookstore, clothing_store, noodle_house, salon, barber_shop, hardware_store, bakery, pharmacy, gelateria : 60296
Saved path: bank, music_store, party_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, bookstore, dentist, pizzeria, craft_shop, pet_store, florist : 67658
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, gelateria, gym, hardware_store, dentist : 56639
