Saved path: pharmacy, music_store, craft_shop, gym, hardware_store, burger_joint, cafe, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store : 53167
Saved path: gym, bike_shop, jewelry_store, party_store, bakery, pharmacy, hardware_store, burger_joint, bookstore, cafe, pizzeria, tech_shop, grocery_store, noodle_house, toy_store : 49247
Saved path: clothing_store, grocery_store, tech_shop, pizzeria, bookstore, hardware_store, gym, music_store, bank, gelateria, pharmacy, bakery, jewelry_store, barber_shop, toy_store : 68005
Saved path: tech_shop, pizzeria, craft_shop, pet_store, gelateria, pharmacy, party_store, bike_shop, hardware_store, gym, toy_store, salon, noodle_house, grocery_store, bookstore : 58237
Saved path: bookstore, dentist, pizzeria, tech_shop, salon, barber_shop, bakery, party_store, bike_shop, gelateria, bank, pet_store, craft_shop, gym, burger_joint : 68787
Saved path: bike_shop, party_store, bakery, pharmacy, music_store, bank, gelateria, pizzeria, dentist, cafe, bookstore, noodle_house, salon, hardware_store, gym : 64245
Saved path: dentist, pizzeria, tech_shop, noodle_house, barber_shop, bike_shop, party_store, bakery, music_store, gelateria, pet_store, gym, hardware_store, burger_joint, cafe : 61096
Saved path: bank, florist, craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, bakery : 66105
Saved path: gelateria, bank, music_store, jewelry_store, party_store, barber_shop, salon, toy_store, grocery_store, tech_shop, bookstore, burger_joint, hardware_store, craft_shop, pet_store : 66697
Saved path: party_store, bike_shop, bakery, pharmacy, gelateria, florist, dentist, cafe, burger_joint, bookstore, tech_shop, clothing_store, toy_store, salon, hardware_store : 51889
Saved path: pharmacy, bank, florist, dentist, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, party_store : 64955
Saved path: music_store, florist, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, cafe, burger_joint, hardware_store, barber_shop, jewelry_store, bakery, pharmacy, gelateria : 59838
Saved path: florist, craft_shop, pizzeria, dentist, clothing_store, cafe, bookstore, burger_joint, gym, hardware_store, salon, barber_shop, bakery, pharmacy, gelateria : 49453
Saved path: bank, gelateria, florist, pizzeria, dentist, cafe, burger_joint, bookstore, clothing_store, toy_store, salon, hardware_store, gym, party_store, bakery : 64660
Saved path: noodle_house, clothing_store, bookstore, dentist, craft_shop, pet_store, florist, gelateria, bank, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon : 66259
Saved path: bookstore, cafe, tech_shop, clothing_store, toy_store, salon, hardware_store, gym, jewelry_store, party_store, pharmacy, music_store, florist, craft_shop, dentist : 57292
Saved path: party_store, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, dentist, florist, bank, pet_store, gym, hardware_store, bakery : 69119
Saved path: pet_store, florist, bank, gelateria, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, noodle_house, clothing_store, dentist, pizzeria, gym : 70068
