Saved path: noodle_house, clothing_store, grocery_store, tech_shop, bookstore, cafe, dentist, craft_shop, gelateria, pharmacy, bakery, party_store, jewelry_store, salon, toy_store : 52933
Saved path: party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, tech_shop, burger_joint, bookstore, dentist, craft_shop, pet_store, florist, bank, pharmacy : 65930
Saved path: florist, gelateria, pharmacy, bakery, gym, hardware_store, salon, noodle_house, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store : 49917
Saved path: clothing_store, pizzeria, pet_store, florist, gelateria, bank, pharmacy, party_store, jewelry_store, bike_shop, gym, burger_joint, toy_store, salon, noodle_house : 71093
Saved path: florist, gym, burger_joint, cafe, dentist, tech_shop, grocery_store, clothing_store, toy_store, salon, hardware_store, jewelry_store, pharmacy, gelateria, bank : 63189
Saved path: bike_shop, party_store, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, florist, gelateria, bank, pet_store, gym : 64723
Saved path: party_store, jewelry_store, bike_shop, barber_shop, toy_store, grocery_store, bookstore, cafe, pizzeria, craft_shop, florist, gelateria, bank, pet_store, gym : 71703
Saved path: craft_shop, pet_store, florist, pharmacy, bakery, party_store, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, bookstore, gym : 49229
Saved path: cafe, dentist, pizzeria, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house : 60403
Saved path: music_store, bank, florist, gym, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, hardware_store, party_store, jewelry_store, bike_shop, bakery : 59220
Saved path: noodle_house, hardware_store, burger_joint, cafe, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop : 67836
Saved path: pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, gym, hardware_store, burger_joint, noodle_house, salon, barber_shop, bike_shop, party_store, bakery : 57428
Saved path: hardware_store, bike_shop, bakery, barber_shop, salon, clothing_store, tech_shop, bookstore, burger_joint, dentist, pet_store, bank, music_store, florist, gym : 63346
Saved path: pharmacy, music_store, florist, pet_store, craft_shop, gym, burger_joint, cafe, dentist, tech_shop, grocery_store, clothing_store, salon, hardware_store, jewelry_store : 58109
Saved path: salon, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, dentist, pizzeria, florist, gelateria, pharmacy, bike_shop, party_store, jewelry_store : 57992
Saved path: pet_store, florist, music_store, bike_shop, jewelry_store, party_store, hardware_store, salon, toy_store, grocery_store, tech_shop, cafe, burger_joint, bookstore, craft_shop : 56972
Saved path: grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, pharmacy, gelateria, pet_store, craft_shop, gym, hardware_store, bookstore, tech_shop : 56521
Saved path: bookstore, cafe, tech_shop, noodle_house, toy_store, salon, jewelry_store, party_store, bike_shop, bakery, pharmacy, gelateria, bank, pet_store, dentist : 66277
Saved path: barber_shop, salon, noodle_house, toy_store, burger_joint, clothing_store, grocery_store, tech_shop, pizzeria, florist, music_store, bank, gelateria, bike_shop, bakery : 57525
Saved path: cafe, bookstore, gym, craft_shop, florist, gelateria, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop : 54527
Saved path: hardware_store, salon, noodle_house, clothing_store, cafe, tech_shop, pizzeria, craft_shop, florist, music_store, bank, gelateria, pharmacy, bike_shop, gym : 56672
Saved path: hardware_store, burger_joint, cafe, dentist, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, music_store, pet_store, gym : 63308
Saved path: barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, gym, pet_store, florist, music_store, gelateria, jewelry_store, bike_shop, bakery : 57504
Saved path: dentist, cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, gym, party_store, jewelry_store, bike_shop, gelateria, pet_store, craft_shop : 55823
Saved path: pizzeria, dentist, bookstore, tech_shop, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, music_store, florist, pet_store, craft_shop : 63763
Saved path: gym, bakery, bike_shop, jewelry_store, salon, clothing_store, tech_shop, dentist, pizzeria, craft_shop, florist, music_store, bank, gelateria, pet_store : 69358
Saved path: noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, gym, craft_shop, pizzeria, dentist, cafe, tech_shop : 70062
Saved path: pizzeria, tech_shop, grocery_store, clothing_store, toy_store, salon, jewelry_store, party_store, bike_shop, hardware_store, burger_joint, cafe, bookstore, pet_store, craft_shop : 56446
Saved path: gym, hardware_store, bakery, barber_shop, clothing_store, grocery_store, tech_shop, cafe, bookstore, dentist, craft_shop, pet_store, bank, gelateria, florist : 57217
Saved path: bookstore, cafe, tech_shop, pizzeria, pet_store, florist, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, toy_store, burger_joint : 61347
Saved path: hardware_store, burger_joint, bookstore, cafe, clothing_store, grocery_store, tech_shop, dentist, craft_shop, gelateria, music_store, bike_shop, party_store, barber_shop, toy_store : 57656
Saved path: cafe, tech_shop, clothing_store, gym, craft_shop, pet_store, florist, gelateria, bank, pharmacy, bakery, party_store, jewelry_store, hardware_store, burger_joint : 59346
