Saved path: gelateria, bakery, party_store, jewelry_store, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, gym, craft_shop, pet_store, bank : 61084
Saved path: toy_store, salon, noodle_house, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, bank, music_store, pharmacy, bakery, party_store : 63370
Saved path: toy_store, noodle_house, clothing_store, grocery_store, cafe, burger_joint, dentist, pizzeria, craft_shop, pet_store, florist, bank, gelateria, jewelry_store, barber_shop : 67678
Saved path: gelateria, florist, craft_shop, pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, salon, toy_store, gym, bike_shop, bakery, pharmacy : 50446
Saved path: jewelry_store, gelateria, music_store, florist, craft_shop, hardware_store, burger_joint, bookstore, cafe, tech_shop, clothing_store, toy_store, salon, barber_shop, bike_shop : 56872
Saved path: pet_store, gelateria, music_store, party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym : 54279
Saved path: barber_shop, jewelry_store, bike_shop, pharmacy, bank, music_store, pizzeria, gym, hardware_store, burger_joint, bookstore, cafe, grocery_store, clothing_store, salon : 70408
Saved path: gym, bakery, party_store, jewelry_store, gelateria, bank, music_store, florist, pet_store, craft_shop, pizzeria, cafe, burger_joint, noodle_house, toy_store : 64915
Saved path: salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, gelateria, florist, craft_shop, pizzeria, grocery_store, cafe, bookstore, hardware_store : 59035
Saved path: music_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, hardware_store, burger_joint, bookstore, pet_store, florist : 64438
Saved path: gym, hardware_store, party_store, jewelry_store, barber_shop, salon, toy_store, grocery_store, tech_shop, dentist, craft_shop, pet_store, bank, gelateria, florist : 68391
Saved path: grocery_store, tech_shop, cafe, burger_joint, craft_shop, florist, gelateria, bank, music_store, bike_shop, party_store, hardware_store, salon, noodle_house, clothing_store : 56788
Saved path: pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, clothing_store, tech_shop, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop, florist : 56612
