Saved path: florist, pharmacy, party_store, jewelry_store, barber_shop, salon, clothing_store, grocery_store, tech_shop, dentist, cafe, bookstore, hardware_store, gym, craft_shop : 56457
Saved path: salon, toy_store, noodle_house, grocery_store, tech_shop, cafe, dentist, pizzeria, pet_store, gelateria, bank, music_store, bakery, bike_shop, barber_shop : 59942
Saved path: gym, bike_shop, jewelry_store, bakery, pharmacy, music_store, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house, bookstore : 59307
Saved path: bike_shop, party_store, bakery, pharmacy, music_store, bank, pet_store, gym, toy_store, salon, noodle_house, clothing_store, tech_shop, bookstore, burger_joint : 60183
Saved path: party_store, bike_shop, salon, toy_store, clothing_store, grocery_store, cafe, gym, craft_shop, pet_store, florist, gelateria, bank, pharmacy, bakery : 60082
Saved path: barber_shop, hardware_store, burger_joint, toy_store, clothing_store, grocery_store, tech_shop, dentist, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, bike_shop : 51017
Saved path: tech_shop, pizzeria, craft_shop, pet_store, gelateria, pharmacy, bakery, barber_shop, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, cafe : 50010
Saved path: noodle_house, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, music_store, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store, gym : 61230
Saved path: dentist, grocery_store, clothing_store, noodle_house, salon, hardware_store, bakery, jewelry_store, music_store, florist, craft_shop, gym, burger_joint, bookstore, cafe : 54122
Saved path: cafe, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, bike_shop, bakery, pharmacy, florist, pet_store, craft_shop, gym, burger_joint : 43519
Saved path: salon, noodle_house, toy_store, burger_joint, bookstore, cafe, grocery_store, pizzeria, pet_store, gym, hardware_store, bike_shop, jewelry_store, bakery, barber_shop : 58341
Saved path: grocery_store, clothing_store, cafe, bookstore, burger_joint, hardware_store, bakery, party_store, jewelry_store, gelateria, bank, music_store, florist, pizzeria, dentist : 59372
Saved path: toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, gelateria, florist, gym, pizzeria, dentist, cafe, bookstore, grocery_store, clothing_store : 59565
Saved path: party_store, bike_shop, barber_shop, salon, toy_store, bookstore, cafe, tech_shop, dentist, pet_store, florist, music_store, gelateria, pharmacy, bakery : 58149
Saved path: grocery_store, clothing_store, noodle_house, salon, barber_shop, bakery, party_store, hardware_store, gym, florist, bank, pet_store, craft_shop, pizzeria, tech_shop : 63552
Saved path: gym, pet_store, bank, gelateria, pharmacy, bakery, barber_shop, toy_store, clothing_store, pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store : 60145
Saved path: gelateria, craft_shop, bookstore, burger_joint, hardware_store, toy_store, noodle_house, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, bank : 59142
Saved path: jewelry_store, party_store, bakery, pharmacy, florist, pet_store, bookstore, tech_shop, clothing_store, noodle_house, toy_store, hardware_store, salon, barber_shop, bike_shop : 58274
Saved path: bank, pet_store, gym, hardware_store, burger_joint, bookstore, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, pharmacy : 68471
Saved path: dentist, clothing_store, tech_shop, cafe, bookstore, burger_joint, gym, hardware_store, bike_shop, bakery, music_store, bank, gelateria, florist, craft_shop : 51813
Saved path: salon, noodle_house, toy_store, hardware_store, burger_joint, bookstore, cafe, tech_shop, dentist, pizzeria, pet_store, music_store, bakery, bike_shop, barber_shop : 57338
Saved path: cafe, burger_joint, hardware_store, gym, gelateria, music_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, tech_shop, pizzeria : 61832
Saved path: gelateria, music_store, florist, gym, hardware_store, barber_shop, salon, noodle_house, clothing_store, tech_shop, bookstore, burger_joint, dentist, craft_shop, pet_store : 52030
Saved path: cafe, dentist, pizzeria, tech_shop, noodle_house, barber_shop, bike_shop, party_store, bakery, bank, gelateria, florist, gym, burger_joint, bookstore : 65460
Saved path: dentist, pizzeria, craft_shop, music_store, bank, pharmacy, jewelry_store, party_store, hardware_store, gym, burger_joint, bookstore, cafe, grocery_store, tech_shop : 62244
Saved path: bakery, party_store, barber_shop, salon, noodle_house, toy_store, hardware_store, burger_joint, cafe, grocery_store, dentist, pizzeria, pet_store, gelateria, music_store : 60078
Saved path: pizzeria, pet_store, florist, bank, gelateria, pharmacy, bike_shop, gym, toy_store, burger_joint, bookstore, cafe, clothing_store, grocery_store, tech_shop : 58182
Saved path: clothing_store, noodle_house, hardware_store, bike_shop, party_store, pharmacy, music_store, bank, gelateria, florist, pet_store, pizzeria, dentist, cafe, tech_shop : 62060
Saved path: bookstore, burger_joint, gym, pet_store, bank, pharmacy, bakery, party_store, bike_shop, hardware_store, salon, clothing_store, grocery_store, pizzeria, dentist : 67470
Saved path: barber_shop, pharmacy, gelateria, music_store, craft_shop, dentist, tech_shop, grocery_store, cafe, bookstore, burger_joint, gym, hardware_store, jewelry_store, bike_shop : 60207
Saved path: pet_store, craft_shop, pizzeria, bookstore, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, salon, barber_shop, jewelry_store, bike_shop, bakery, music_store : 64897
Saved path: barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, dentist, pizzeria, florist, bookstore, burger_joint, hardware_store, bakery, bike_shop, jewelry_store : 58929
Saved path: toy_store, gym, bike_shop, party_store, bakery, bank, music_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon : 63620
Saved path: tech_shop, bookstore, gym, hardware_store, toy_store, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, bank, music_store, craft_shop, pizzeria, dentist : 71404
Saved path: pharmacy, bakery, bike_shop, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, hardware_store, pet_store, florist, music_store, bank : 64657
Saved path: hardware_store, gym, pet_store, bank, gelateria, florist, craft_shop, pizzeria, dentist, tech_shop, grocery_store, toy_store, barber_shop, bakery, party_store : 65640
Saved path: burger_joint, bookstore, cafe, dentist, pizzeria, grocery_store, toy_store, barber_shop, party_store, pharmacy, bank, florist, pet_store, gym, hardware_store : 70306
Saved path: bank, florist, craft_shop, dentist, bookstore, tech_shop, grocery_store, clothing_store, toy_store, salon, hardware_store, gym, party_store, pharmacy, gelateria : 61956
Saved path: florist, music_store, bank, pet_store, craft_shop, gym, hardware_store, party_store, bakery, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, bookstore : 60663
Saved path: party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, bookstore, gym, pet_store, bank, bakery : 70227
Saved path: noodle_house, grocery_store, bookstore, burger_joint, cafe, dentist, pizzeria, florist, music_store, gelateria, pharmacy, bakery, hardware_store, toy_store, salon : 47685
Saved path: gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house, grocery_store, dentist, cafe, burger_joint, hardware_store, gym, craft_shop : 55924
Saved path: barber_shop, salon, toy_store, clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop, florist, music_store, pharmacy, bakery, bike_shop, jewelry_store : 54527
