Saved path: grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, hardware_store, gym, pet_store, bank, music_store, florist, pizzeria, dentist, bookstore : 72387
Saved path: burger_joint, dentist, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, bank, florist, gym, hardware_store : 65998
Saved path: bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, burger_joint, toy_store, grocery_store, dentist, craft_shop, pet_store, gelateria : 60792
Saved path: cafe, tech_shop, noodle_house, burger_joint, hardware_store, party_store, bike_shop, bakery, music_store, bank, gelateria, florist, craft_shop, pizzeria, dentist : 58254
Saved path: hardware_store, salon, noodle_house, clothing_store, tech_shop, cafe, burger_joint, bookstore, craft_shop, florist, bank, music_store, jewelry_store, bike_shop, bakery : 59707
Saved path: gelateria, pet_store, craft_shop, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, gym, music_store, bank : 52818
Saved path: jewelry_store, party_store, bakery, hardware_store, toy_store, salon, noodle_house, grocery_store, bookstore, tech_shop, pizzeria, pet_store, florist, music_store, bike_shop : 62385
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, music_store, craft_shop, gym, bookstore : 54059
Saved path: toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, craft_shop, gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, hardware_store, gym : 57650
Saved path: florist, gelateria, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, toy_store, noodle_house, grocery_store, pizzeria, craft_shop, pet_store : 56040
Saved path: salon, noodle_house, clothing_store, grocery_store, tech_shop, dentist, craft_shop, pet_store, florist, bank, pharmacy, bakery, jewelry_store, party_store, hardware_store : 63764
Saved path: bike_shop, barber_shop, salon, toy_store, hardware_store, burger_joint, bookstore, cafe, pizzeria, pet_store, gelateria, bank, music_store, pharmacy, bakery : 60745
Saved path: salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, gelateria, pet_store, craft_shop, cafe, grocery_store, clothing_store, toy_store : 55702
Saved path: toy_store, salon, hardware_store, jewelry_store, bike_shop, pharmacy, bank, gelateria, florist, pet_store, craft_shop, dentist, tech_shop, cafe, bookstore : 67398
Saved path: jewelry_store, party_store, pharmacy, florist, pet_store, pizzeria, dentist, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, toy_store, bike_shop : 55959
