Saved path: burger_joint, gym, craft_shop, pet_store, pharmacy, bakery, party_store, hardware_store, salon, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore : 53777
Saved path: craft_shop, pizzeria, dentist, bookstore, cafe, tech_shop, clothing_store, noodle_house, salon, hardware_store, bakery, jewelry_store, music_store, bank, florist : 63811
Saved path: pizzeria, dentist, burger_joint, bookstore, grocery_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, pharmacy, bank, florist, pet_store, craft_shop : 67458
Saved path: grocery_store, clothing_store, noodle_house, toy_store, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, bank, pet_store, craft_shop, pizzeria, cafe, bookstore : 61800
Saved path: bank, pharmacy, bakery, barber_shop, salon, noodle_house, toy_store, hardware_store, gym, burger_joint, cafe, pizzeria, craft_shop, florist, music_store : 57067
Saved path: florist, bank, gelateria, pharmacy, barber_shop, salon, noodle_house, grocery_store, tech_shop, pizzeria, dentist, cafe, hardware_store, gym, craft_shop : 56434
Saved path: cafe, hardware_store, gym, pet_store, florist, bank, gelateria, pharmacy, bakery, barber_shop, toy_store, clothing_store, tech_shop, pizzeria, dentist : 61335
Saved path: salon, jewelry_store, party_store, bike_shop, bakery, music_store, gelateria, pet_store, craft_shop, pizzeria, tech_shop, cafe, burger_joint, gym, hardware_store : 61888
Saved path: gym, burger_joint, bookstore, cafe, clothing_store, grocery_store, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, barber_shop, hardware_store : 58071
Saved path: salon, barber_shop, jewelry_store, bike_shop, hardware_store, gym, bank, florist, pizzeria, cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store : 71447
Saved path: bike_shop, party_store, bakery, pharmacy, music_store, florist, pizzeria, dentist, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon : 53069
Saved path: tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, bike_shop, barber_shop, hardware_store, burger_joint, bookstore, clothing_store, grocery_store : 63800
Saved path: tech_shop, burger_joint, cafe, grocery_store, clothing_store, noodle_house, salon, bakery, party_store, bike_shop, gelateria, bank, music_store, craft_shop, pizzeria : 60776
Saved path: tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, hardware_store, toy_store, grocery_store : 60914
Saved path: bakery, bank, florist, pet_store, gym, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, salon, hardware_store, bike_shop, jewelry_store : 64570
Saved path: hardware_store, burger_joint, bookstore, pet_store, bank, gelateria, florist, pizzeria, dentist, tech_shop, noodle_house, toy_store, salon, barber_shop, bakery : 63047
Saved path: hardware_store, gym, pizzeria, florist, music_store, bank, gelateria, pharmacy, party_store, bakery, barber_shop, salon, noodle_house, grocery_store, burger_joint : 64094
Saved path: salon, noodle_house, clothing_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, florist, gelateria, music_store, bike_shop, party_store, hardware_store, toy_store : 53401
Saved path: bank, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, burger_joint, hardware_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, pharmacy : 72129
Saved path: tech_shop, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, bakery, bank, music_store, florist, gym, bookstore, cafe, pizzeria : 65778
Saved path: pizzeria, craft_shop, florist, music_store, gelateria, bakery, party_store, jewelry_store, hardware_store, salon, clothing_store, grocery_store, cafe, burger_joint, gym : 58656
Saved path: clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, burger_joint : 66324
Saved path: florist, pet_store, pizzeria, dentist, tech_shop, bookstore, burger_joint, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank : 64453
Saved path: toy_store, hardware_store, burger_joint, grocery_store, tech_shop, dentist, pizzeria, craft_shop, florist, music_store, bike_shop, party_store, jewelry_store, barber_shop, salon : 61730
Saved path: music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, noodle_house, barber_shop, bike_shop, jewelry_store, pharmacy : 61542
Saved path: pharmacy, party_store, bike_shop, barber_shop, salon, noodle_house, hardware_store, burger_joint, pizzeria, craft_shop, pet_store, florist, gelateria, bank, music_store : 68146
Saved path: barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, florist, pet_store, pizzeria, dentist, tech_shop, burger_joint, hardware_store, noodle_house, salon : 65604
Saved path: pet_store, craft_shop, pizzeria, cafe, bookstore, clothing_store, noodle_house, gym, bike_shop, jewelry_store, pharmacy, gelateria, bank, music_store, florist : 66488
Saved path: craft_shop, pet_store, florist, music_store, bank, gelateria, party_store, bike_shop, barber_shop, salon, toy_store, bookstore, cafe, tech_shop, pizzeria : 66122
Saved path: noodle_house, clothing_store, tech_shop, cafe, dentist, craft_shop, florist, music_store, bank, gelateria, pharmacy, bakery, party_store, barber_shop, toy_store : 57285
Saved path: pharmacy, bakery, party_store, jewelry_store, gym, hardware_store, salon, toy_store, burger_joint, bookstore, dentist, craft_shop, pet_store, florist, music_store : 59388
Saved path: gym, hardware_store, burger_joint, cafe, dentist, pizzeria, clothing_store, noodle_house, salon, barber_shop, bike_shop, bakery, pharmacy, gelateria, craft_shop : 51522
Saved path: bank, music_store, jewelry_store, party_store, bakery, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, dentist, pizzeria, pet_store, gelateria : 66177
Saved path: bank, pet_store, gym, party_store, jewelry_store, bike_shop, barber_shop, toy_store, burger_joint, bookstore, cafe, tech_shop, dentist, florist, gelateria : 70922
Saved path: pizzeria, dentist, cafe, bookstore, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, bakery, pharmacy, gelateria, pet_store : 51961
Saved path: party_store, jewelry_store, bike_shop, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, noodle_house, toy_store, gym, gelateria, pharmacy : 57549
Saved path: cafe, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, pharmacy, music_store, gelateria, pet_store, gym, bookstore : 53080
Saved path: hardware_store, gym, craft_shop, pet_store, bank, music_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, tech_shop, cafe, bookstore, burger_joint : 64998
Saved path: dentist, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, party_store, jewelry_store, bike_shop, bakery, music_store, pet_store, craft_shop, pizzeria : 57949
Saved path: jewelry_store, party_store, pharmacy, bank, music_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop : 67157
Saved path: barber_shop, bike_shop, pharmacy, music_store, bank, florist, gym, hardware_store, bookstore, cafe, dentist, pizzeria, grocery_store, noodle_house, salon : 62477
Saved path: bakery, barber_shop, salon, toy_store, burger_joint, cafe, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, gelateria : 49855
Saved path: bakery, party_store, bike_shop, barber_shop, salon, toy_store, clothing_store, burger_joint, dentist, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy : 64065
Saved path: burger_joint, bookstore, clothing_store, grocery_store, dentist, pizzeria, florist, music_store, gelateria, pharmacy, jewelry_store, barber_shop, salon, toy_store, hardware_store : 61260
Saved path: dentist, pizzeria, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, gelateria, bank, music_store, gym, burger_joint, cafe : 67192
Saved path: florist, craft_shop, pizzeria, cafe, burger_joint, bookstore, grocery_store, clothing_store, toy_store, salon, hardware_store, jewelry_store, bakery, bank, music_store : 63621
Saved path: gelateria, bakery, bike_shop, barber_shop, toy_store, noodle_house, tech_shop, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop, music_store : 56293
Saved path: noodle_house, salon, barber_shop, bakery, party_store, bank, gelateria, gym, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop : 66297
Saved path: cafe, grocery_store, noodle_house, salon, hardware_store, gym, bike_shop, jewelry_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, pizzeria : 67435
Saved path: cafe, bookstore, hardware_store, bakery, bike_shop, jewelry_store, barber_shop, bank, gelateria, florist, craft_shop, pizzeria, dentist, clothing_store, tech_shop : 68351
Saved path: jewelry_store, gelateria, bank, music_store, florist, pet_store, dentist, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, gym, hardware_store, bike_shop : 64447
Saved path: burger_joint, cafe, tech_shop, dentist, florist, gelateria, music_store, bike_shop, party_store, bakery, barber_shop, salon, noodle_house, toy_store, hardware_store : 56593
