Saved path: burger_joint, cafe, tech_shop, pizzeria, music_store, bank, gelateria, pharmacy, party_store, bike_shop, hardware_store, salon, clothing_store, grocery_store, bookstore : 62603
Saved path: grocery_store, tech_shop, dentist, cafe, burger_joint, hardware_store, gym, florist, bank, pharmacy, bakery, bike_shop, barber_shop, salon, noodle_house : 57827
Saved path: toy_store, noodle_house, clothing_store, tech_shop, dentist, pizzeria, craft_shop, gelateria, bank, pet_store, gym, hardware_store, jewelry_store, barber_shop, salon : 70610
Saved path: barber_shop, grocery_store, tech_shop, dentist, cafe, bookstore, burger_joint, hardware_store, gym, pet_store, gelateria, bank, music_store, pharmacy, jewelry_store : 68111
Saved path: bank, gelateria, pet_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, noodle_house, salon, toy_store, gym, bakery, jewelry_store, music_store : 67587
Saved path: bank, music_store, pharmacy, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, cafe, pizzeria, gym, florist, gelateria : 67432
Saved path: gym, craft_shop, music_store, pharmacy, party_store, bakery, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, bookstore, burger_joint : 55892
Saved path: bookstore, cafe, burger_joint, hardware_store, gym, pizzeria, pet_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house : 63975
Saved path: burger_joint, clothing_store, toy_store, salon, hardware_store, bakery, pharmacy, gelateria, bank, florist, pet_store, craft_shop, pizzeria, dentist, cafe : 56629
Saved path: cafe, bookstore, burger_joint, toy_store, salon, hardware_store, jewelry_store, gelateria, bank, music_store, florist, pet_store, craft_shop, dentist, tech_shop : 65981
Saved path: jewelry_store, salon, noodle_house, clothing_store, grocery_store, bookstore, dentist, pet_store, bank, gelateria, florist, gym, hardware_store, bakery, party_store : 67130
Saved path: gelateria, music_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, hardware_store, burger_joint, bookstore, dentist, craft_shop, pet_store, florist : 62361
Saved path: pet_store, florist, pharmacy, party_store, jewelry_store, barber_shop, noodle_house, toy_store, hardware_store, gym, burger_joint, bookstore, cafe, pizzeria, craft_shop : 61509
Saved path: pet_store, florist, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, hardware_store, burger_joint, toy_store, clothing_store, tech_shop, pizzeria, craft_shop : 61767
Saved path: cafe, dentist, craft_shop, pet_store, bank, gelateria, pharmacy, bike_shop, hardware_store, gym, burger_joint, toy_store, noodle_house, grocery_store, tech_shop : 54232
Saved path: craft_shop, pizzeria, grocery_store, clothing_store, noodle_house, toy_store, gym, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, florist, pet_store : 63408
Saved path: burger_joint, dentist, tech_shop, grocery_store, clothing_store, barber_shop, bike_shop, party_store, pharmacy, gelateria, florist, pet_store, craft_shop, gym, hardware_store : 57740
Saved path: bike_shop, music_store, bank, florist, craft_shop, pizzeria, tech_shop, grocery_store, cafe, burger_joint, toy_store, salon, hardware_store, party_store, jewelry_store : 65191
Saved path: gym, burger_joint, bookstore, dentist, tech_shop, clothing_store, noodle_house, salon, jewelry_store, party_store, bike_shop, bakery, pharmacy, music_store, craft_shop : 57591
Saved path: florist, gelateria, bank, music_store, jewelry_store, party_store, barber_shop, salon, toy_store, hardware_store, gym, burger_joint, bookstore, dentist, pizzeria : 70268
