Saved path: gelateria, pet_store, pizzeria, cafe, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, gym, bike_shop, jewelry_store, music_store, bank : 68952
Saved path: pharmacy, party_store, barber_shop, salon, toy_store, hardware_store, burger_joint, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, bank : 65688
Saved path: burger_joint, bookstore, cafe, dentist, grocery_store, salon, barber_shop, bike_shop, party_store, pharmacy, gelateria, florist, craft_shop, gym, hardware_store : 54913
Saved path: dentist, cafe, burger_joint, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, music_store, florist, pizzeria : 58137
Saved path: pet_store, florist, gelateria, music_store, pharmacy, bakery, bike_shop, hardware_store, salon, toy_store, burger_joint, cafe, grocery_store, dentist, pizzeria : 52821
Saved path: salon, barber_shop, jewelry_store, party_store, bakery, bank, pet_store, craft_shop, dentist, tech_shop, grocery_store, cafe, burger_joint, hardware_store, toy_store : 67657
Saved path: bank, gelateria, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, toy_store, hardware_store, gym, bookstore, cafe, tech_shop, pizzeria, pet_store : 70242
Saved path: bike_shop, bakery, pharmacy, music_store, bank, florist, pet_store, hardware_store, bookstore, cafe, tech_shop, clothing_store, noodle_house, salon, barber_shop : 58322
Saved path: dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, florist, bank, pet_store : 71272
Saved path: florist, craft_shop, pizzeria, dentist, tech_shop, grocery_store, cafe, bookstore, gym, hardware_store, jewelry_store, party_store, pharmacy, gelateria, bank : 61720
Saved path: pet_store, craft_shop, gym, burger_joint, bookstore, cafe, grocery_store, salon, hardware_store, party_store, jewelry_store, pharmacy, bank, music_store, florist : 63977
Saved path: dentist, bookstore, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, bank, music_store, craft_shop : 62972
Saved path: grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria, hardware_store, bookstore, cafe, tech_shop : 61479
Saved path: bike_shop, party_store, bakery, barber_shop, toy_store, clothing_store, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop, pet_store, music_store : 63678
Saved path: music_store, florist, hardware_store, bike_shop, bakery, barber_shop, salon, noodle_house, bookstore, cafe, pizzeria, craft_shop, pet_store, gelateria, bank : 62971
Saved path: bookstore, dentist, craft_shop, pet_store, florist, bank, music_store, pharmacy, party_store, bike_shop, barber_shop, noodle_house, toy_store, hardware_store, gym : 69162
Saved path: salon, toy_store, bookstore, cafe, tech_shop, dentist, craft_shop, pet_store, florist, bank, music_store, jewelry_store, party_store, bakery, hardware_store : 67414
Saved path: pharmacy, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, bookstore, cafe, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria : 69946
Saved path: music_store, gelateria, pharmacy, bakery, bike_shop, hardware_store, gym, toy_store, salon, noodle_house, burger_joint, bookstore, cafe, dentist, pizzeria : 52640
Saved path: noodle_house, salon, hardware_store, jewelry_store, bike_shop, music_store, gelateria, florist, gym, burger_joint, cafe, dentist, pizzeria, tech_shop, clothing_store : 60077
Saved path: gym, hardware_store, bakery, party_store, jewelry_store, bike_shop, gelateria, florist, pizzeria, tech_shop, cafe, bookstore, noodle_house, salon, toy_store : 59144
Saved path: pet_store, craft_shop, gym, burger_joint, bookstore, dentist, tech_shop, clothing_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy : 61264
Saved path: bank, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, cafe, gym : 62846
Saved path: tech_shop, cafe, dentist, craft_shop, florist, music_store, bank, pharmacy, party_store, jewelry_store, bike_shop, gym, toy_store, salon, grocery_store : 65764
Saved path: clothing_store, grocery_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, bank, bakery, bike_shop, jewelry_store, party_store, hardware_store, salon, toy_store : 66342
Saved path: hardware_store, burger_joint, bookstore, cafe, grocery_store, dentist, pizzeria, craft_shop, music_store, bank, pharmacy, party_store, jewelry_store, barber_shop, salon : 67947
Saved path: burger_joint, dentist, pizzeria, florist, bank, gelateria, pharmacy, bakery, hardware_store, toy_store, salon, noodle_house, grocery_store, tech_shop, bookstore : 55991
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, gym, craft_shop, florist, music_store, pharmacy, bakery, bike_shop, hardware_store, toy_store : 39847
Saved path: dentist, pizzeria, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bakery, party_store, jewelry_store, music_store, gelateria, hardware_store, bookstore, cafe : 61510
Saved path: florist, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, grocery_store, tech_shop, dentist, pizzeria, gym, pet_store : 63430
Saved path: gelateria, florist, gym, burger_joint, cafe, tech_shop, grocery_store, noodle_house, salon, toy_store, hardware_store, party_store, bike_shop, bakery, pharmacy : 47755
Saved path: noodle_house, salon, toy_store, gym, florist, gelateria, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, burger_joint, bookstore, dentist, clothing_store : 58110
Saved path: pet_store, craft_shop, hardware_store, burger_joint, bookstore, cafe, tech_shop, grocery_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, bank : 64436
Saved path: bank, music_store, pharmacy, bakery, burger_joint, bookstore, cafe, dentist, tech_shop, noodle_house, salon, toy_store, gym, florist, gelateria : 54736
Saved path: dentist, pizzeria, tech_shop, grocery_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, florist, craft_shop, gym, bookstore, cafe : 61192
Saved path: dentist, burger_joint, gym, craft_shop, florist, bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, tech_shop : 66405
Saved path: pharmacy, bike_shop, jewelry_store, barber_shop, noodle_house, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store, gym, pet_store, bank : 71561
