Saved path: craft_shop, pet_store, florist, pharmacy, bakery, bike_shop, gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, dentist : 45073
Saved path: hardware_store, gym, craft_shop, florist, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, grocery_store, dentist, burger_joint : 58488
Saved path: bakery, bike_shop, jewelry_store, party_store, burger_joint, toy_store, clothing_store, grocery_store, dentist, craft_shop, pet_store, florist, gelateria, music_store, pharmacy : 54098
Saved path: party_store, jewelry_store, bike_shop, hardware_store, burger_joint, cafe, tech_shop, clothing_store, noodle_house, gym, craft_shop, music_store, gelateria, pharmacy, bakery : 50755
Saved path: pizzeria, tech_shop, cafe, bookstore, burger_joint, gym, hardware_store, toy_store, barber_shop, jewelry_store, pharmacy, music_store, bank, gelateria, florist : 67212
Saved path: pet_store, florist, gelateria, bank, music_store, pharmacy, party_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, gym, craft_shop : 60204
Saved path: party_store, gym, burger_joint, toy_store, salon, clothing_store, grocery_store, dentist, pizzeria, craft_shop, florist, music_store, bank, pharmacy, jewelry_store : 66438
Saved path: bank, music_store, florist, craft_shop, gym, burger_joint, bookstore, dentist, pizzeria, tech_shop, grocery_store, salon, bike_shop, bakery, pharmacy : 60478
Saved path: dentist, pizzeria, craft_shop, gym, pet_store, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, cafe : 60838
Saved path: clothing_store, pizzeria, craft_shop, pet_store, florist, gelateria, bank, pharmacy, bike_shop, jewelry_store, barber_shop, salon, hardware_store, burger_joint, bookstore : 71753
Saved path: party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pet_store, bank, gelateria, florist, hardware_store : 69331
Saved path: cafe, bookstore, craft_shop, pet_store, bank, music_store, jewelry_store, party_store, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop : 62324
Saved path: pet_store, bookstore, burger_joint, hardware_store, jewelry_store, bakery, barber_shop, noodle_house, grocery_store, tech_shop, cafe, dentist, craft_shop, florist, gelateria : 59370
Saved path: bank, gelateria, bakery, party_store, jewelry_store, barber_shop, salon, hardware_store, toy_store, noodle_house, clothing_store, tech_shop, dentist, pizzeria, pet_store : 70442
Saved path: gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, clothing_store, tech_shop, dentist, hardware_store, gym, pet_store, florist, music_store, bank : 67322
Saved path: barber_shop, salon, noodle_house, clothing_store, tech_shop, bookstore, burger_joint, cafe, dentist, pizzeria, craft_shop, pet_store, gym, hardware_store, bike_shop : 50063
Saved path: bank, gelateria, pet_store, pizzeria, dentist, cafe, burger_joint, noodle_house, salon, toy_store, gym, party_store, jewelry_store, bike_shop, music_store : 70901
Saved path: burger_joint, bookstore, gym, hardware_store, bike_shop, bakery, pharmacy, music_store, florist, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, toy_store : 49328
Saved path: gym, pet_store, florist, music_store, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, grocery_store, tech_shop, dentist, burger_joint : 62670
Saved path: noodle_house, barber_shop, bakery, party_store, bike_shop, music_store, bank, gelateria, florist, dentist, tech_shop, cafe, bookstore, hardware_store, toy_store : 64295
Saved path: pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house, toy_store, hardware_store, burger_joint, dentist, pizzeria, craft_shop, pet_store, bank : 68632
Saved path: tech_shop, clothing_store, noodle_house, bookstore, gym, bike_shop, jewelry_store, party_store, pharmacy, bank, music_store, florist, pet_store, craft_shop, dentist : 66969
Saved path: pharmacy, music_store, florist, pet_store, pizzeria, dentist, grocery_store, burger_joint, hardware_store, toy_store, noodle_house, salon, barber_shop, jewelry_store, bakery : 62632
Saved path: party_store, bike_shop, bakery, pharmacy, bank, florist, pet_store, craft_shop, dentist, tech_shop, bookstore, burger_joint, toy_store, gym, hardware_store : 62564
Saved path: jewelry_store, party_store, hardware_store, salon, clothing_store, bookstore, burger_joint, gym, craft_shop, pet_store, florist, music_store, pharmacy, bakery, bike_shop : 56238
Saved path: bike_shop, party_store, bakery, pharmacy, bank, music_store, florist, pizzeria, dentist, bookstore, burger_joint, toy_store, noodle_house, salon, barber_shop : 63519
Saved path: dentist, cafe, bookstore, burger_joint, gym, toy_store, noodle_house, salon, barber_shop, bakery, party_store, bike_shop, music_store, bank, pet_store : 66143
Saved path: jewelry_store, party_store, bike_shop, bank, gelateria, craft_shop, pizzeria, dentist, burger_joint, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, salon : 66938
Saved path: pet_store, craft_shop, dentist, cafe, grocery_store, noodle_house, salon, toy_store, burger_joint, hardware_store, bike_shop, gym, florist, gelateria, bank : 59975
Saved path: grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, bike_shop, bakery, bank, pet_store, pizzeria, dentist, burger_joint, cafe, tech_shop : 67445
Saved path: gym, bakery, party_store, music_store, florist, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, grocery_store, toy_store, salon, hardware_store : 58866
Saved path: burger_joint, hardware_store, gym, pizzeria, craft_shop, florist, bank, music_store, pharmacy, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, toy_store : 68575
Saved path: florist, pet_store, pizzeria, dentist, tech_shop, grocery_store, clothing_store, cafe, bookstore, burger_joint, gym, bike_shop, pharmacy, gelateria, bank : 57792
Saved path: pet_store, bank, gelateria, florist, craft_shop, dentist, bookstore, cafe, tech_shop, grocery_store, noodle_house, salon, toy_store, bakery, gym : 57593
Saved path: pizzeria, dentist, cafe, burger_joint, hardware_store, gelateria, bank, bakery, party_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, tech_shop : 65107
Saved path: bank, music_store, florist, pet_store, pizzeria, dentist, tech_shop, noodle_house, toy_store, burger_joint, gym, bike_shop, jewelry_store, party_store, pharmacy : 69218
Saved path: music_store, florist, gym, bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store, salon, barber_shop, party_store, pharmacy, gelateria, bank : 64892
Saved path: gelateria, pharmacy, jewelry_store, bike_shop, hardware_store, salon, noodle_house, clothing_store, grocery_store, cafe, bookstore, burger_joint, gym, craft_shop, pet_store : 52510
Saved path: pet_store, gelateria, music_store, pharmacy, bakery, jewelry_store, salon, toy_store, clothing_store, grocery_store, tech_shop, dentist, cafe, bookstore, gym : 58836
Saved path: bakery, barber_shop, salon, toy_store, noodle_house, cafe, dentist, craft_shop, gym, pet_store, florist, music_store, bank, gelateria, pharmacy : 57833
Saved path: bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, gym, burger_joint, cafe, noodle_house, clothing_store, tech_shop, pizzeria, florist : 62900
Saved path: noodle_house, salon, toy_store, gym, bakery, bike_shop, music_store, bank, gelateria, pet_store, pizzeria, dentist, burger_joint, bookstore, grocery_store : 63065
Saved path: music_store, bank, gelateria, florist, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, cafe, burger_joint, hardware_store, salon, barber_shop : 59174
Saved path: jewelry_store, bike_shop, pharmacy, gelateria, bank, florist, pet_store, craft_shop, gym, bookstore, grocery_store, tech_shop, cafe, burger_joint, hardware_store : 60397
Saved path: bookstore, noodle_house, burger_joint, gym, hardware_store, party_store, jewelry_store, bike_shop, music_store, bank, florist, craft_shop, pizzeria, dentist, cafe : 65476
Saved path: bike_shop, bakery, barber_shop, noodle_house, clothing_store, toy_store, hardware_store, burger_joint, bookstore, tech_shop, dentist, pizzeria, craft_shop, pet_store, gelateria : 55190
Saved path: noodle_house, tech_shop, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, florist, music_store, bank, gelateria, jewelry_store, bakery, barber_shop : 68376
Saved path: bike_shop, bakery, hardware_store, salon, toy_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, pet_store, gelateria, music_store, florist, gym : 55095
Saved path: grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym, pet_store, florist, music_store, jewelry_store, hardware_store, toy_store, noodle_house : 59012
Saved path: hardware_store, gym, pet_store, florist, bank, music_store, pharmacy, bakery, bike_shop, barber_shop, salon, noodle_house, clothing_store, tech_shop, cafe : 56950
Saved path: hardware_store, barber_shop, jewelry_store, bike_shop, bakery, music_store, bank, gelateria, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, burger_joint : 67089
Saved path: hardware_store, cafe, clothing_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, florist, pet_store, craft_shop : 58122
Saved path: bookstore, burger_joint, hardware_store, noodle_house, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria, florist, pizzeria, tech_shop : 67425
Saved path: pet_store, florist, bank, gelateria, pharmacy, bakery, jewelry_store, bike_shop, gym, hardware_store, salon, clothing_store, cafe, tech_shop, pizzeria : 69478
Saved path: noodle_house, hardware_store, burger_joint, bookstore, cafe, tech_shop, dentist, pizzeria, craft_shop, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop : 60339
Saved path: florist, craft_shop, hardware_store, burger_joint, bookstore, tech_shop, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, gelateria, bank, music_store : 64974
Saved path: gelateria, bank, music_store, florist, dentist, cafe, bookstore, burger_joint, hardware_store, toy_store, grocery_store, clothing_store, noodle_house, barber_shop, pharmacy : 53785
Saved path: tech_shop, pizzeria, burger_joint, gym, craft_shop, pet_store, florist, gelateria, bank, pharmacy, bike_shop, barber_shop, salon, clothing_store, grocery_store : 62966
Saved path: grocery_store, clothing_store, noodle_house, barber_shop, bakery, jewelry_store, hardware_store, florist, music_store, bank, pet_store, bookstore, burger_joint, cafe, tech_shop : 64168
Saved path: noodle_house, clothing_store, tech_shop, dentist, florist, music_store, gelateria, pharmacy, bakery, bike_shop, hardware_store, gym, burger_joint, toy_store, salon : 49574
Saved path: hardware_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, burger_joint, bookstore, craft_shop, florist, bank, gelateria, jewelry_store, bakery : 57396
Saved path: salon, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, pizzeria, gym, hardware_store, burger_joint, bookstore, cafe, clothing_store, toy_store : 58222
Saved path: craft_shop, pet_store, florist, bank, music_store, pharmacy, bakery, gym, toy_store, noodle_house, grocery_store, bookstore, cafe, tech_shop, pizzeria : 55169
Saved path: burger_joint, toy_store, noodle_house, clothing_store, grocery_store, cafe, tech_shop, pizzeria, pet_store, florist, music_store, gelateria, pharmacy, bakery, bike_shop : 47717
Saved path: bookstore, cafe, dentist, craft_shop, pet_store, florist, music_store, pharmacy, jewelry_store, hardware_store, toy_store, noodle_house, grocery_store, tech_shop, burger_joint : 53993
Saved path: pet_store, florist, gelateria, pharmacy, bakery, party_store, barber_shop, salon, clothing_store, tech_shop, cafe, bookstore, dentist, pizzeria, craft_shop : 55880
Saved path: noodle_house, grocery_store, bookstore, cafe, dentist, craft_shop, pet_store, bank, music_store, pharmacy, bakery, jewelry_store, party_store, hardware_store, salon : 62984
Saved path: gelateria, music_store, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, toy_store, noodle_house, grocery_store, tech_shop, dentist, craft_shop, pet_store : 56560
Saved path: cafe, tech_shop, pizzeria, craft_shop, florist, music_store, bank, gelateria, bike_shop, jewelry_store, salon, toy_store, noodle_house, clothing_store, grocery_store : 62665
Saved path: florist, music_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, cafe, bookstore, burger_joint, gym, pizzeria : 59726
Saved path: pet_store, florist, gelateria, music_store, pharmacy, party_store, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, cafe, bookstore, gym : 55006
Saved path: cafe, bookstore, tech_shop, grocery_store, toy_store, hardware_store, jewelry_store, party_store, pharmacy, music_store, bank, florist, pet_store, craft_shop, dentist : 62943
Saved path: dentist, pizzeria, florist, bank, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, hardware_store, burger_joint, cafe, grocery_store, tech_shop : 70852
Saved path: tech_shop, clothing_store, toy_store, salon, hardware_store, party_store, jewelry_store, bakery, pharmacy, music_store, florist, pet_store, pizzeria, dentist, cafe : 58902
Saved path: clothing_store, dentist, cafe, burger_joint, hardware_store, gym, craft_shop, pet_store, bank, pharmacy, bike_shop, jewelry_store, barber_shop, salon, toy_store : 68517
Saved path: pharmacy, music_store, bank, gelateria, pet_store, craft_shop, gym, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, salon, jewelry_store, party_store : 61587
Saved path: salon, noodle_house, clothing_store, grocery_store, dentist, pizzeria, craft_shop, florist, gelateria, bank, pharmacy, jewelry_store, bakery, gym, burger_joint : 64002
Saved path: noodle_house, clothing_store, grocery_store, cafe, tech_shop, pizzeria, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, burger_joint, toy_store, salon : 55830
