Saved path: bookstore, cafe, tech_shop, pizzeria, craft_shop, gelateria, bank, pharmacy, bike_shop, hardware_store, gym, toy_store, salon, noodle_house, burger_joint : 59476
Saved path: salon, clothing_store, grocery_store, tech_shop, pizzeria, dentist, burger_joint, gym, craft_shop, gelateria, bank, pharmacy, bike_shop, party_store, jewelry_store : 68139
Saved path: music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, toy_store, grocery_store, cafe, bookstore, burger_joint, hardware_store, pet_store, gelateria, bank : 61307
Saved path: burger_joint, hardware_store, craft_shop, pet_store, florist, gelateria, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, grocery_store, tech_shop : 58642
Saved path: pet_store, florist, bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, hardware_store, salon, noodle_house, toy_store, burger_joint, pizzeria, craft_shop : 67393
Saved path: salon, noodle_house, grocery_store, tech_shop, burger_joint, bookstore, dentist, craft_shop, pet_store, florist, music_store, bank, gelateria, bakery, bike_shop : 59237
Saved path: hardware_store, gym, bookstore, cafe, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store : 69080
Saved path: pizzeria, dentist, cafe, gym, hardware_store, toy_store, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, gelateria, florist, pet_store, craft_shop : 64750
Saved path: burger_joint, bookstore, tech_shop, clothing_store, salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, music_store, bank, florist, pet_store, hardware_store : 67323
Saved path: cafe, burger_joint, noodle_house, salon, toy_store, gym, hardware_store, bike_shop, bakery, pharmacy, music_store, gelateria, pet_store, craft_shop, pizzeria : 52745
Saved path: clothing_store, toy_store, salon, barber_shop, party_store, pharmacy, music_store, bank, florist, pet_store, craft_shop, gym, burger_joint, dentist, tech_shop : 66336
Saved path: burger_joint, gym, pet_store, bank, gelateria, bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, clothing_store, tech_shop, dentist, bookstore : 69763
Saved path: craft_shop, dentist, tech_shop, burger_joint, hardware_store, toy_store, noodle_house, salon, barber_shop, bakery, pharmacy, music_store, bank, gelateria, pet_store : 57384
Saved path: florist, music_store, gelateria, bakery, jewelry_store, hardware_store, toy_store, noodle_house, grocery_store, tech_shop, cafe, bookstore, gym, craft_shop, pet_store : 52905
Saved path: hardware_store, jewelry_store, barber_shop, pharmacy, music_store, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, clothing_store, noodle_house, toy_store : 62911
Saved path: clothing_store, noodle_house, salon, toy_store, gym, bike_shop, party_store, gelateria, florist, pet_store, craft_shop, pizzeria, tech_shop, bookstore, grocery_store : 59054
Saved path: gelateria, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, dentist, cafe, burger_joint, gym, craft_shop, florist, bank : 66034
Saved path: bookstore, hardware_store, salon, barber_shop, bike_shop, party_store, pharmacy, gelateria, bank, florist, pet_store, craft_shop, pizzeria, grocery_store, cafe : 67992
Saved path: party_store, jewelry_store, pharmacy, music_store, florist, pet_store, craft_shop, dentist, cafe, grocery_store, clothing_store, noodle_house, bookstore, burger_joint, bakery : 52444
Saved path: toy_store, noodle_house, clothing_store, bookstore, hardware_store, gym, pet_store, florist, gelateria, bank, pharmacy, bakery, bike_shop, barber_shop, salon : 58382
Saved path: bank, music_store, bakery, party_store, jewelry_store, barber_shop, salon, clothing_store, tech_shop, cafe, hardware_store, gym, craft_shop, pet_store, gelateria : 64332
Saved path: burger_joint, bookstore, cafe, dentist, craft_shop, florist, pet_store, gym, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store : 59695
Saved path: jewelry_store, party_store, pharmacy, bank, music_store, craft_shop, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop : 62901
Saved path: bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, hardware_store, gym, cafe, pizzeria, craft_shop, florist : 68036
Saved path: cafe, bookstore, burger_joint, noodle_house, salon, hardware_store, gym, party_store, jewelry_store, music_store, bank, gelateria, pet_store, pizzeria, dentist : 70408
Saved path: florist, gelateria, music_store, pharmacy, bike_shop, party_store, jewelry_store, salon, toy_store, clothing_store, grocery_store, bookstore, tech_shop, pizzeria, craft_shop : 57977
Saved path: burger_joint, bookstore, cafe, tech_shop, pizzeria, craft_shop, music_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, noodle_house, clothing_store : 57373
Saved path: jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, bookstore, cafe, pizzeria, craft_shop, pet_store, florist, bank, gelateria : 69850
Saved path: burger_joint, hardware_store, bike_shop, party_store, bakery, barber_shop, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, clothing_store, noodle_house, bookstore : 67659
Saved path: pet_store, florist, gelateria, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, gym, noodle_house, clothing_store, tech_shop, cafe, dentist : 57928
Saved path: pizzeria, dentist, cafe, bookstore, burger_joint, toy_store, clothing_store, noodle_house, salon, barber_shop, party_store, jewelry_store, bike_shop, gelateria, florist : 59162
Saved path: cafe, bookstore, grocery_store, clothing_store, toy_store, salon, hardware_store, gym, party_store, bakery, bank, music_store, craft_shop, pizzeria, tech_shop : 63721
Saved path: dentist, craft_shop, music_store, bank, gelateria, pharmacy, bakery, bike_shop, barber_shop, hardware_store, gym, toy_store, clothing_store, grocery_store, tech_shop : 58020
Saved path: florist, pet_store, pizzeria, dentist, tech_shop, clothing_store, noodle_house, bookstore, burger_joint, hardware_store, jewelry_store, party_store, bakery, pharmacy, gelateria : 56103
Saved path: florist, bank, gelateria, party_store, bakery, barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, hardware_store, gym, craft_shop : 57203
Saved path: bike_shop, gym, cafe, clothing_store, grocery_store, tech_shop, dentist, craft_shop, pet_store, florist, gelateria, bank, pharmacy, bakery, jewelry_store : 62243
Saved path: gelateria, pharmacy, bakery, party_store, hardware_store, salon, grocery_store, tech_shop, bookstore, burger_joint, gym, pet_store, florist, music_store, bank : 60128
Saved path: florist, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house, salon, bakery, pharmacy, gelateria, bank : 55971
Saved path: tech_shop, grocery_store, noodle_house, toy_store, hardware_store, barber_shop, jewelry_store, bakery, pharmacy, music_store, bank, pet_store, craft_shop, dentist, bookstore : 67569
Saved path: salon, jewelry_store, party_store, bakery, bank, gelateria, florist, craft_shop, gym, burger_joint, dentist, pizzeria, tech_shop, clothing_store, noodle_house : 66197
Saved path: cafe, tech_shop, grocery_store, toy_store, salon, barber_shop, bike_shop, bakery, pharmacy, music_store, gelateria, florist, pet_store, gym, dentist : 54165
Saved path: bookstore, hardware_store, gym, craft_shop, florist, bank, pharmacy, barber_shop, salon, noodle_house, grocery_store, tech_shop, pizzeria, dentist, cafe : 57805
Saved path: bakery, party_store, jewelry_store, barber_shop, salon, hardware_store, cafe, grocery_store, tech_shop, dentist, craft_shop, pet_store, florist, music_store, pharmacy : 59554
Saved path: craft_shop, pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, noodle_house, toy_store, hardware_store, party_store, jewelry_store, bike_shop, gelateria, pet_store : 57905
Saved path: salon, barber_shop, jewelry_store, party_store, bakery, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, dentist, burger_joint, tech_shop, clothing_store : 68514
Saved path: jewelry_store, party_store, music_store, bank, gelateria, florist, craft_shop, bookstore, burger_joint, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop : 59578
Saved path: bakery, pharmacy, gelateria, bank, florist, dentist, tech_shop, grocery_store, clothing_store, bookstore, hardware_store, salon, barber_shop, bike_shop, party_store : 63940
Saved path: salon, barber_shop, party_store, bakery, music_store, bank, florist, pet_store, craft_shop, hardware_store, burger_joint, tech_shop, grocery_store, clothing_store, toy_store : 62399
Saved path: party_store, bike_shop, salon, noodle_house, clothing_store, bookstore, burger_joint, cafe, dentist, pizzeria, pet_store, florist, music_store, pharmacy, bakery : 57236
Saved path: noodle_house, tech_shop, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, gym, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, salon : 71373
Saved path: salon, noodle_house, grocery_store, tech_shop, cafe, bookstore, burger_joint, dentist, pizzeria, craft_shop, gelateria, jewelry_store, party_store, hardware_store, toy_store : 58106
Saved path: florist, gelateria, pharmacy, party_store, bakery, barber_shop, salon, toy_store, clothing_store, tech_shop, pizzeria, cafe, bookstore, hardware_store, gym : 56140
Saved path: grocery_store, clothing_store, salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, florist, pet_store, gym, hardware_store, burger_joint, bookstore, tech_shop : 55187
Saved path: bike_shop, barber_shop, toy_store, noodle_house, tech_shop, dentist, cafe, burger_joint, hardware_store, gym, craft_shop, music_store, pharmacy, party_store, jewelry_store : 60313
Saved path: bookstore, cafe, dentist, pizzeria, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, bike_shop, gelateria, craft_shop, gym, burger_joint : 61094
Saved path: florist, music_store, pharmacy, party_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, hardware_store, gym : 56269
Saved path: barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, gym, gelateria, music_store, bakery, jewelry_store, bike_shop : 60129
Saved path: gym, hardware_store, salon, toy_store, clothing_store, bookstore, pizzeria, craft_shop, pet_store, florist, gelateria, bank, pharmacy, bakery, jewelry_store : 69615
Saved path: florist, gelateria, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store, grocery_store, pizzeria, dentist, burger_joint, gym : 58812
Saved path: cafe, bookstore, burger_joint, toy_store, clothing_store, noodle_house, barber_shop, bike_shop, pharmacy, gelateria, bank, pet_store, craft_shop, pizzeria, dentist : 58967
Saved path: florist, pet_store, dentist, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, bakery, pharmacy, music_store, bank : 58424
Saved path: hardware_store, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, pet_store : 59264
Saved path: dentist, pizzeria, craft_shop, pet_store, bookstore, burger_joint, bakery, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, cafe : 56124
Saved path: clothing_store, toy_store, salon, hardware_store, gym, party_store, jewelry_store, bike_shop, gelateria, music_store, florist, craft_shop, dentist, cafe, grocery_store : 57875
Saved path: pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, tech_shop, cafe, bookstore, burger_joint, hardware_store, barber_shop, jewelry_store, bike_shop, bakery : 56972
Saved path: clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym, florist, gelateria, bike_shop, jewelry_store, party_store, hardware_store, toy_store, noodle_house : 49064
Saved path: salon, toy_store, gym, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, florist, pizzeria, cafe, bookstore, noodle_house : 68551
Saved path: gelateria, craft_shop, pizzeria, dentist, cafe, bookstore, clothing_store, noodle_house, salon, toy_store, gym, bike_shop, jewelry_store, bakery, bank : 67497
Saved path: hardware_store, gym, burger_joint, bookstore, grocery_store, tech_shop, pizzeria, florist, music_store, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop : 57797
Saved path: grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, party_store, bakery, music_store, gelateria, craft_shop, gym, burger_joint, bookstore, dentist, pizzeria : 58869
Saved path: music_store, craft_shop, gym, hardware_store, burger_joint, tech_shop, clothing_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank : 64469
Saved path: toy_store, grocery_store, bookstore, burger_joint, gym, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop : 59773
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, gym, burger_joint, cafe, tech_shop, pizzeria, craft_shop, pet_store, music_store : 63615
Saved path: tech_shop, pizzeria, dentist, cafe, hardware_store, gym, pet_store, music_store, bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, noodle_house : 66377
