Saved path: bike_shop, bakery, pharmacy, music_store, pet_store, craft_shop, dentist, burger_joint, hardware_store, toy_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store : 61052
Saved path: bank, music_store, pharmacy, bike_shop, jewelry_store, party_store, toy_store, noodle_house, clothing_store, tech_shop, bookstore, dentist, pizzeria, florist, gelateria : 63518
Saved path: jewelry_store, bike_shop, bakery, barber_shop, salon, clothing_store, grocery_store, tech_shop, dentist, pizzeria, pet_store, gelateria, bank, music_store, hardware_store : 70567
Saved path: grocery_store, cafe, burger_joint, hardware_store, salon, barber_shop, jewelry_store, party_store, pharmacy, gelateria, bank, music_store, pizzeria, dentist, clothing_store : 67370
Saved path: burger_joint, toy_store, noodle_house, barber_shop, bike_shop, bakery, pharmacy, gelateria, bank, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store : 57608
Saved path: craft_shop, pizzeria, dentist, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, party_store, jewelry_store, gym, florist : 52432
Saved path: barber_shop, toy_store, noodle_house, clothing_store, grocery_store, bookstore, tech_shop, pizzeria, craft_shop, gym, florist, pharmacy, party_store, jewelry_store, bike_shop : 59002
Saved path: hardware_store, burger_joint, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store : 57592
Saved path: bank, music_store, gym, hardware_store, bakery, bike_shop, jewelry_store, barber_shop, salon, clothing_store, tech_shop, cafe, dentist, craft_shop, florist : 67213
Saved path: burger_joint, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, music_store, florist, pet_store, pizzeria, dentist : 62095
Saved path: barber_shop, salon, toy_store, hardware_store, burger_joint, bookstore, cafe, tech_shop, dentist, pizzeria, pet_store, florist, pharmacy, bike_shop, jewelry_store : 62276
Saved path: toy_store, hardware_store, bookstore, dentist, pizzeria, pet_store, florist, music_store, gelateria, pharmacy, bike_shop, barber_shop, salon, noodle_house, clothing_store : 58404
Saved path: pet_store, florist, music_store, gelateria, party_store, bike_shop, barber_shop, salon, clothing_store, tech_shop, dentist, bookstore, burger_joint, gym, craft_shop : 61431
Saved path: pizzeria, dentist, cafe, burger_joint, gym, craft_shop, pet_store, florist, music_store, gelateria, jewelry_store, salon, noodle_house, clothing_store, tech_shop : 61794
Saved path: pharmacy, gelateria, florist, pet_store, pizzeria, dentist, bookstore, burger_joint, gym, toy_store, salon, barber_shop, jewelry_store, party_store, bakery : 62822
Saved path: florist, pharmacy, bakery, party_store, jewelry_store, gym, toy_store, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, dentist, pizzeria : 56757
Saved path: bakery, barber_shop, salon, noodle_house, clothing_store, tech_shop, cafe, hardware_store, gym, craft_shop, gelateria, bank, music_store, pharmacy, party_store : 57208
Saved path: dentist, cafe, bookstore, noodle_house, burger_joint, gym, hardware_store, party_store, jewelry_store, bike_shop, music_store, gelateria, florist, pet_store, craft_shop : 59427
Saved path: cafe, bookstore, grocery_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, florist, pet_store, craft_shop, pizzeria : 69056
Saved path: bank, music_store, bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, noodle_house, clothing_store, cafe, pizzeria, gym, pet_store, gelateria : 70257
Saved path: salon, toy_store, noodle_house, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym, craft_shop, music_store, pharmacy, bakery, barber_shop : 50443
Saved path: jewelry_store, salon, grocery_store, tech_shop, burger_joint, cafe, dentist, pizzeria, pet_store, bank, music_store, florist, gym, hardware_store, bakery : 69624
Saved path: dentist, cafe, grocery_store, noodle_house, salon, toy_store, burger_joint, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, music_store, florist : 63427
Saved path: toy_store, salon, barber_shop, party_store, bakery, pharmacy, florist, pet_store, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house : 53505
Saved path: grocery_store, tech_shop, pizzeria, florist, bank, gelateria, bike_shop, party_store, bakery, salon, toy_store, burger_joint, bookstore, cafe, clothing_store : 62474
Saved path: party_store, jewelry_store, gym, toy_store, clothing_store, grocery_store, bookstore, cafe, tech_shop, pizzeria, pet_store, florist, bank, gelateria, pharmacy : 65764
Saved path: party_store, jewelry_store, salon, noodle_house, tech_shop, cafe, bookstore, burger_joint, gym, craft_shop, florist, music_store, bank, bakery, bike_shop : 61529
Saved path: music_store, florist, pizzeria, dentist, burger_joint, cafe, tech_shop, grocery_store, noodle_house, salon, hardware_store, bakery, party_store, jewelry_store, bike_shop : 57534
Saved path: toy_store, noodle_house, clothing_store, tech_shop, cafe, dentist, craft_shop, gym, pet_store, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop : 60460
Saved path: burger_joint, bookstore, cafe, dentist, craft_shop, music_store, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, toy_store : 55835
Saved path: dentist, craft_shop, gelateria, bank, pharmacy, bakery, bike_shop, barber_shop, salon, hardware_store, burger_joint, bookstore, noodle_house, clothing_store, tech_shop : 59703
Saved path: bookstore, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bike_shop, music_store, gelateria, gym, craft_shop, pizzeria, dentist : 63311
