Saved path: hardware_store, gym, craft_shop, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, bakery, pharmacy : 45931
Saved path: pet_store, craft_shop, pizzeria, cafe, burger_joint, bookstore, grocery_store, clothing_store, barber_shop, jewelry_store, hardware_store, gym, florist, music_store, bank : 69737
Saved path: craft_shop, gym, burger_joint, cafe, tech_shop, grocery_store, noodle_house, toy_store, salon, jewelry_store, bike_shop, bakery, pharmacy, florist, pet_store : 52409
Saved path: noodle_house, clothing_store, dentist, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, pet_store, music_store, pharmacy, jewelry_store, bike_shop, barber_shop : 61614
Saved path: salon, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop, gym, florist, music_store, gelateria, bakery, jewelry_store, barber_shop : 57606
Saved path: barber_shop, toy_store, clothing_store, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop, pet_store, florist, gelateria, pharmacy, bike_shop : 57038
Saved path: pizzeria, dentist, bookstore, gym, pet_store, florist, bank, pharmacy, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop : 66598
Saved path: craft_shop, pet_store, florist, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, clothing_store, bookstore, burger_joint, cafe, pizzeria : 59119
Saved path: gelateria, pharmacy, bakery, bike_shop, gym, hardware_store, salon, noodle_house, clothing_store, bookstore, cafe, pizzeria, craft_shop, pet_store, florist : 52083
Saved path: tech_shop, pizzeria, dentist, cafe, bookstore, hardware_store, gym, pet_store, florist, music_store, bike_shop, party_store, jewelry_store, barber_shop, toy_store : 67429
Saved path: craft_shop, pizzeria, dentist, burger_joint, noodle_house, salon, hardware_store, jewelry_store, party_store, bakery, pharmacy, music_store, bank, florist, pet_store : 67157
Saved path: tech_shop, grocery_store, noodle_house, toy_store, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, bank, gelateria, gym, burger_joint, bookstore, cafe : 58851
Saved path: pizzeria, craft_shop, pet_store, bank, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, cafe, burger_joint : 58162
Saved path: dentist, cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, bakery, pharmacy, pet_store, craft_shop : 48804
Saved path: barber_shop, salon, toy_store, hardware_store, gym, burger_joint, bookstore, cafe, dentist, craft_shop, pet_store, bank, pharmacy, bakery, bike_shop : 60151
Saved path: gelateria, bank, music_store, florist, pet_store, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery : 65039
Saved path: burger_joint, cafe, tech_shop, grocery_store, bookstore, craft_shop, florist, music_store, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, hardware_store : 51555
Saved path: bank, gelateria, pet_store, gym, hardware_store, bookstore, dentist, tech_shop, grocery_store, toy_store, barber_shop, bike_shop, jewelry_store, pharmacy, music_store : 70738
Saved path: gym, craft_shop, florist, gelateria, bank, party_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, bookstore, burger_joint : 64957
Saved path: gelateria, music_store, florist, gym, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house, tech_shop, cafe, dentist, craft_shop, pet_store : 61166
Saved path: bank, gelateria, pharmacy, party_store, bike_shop, hardware_store, gym, toy_store, salon, noodle_house, grocery_store, tech_shop, dentist, pizzeria, pet_store : 65714
Saved path: noodle_house, clothing_store, tech_shop, dentist, craft_shop, pet_store, florist, music_store, gelateria, bike_shop, party_store, bakery, gym, burger_joint, toy_store : 54381
Saved path: bike_shop, jewelry_store, party_store, hardware_store, gym, bookstore, cafe, clothing_store, tech_shop, pizzeria, craft_shop, pet_store, gelateria, bank, music_store : 65215
Saved path: pizzeria, craft_shop, pet_store, florist, music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, hardware_store, toy_store, noodle_house, clothing_store, tech_shop : 60038
Saved path: gym, jewelry_store, barber_shop, salon, noodle_house, clothing_store, toy_store, burger_joint, bookstore, dentist, craft_shop, pet_store, bank, gelateria, florist : 69057
Saved path: burger_joint, bookstore, tech_shop, clothing_store, noodle_house, salon, jewelry_store, bike_shop, bakery, music_store, gelateria, craft_shop, pizzeria, dentist, cafe : 58205
Saved path: grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria, craft_shop, bookstore, tech_shop : 59769
Saved path: dentist, craft_shop, gym, pet_store, florist, gelateria, pharmacy, party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe : 56119
Saved path: music_store, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house, clothing_store, toy_store, burger_joint, pet_store, florist : 64222
Saved path: craft_shop, pizzeria, grocery_store, clothing_store, bookstore, burger_joint, hardware_store, toy_store, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, bank, florist : 68308
Saved path: bike_shop, bakery, pharmacy, pet_store, craft_shop, dentist, clothing_store, grocery_store, cafe, bookstore, burger_joint, hardware_store, toy_store, salon, barber_shop : 51383
Saved path: bakery, bike_shop, gym, florist, pet_store, craft_shop, dentist, cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop : 49543
Saved path: bakery, music_store, florist, craft_shop, gym, hardware_store, burger_joint, dentist, pizzeria, tech_shop, grocery_store, toy_store, barber_shop, jewelry_store, party_store : 60360
Saved path: hardware_store, burger_joint, noodle_house, clothing_store, cafe, bookstore, pet_store, florist, music_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store : 58325
Saved path: pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, toy_store, gym, pet_store, florist, bank : 65963
Saved path: bank, gelateria, florist, pet_store, craft_shop, burger_joint, cafe, tech_shop, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, bakery, pharmacy : 56157
