Saved path: grocery_store, cafe, bookstore, craft_shop, florist, gelateria, bank, bakery, bike_shop, party_store, hardware_store, toy_store, salon, noodle_house, clothing_store : 55793
Saved path: tech_shop, dentist, bookstore, burger_joint, gym, craft_shop, music_store, bank, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house, grocery_store : 67128
Saved path: florist, gelateria, bank, music_store, bakery, jewelry_store, barber_shop, salon, toy_store, bookstore, cafe, grocery_store, tech_shop, pizzeria, craft_shop : 63775
Saved path: cafe, grocery_store, toy_store, barber_shop, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store, craft_shop, hardware_store, burger_joint, bookstore : 54136
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, burger_joint, gym, hardware_store, party_store, pharmacy, music_store, bank, pet_store, craft_shop, pizzeria, dentist : 60010
Saved path: bookstore, burger_joint, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, bank, gelateria, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store : 59508
Saved path: craft_shop, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, salon, hardware_store, gym, party_store, music_store, bank, gelateria, florist : 61015
Saved path: dentist, pizzeria, craft_shop, florist, gelateria, jewelry_store, bike_shop, bakery, barber_shop, salon, hardware_store, burger_joint, cafe, tech_shop, grocery_store : 57802
Saved path: dentist, cafe, tech_shop, grocery_store, toy_store, hardware_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, florist, pet_store : 70697
Saved path: party_store, bike_shop, salon, toy_store, clothing_store, dentist, cafe, burger_joint, gym, pet_store, florist, gelateria, bank, music_store, pharmacy : 65476
Saved path: grocery_store, tech_shop, bookstore, burger_joint, gym, florist, bank, gelateria, pharmacy, bakery, bike_shop, barber_shop, toy_store, noodle_house, clothing_store : 52780
Saved path: bakery, pharmacy, florist, craft_shop, gym, burger_joint, bookstore, dentist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop : 46019
Saved path: tech_shop, pizzeria, gym, pet_store, florist, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, grocery_store, cafe : 63178
Saved path: pet_store, craft_shop, gym, bookstore, cafe, clothing_store, noodle_house, party_store, jewelry_store, bike_shop, pharmacy, gelateria, bank, music_store, florist : 61938
Saved path: bakery, pharmacy, music_store, bank, pet_store, pizzeria, dentist, burger_joint, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, bike_shop, party_store : 65567
Saved path: burger_joint, cafe, grocery_store, clothing_store, toy_store, salon, barber_shop, bakery, hardware_store, gym, florist, gelateria, bank, pet_store, bookstore : 54324
Saved path: pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, toy_store, gym, bike_shop, bakery, pharmacy, music_store, florist, pet_store, craft_shop : 49484
Saved path: noodle_house, salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, gelateria, florist, craft_shop, pizzeria, dentist, bookstore, gym, hardware_store : 61572
Saved path: bike_shop, jewelry_store, barber_shop, salon, noodle_house, grocery_store, tech_shop, cafe, gym, craft_shop, pet_store, florist, music_store, bank, gelateria : 64729
Saved path: music_store, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, hardware_store, craft_shop : 54174
Saved path: florist, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, party_store, bakery, pharmacy, gelateria : 54420
Saved path: toy_store, salon, noodle_house, clothing_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, party_store, bakery, gym, burger_joint : 56203
Saved path: tech_shop, grocery_store, noodle_house, salon, jewelry_store, party_store, bike_shop, gelateria, bank, music_store, florist, pet_store, craft_shop, gym, toy_store : 66060
Saved path: burger_joint, hardware_store, toy_store, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, pharmacy, bank, gelateria, craft_shop, pizzeria, bookstore : 68927
Saved path: craft_shop, pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house, toy_store, hardware_store, barber_shop, jewelry_store, gelateria, bank, music_store, florist : 66646
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store, tech_shop, bookstore, dentist, pizzeria, pet_store, bank, gelateria, pharmacy : 70191
