Saved path: burger_joint, bookstore, grocery_store, tech_shop, dentist, craft_shop, gelateria, bank, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, gym, toy_store : 63747
Saved path: music_store, gelateria, pet_store, gym, hardware_store, burger_joint, cafe, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, party_store, bakery : 56909
Saved path: jewelry_store, party_store, hardware_store, toy_store, burger_joint, bookstore, grocery_store, tech_shop, dentist, pizzeria, florist, music_store, pharmacy, bakery, bike_shop : 54853
Saved path: grocery_store, clothing_store, noodle_house, barber_shop, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, bank, music_store, craft_shop, pizzeria, bookstore : 68838
Saved path: pharmacy, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, clothing_store, toy_store, gym, hardware_store, party_store, jewelry_store, bike_shop, barber_shop : 64333
Saved path: bike_shop, party_store, bakery, pharmacy, gelateria, music_store, pizzeria, gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, noodle_house, salon : 57321
Saved path: hardware_store, bike_shop, party_store, bakery, pharmacy, music_store, florist, craft_shop, dentist, cafe, bookstore, grocery_store, noodle_house, salon, toy_store : 51037
Saved path: bike_shop, bakery, pharmacy, gelateria, music_store, florist, pet_store, craft_shop, gym, burger_joint, bookstore, grocery_store, salon, barber_shop, jewelry_store : 57581
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, gelateria, bank, pharmacy, jewelry_store, party_store, bakery, burger_joint, bookstore, toy_store : 60068
Saved path: hardware_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, florist, pet_store, dentist, tech_shop, clothing_store, bookstore : 63605
Saved path: hardware_store, bookstore, cafe, clothing_store, grocery_store, tech_shop, dentist, craft_shop, gelateria, bank, pharmacy, party_store, jewelry_store, bike_shop, barber_shop : 67072
Saved path: toy_store, salon, noodle_house, grocery_store, tech_shop, cafe, bookstore, pet_store, gelateria, bank, music_store, pharmacy, bakery, jewelry_store, hardware_store : 60364
Saved path: craft_shop, pizzeria, dentist, tech_shop, grocery_store, cafe, burger_joint, toy_store, salon, hardware_store, jewelry_store, party_store, bakery, bank, music_store : 65657
Saved path: tech_shop, pizzeria, florist, music_store, bank, gelateria, pharmacy, bakery, barber_shop, noodle_house, toy_store, hardware_store, burger_joint, bookstore, cafe : 55522
Saved path: pet_store, florist, bank, music_store, pharmacy, jewelry_store, hardware_store, gym, burger_joint, toy_store, salon, noodle_house, clothing_store, cafe, pizzeria : 69522
Saved path: party_store, jewelry_store, barber_shop, gelateria, bank, music_store, florist, pet_store, pizzeria, dentist, clothing_store, toy_store, burger_joint, hardware_store, bakery : 71371
Saved path: gelateria, jewelry_store, bike_shop, bakery, barber_shop, noodle_house, clothing_store, tech_shop, bookstore, burger_joint, hardware_store, gym, craft_shop, florist, bank : 62016
Saved path: florist, gelateria, party_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, burger_joint, hardware_store, gym, craft_shop, pet_store : 52025
Saved path: pizzeria, cafe, bookstore, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, gym, bank, pet_store, craft_shop : 72549
Saved path: bakery, bike_shop, music_store, florist, pet_store, craft_shop, pizzeria, dentist, burger_joint, bookstore, grocery_store, noodle_house, salon, hardware_store, gym : 55181
Saved path: bank, music_store, pharmacy, bakery, party_store, barber_shop, toy_store, clothing_store, tech_shop, burger_joint, dentist, pizzeria, craft_shop, pet_store, gelateria : 63736
Saved path: hardware_store, bike_shop, bakery, pharmacy, music_store, bank, pet_store, craft_shop, dentist, cafe, burger_joint, tech_shop, clothing_store, toy_store, salon : 56178
Saved path: pet_store, florist, gelateria, party_store, bike_shop, gym, burger_joint, cafe, bookstore, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop : 53641
Saved path: pharmacy, bakery, jewelry_store, barber_shop, salon, noodle_house, grocery_store, tech_shop, burger_joint, gym, craft_shop, florist, gelateria, bank, music_store : 58481
Saved path: music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, dentist, hardware_store, gym, pet_store, gelateria, bank : 70113
Saved path: bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store, clothing_store, barber_shop, jewelry_store, bakery, bank, florist, gym, hardware_store, burger_joint : 68005
Saved path: bakery, pharmacy, bank, pet_store, craft_shop, toy_store, salon, noodle_house, clothing_store, grocery_store, cafe, burger_joint, hardware_store, party_store, jewelry_store : 61061
