Saved path: pharmacy, bank, gelateria, craft_shop, gym, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store, toy_store, salon, bike_shop : 60948
Saved path: bakery, barber_shop, salon, toy_store, hardware_store, bookstore, cafe, grocery_store, tech_shop, pizzeria, craft_shop, gelateria, bank, music_store, party_store : 63764
Saved path: florist, gelateria, music_store, pharmacy, jewelry_store, bakery, gym, burger_joint, salon, noodle_house, grocery_store, cafe, dentist, pizzeria, craft_shop : 57412
Saved path: barber_shop, salon, noodle_house, clothing_store, grocery_store, dentist, burger_joint, hardware_store, gym, pet_store, florist, bank, pharmacy, bakery, party_store : 65030
Saved path: music_store, bank, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, bookstore, burger_joint, cafe, dentist, pizzeria, craft_shop : 67622
Saved path: gelateria, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, noodle_house, bookstore, burger_joint, hardware_store, salon, barber_shop, jewelry_store, bakery, pharmacy : 59945
Saved path: salon, noodle_house, grocery_store, tech_shop, cafe, bookstore, dentist, craft_shop, pet_store, florist, bank, pharmacy, bike_shop, jewelry_store, hardware_store : 66846
Saved path: dentist, pizzeria, craft_shop, florist, gelateria, pet_store, gym, hardware_store, bike_shop, barber_shop, salon, clothing_store, grocery_store, tech_shop, burger_joint : 55603
Saved path: tech_shop, bookstore, dentist, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, jewelry_store, barber_shop, salon, toy_store, clothing_store, grocery_store : 69375
Saved path: gelateria, music_store, florist, pet_store, craft_shop, burger_joint, cafe, clothing_store, noodle_house, salon, toy_store, hardware_store, bakery, party_store, jewelry_store : 56634
Saved path: pizzeria, craft_shop, florist, bank, music_store, bakery, barber_shop, noodle_house, toy_store, hardware_store, burger_joint, bookstore, clothing_store, grocery_store, tech_shop : 57315
Saved path: jewelry_store, hardware_store, gym, bank, music_store, florist, craft_shop, pizzeria, dentist, cafe, bookstore, clothing_store, noodle_house, toy_store, barber_shop : 69582
Saved path: gelateria, pharmacy, bakery, party_store, hardware_store, salon, toy_store, burger_joint, bookstore, grocery_store, dentist, pizzeria, craft_shop, florist, bank : 61172
Saved path: clothing_store, grocery_store, tech_shop, bookstore, burger_joint, hardware_store, gym, craft_shop, gelateria, bank, bike_shop, jewelry_store, barber_shop, salon, toy_store : 64016
Saved path: pet_store, music_store, pharmacy, party_store, barber_shop, salon, clothing_store, toy_store, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop : 60613
Saved path: hardware_store, burger_joint, bookstore, dentist, craft_shop, florist, music_store, bank, pharmacy, bakery, bike_shop, barber_shop, salon, clothing_store, toy_store : 58874
Saved path: craft_shop, pizzeria, dentist, cafe, tech_shop, clothing_store, toy_store, hardware_store, bike_shop, party_store, bakery, pharmacy, bank, florist, pet_store : 60749
Saved path: bakery, pharmacy, gelateria, craft_shop, pizzeria, tech_shop, cafe, bookstore, burger_joint, hardware_store, gym, toy_store, salon, barber_shop, jewelry_store : 58214
Saved path: pharmacy, music_store, bank, florist, pet_store, craft_shop, pizzeria, cafe, burger_joint, bookstore, grocery_store, clothing_store, barber_shop, bakery, party_store : 63845
Saved path: pharmacy, music_store, gelateria, pet_store, pizzeria, dentist, cafe, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery : 50034
Saved path: pizzeria, dentist, bookstore, tech_shop, grocery_store, noodle_house, toy_store, hardware_store, barber_shop, jewelry_store, pharmacy, gelateria, florist, pet_store, craft_shop : 62996
Saved path: music_store, florist, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, cafe, bookstore, burger_joint, gym, bakery, pharmacy, bank : 52342
Saved path: florist, music_store, pharmacy, bakery, party_store, jewelry_store, salon, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, cafe, dentist, craft_shop : 53006
Saved path: bank, music_store, jewelry_store, party_store, bakery, hardware_store, toy_store, salon, noodle_house, grocery_store, bookstore, dentist, pizzeria, pet_store, gelateria : 68578
Saved path: jewelry_store, party_store, hardware_store, toy_store, salon, noodle_house, cafe, bookstore, craft_shop, florist, music_store, bank, gelateria, pharmacy, bike_shop : 60406
Saved path: barber_shop, salon, noodle_house, clothing_store, bookstore, dentist, craft_shop, florist, music_store, gelateria, pet_store, gym, hardware_store, party_store, bike_shop : 60321
Saved path: bike_shop, party_store, bakery, pharmacy, florist, craft_shop, pizzeria, dentist, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, salon, hardware_store : 51937
Saved path: bakery, bike_shop, party_store, pharmacy, bank, music_store, florist, pet_store, dentist, cafe, tech_shop, clothing_store, noodle_house, salon, toy_store : 62998
Saved path: bank, gelateria, florist, gym, party_store, bike_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, pizzeria, craft_shop, pet_store : 67668
Saved path: pharmacy, bakery, bike_shop, jewelry_store, salon, toy_store, noodle_house, grocery_store, tech_shop, bookstore, gym, pet_store, florist, gelateria, bank : 64972
Saved path: gym, burger_joint, bookstore, cafe, pizzeria, tech_shop, clothing_store, salon, bike_shop, bakery, pharmacy, music_store, bank, florist, pet_store : 63200
Saved path: gelateria, pharmacy, jewelry_store, barber_shop, salon, toy_store, gym, hardware_store, burger_joint, bookstore, cafe, tech_shop, pizzeria, pet_store, florist : 62545
Saved path: burger_joint, toy_store, clothing_store, grocery_store, dentist, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, hardware_store : 62239
Saved path: bike_shop, party_store, pharmacy, music_store, bank, pet_store, craft_shop, pizzeria, dentist, bookstore, grocery_store, clothing_store, toy_store, salon, hardware_store : 64175
Saved path: music_store, florist, craft_shop, bookstore, burger_joint, tech_shop, grocery_store, noodle_house, salon, jewelry_store, party_store, bike_shop, bakery, gelateria, bank : 60074
Saved path: clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, music_store, hardware_store, bookstore, pizzeria, tech_shop, grocery_store : 62518
Saved path: cafe, dentist, pizzeria, craft_shop, florist, music_store, bank, gelateria, pharmacy, bakery, jewelry_store, gym, hardware_store, salon, clothing_store : 63884
Saved path: cafe, dentist, pizzeria, pet_store, music_store, bakery, bike_shop, party_store, jewelry_store, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop : 60561
Saved path: toy_store, noodle_house, grocery_store, tech_shop, pizzeria, dentist, burger_joint, gym, pet_store, florist, music_store, pharmacy, party_store, barber_shop, salon : 60162
