Saved path: cafe, bookstore, burger_joint, gym, pet_store, florist, music_store, bakery, party_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria : 57743
Saved path: party_store, bike_shop, gelateria, bank, music_store, gym, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store, clothing_store, toy_store : 61459
Saved path: barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, pet_store, dentist, tech_shop, clothing_store, bookstore, burger_joint, hardware_store, toy_store, salon : 63492
Saved path: florist, pet_store, craft_shop, burger_joint, grocery_store, noodle_house, salon, toy_store, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, bank : 65719
Saved path: cafe, dentist, craft_shop, pet_store, florist, bank, gelateria, pharmacy, bakery, jewelry_store, hardware_store, salon, clothing_store, grocery_store, tech_shop : 62729
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, toy_store, bookstore, cafe, dentist, craft_shop, gym, hardware_store, pharmacy, bakery : 52280
Saved path: pizzeria, tech_shop, grocery_store, noodle_house, salon, barber_shop, bakery, hardware_store, burger_joint, cafe, bookstore, pet_store, bank, florist, craft_shop : 59528
Saved path: jewelry_store, bike_shop, bakery, barber_shop, toy_store, grocery_store, tech_shop, cafe, burger_joint, gym, craft_shop, pet_store, florist, music_store, gelateria : 56919
Saved path: florist, craft_shop, pizzeria, dentist, burger_joint, cafe, tech_shop, grocery_store, noodle_house, salon, barber_shop, bakery, party_store, bike_shop, hardware_store : 53941
Saved path: hardware_store, bakery, pharmacy, gelateria, bank, music_store, gym, burger_joint, cafe, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon : 52403
Saved path: dentist, pizzeria, craft_shop, pet_store, bank, music_store, bike_shop, jewelry_store, party_store, bakery, hardware_store, gym, noodle_house, clothing_store, cafe : 65277
Saved path: jewelry_store, bakery, pharmacy, florist, pet_store, craft_shop, gym, hardware_store, bookstore, cafe, dentist, pizzeria, tech_shop, noodle_house, barber_shop : 60967
Saved path: bank, gelateria, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, gym, florist : 61304
Saved path: pizzeria, dentist, grocery_store, noodle_house, toy_store, burger_joint, hardware_store, bakery, party_store, jewelry_store, barber_shop, music_store, gelateria, florist, craft_shop : 60470
Saved path: pizzeria, craft_shop, pet_store, gelateria, jewelry_store, party_store, bakery, barber_shop, salon, toy_store, grocery_store, bookstore, burger_joint, hardware_store, gym : 63403
Saved path: craft_shop, florist, bank, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, clothing_store, grocery_store, tech_shop, bookstore, hardware_store, gym : 60152
Saved path: barber_shop, salon, toy_store, clothing_store, grocery_store, dentist, cafe, burger_joint, hardware_store, gym, craft_shop, music_store, bank, bakery, bike_shop : 58427
Saved path: florist, gelateria, bank, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, burger_joint, toy_store, clothing_store, grocery_store, tech_shop, dentist, pet_store : 71237
Saved path: music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, noodle_house, burger_joint, hardware_store, gym, craft_shop, pizzeria, dentist, pet_store, bank : 69952
Saved path: tech_shop, grocery_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, bank, craft_shop, pizzeria, dentist, cafe, bookstore : 67736
Saved path: pharmacy, bank, gelateria, florist, pet_store, pizzeria, dentist, tech_shop, bookstore, burger_joint, toy_store, noodle_house, salon, jewelry_store, party_store : 70109
Saved path: barber_shop, bakery, bike_shop, jewelry_store, party_store, hardware_store, bookstore, florist, music_store, bank, pet_store, craft_shop, dentist, grocery_store, noodle_house : 70136
Saved path: bank, pet_store, craft_shop, pizzeria, dentist, clothing_store, salon, toy_store, burger_joint, gym, hardware_store, jewelry_store, bakery, pharmacy, music_store : 67309
Saved path: burger_joint, bookstore, tech_shop, clothing_store, noodle_house, toy_store, salon, jewelry_store, hardware_store, gym, pet_store, bank, gelateria, florist, dentist : 69673
Saved path: bike_shop, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, dentist, bookstore, hardware_store, gym, florist, bank, gelateria, bakery, party_store : 65776
Saved path: dentist, pizzeria, pet_store, florist, music_store, bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, hardware_store, toy_store, noodle_house, grocery_store : 64815
Saved path: music_store, bakery, party_store, jewelry_store, barber_shop, salon, hardware_store, gym, burger_joint, bookstore, grocery_store, pizzeria, craft_shop, pet_store, gelateria : 64493
Saved path: bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, burger_joint, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, florist, gym : 62130
Saved path: dentist, pizzeria, craft_shop, florist, gelateria, bakery, gym, hardware_store, salon, toy_store, clothing_store, grocery_store, bookstore, burger_joint, cafe : 47616
Saved path: burger_joint, bookstore, grocery_store, dentist, pizzeria, craft_shop, music_store, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house, toy_store, hardware_store : 61394
Saved path: grocery_store, clothing_store, noodle_house, salon, toy_store, gym, florist, gelateria, pharmacy, party_store, bike_shop, bakery, burger_joint, bookstore, cafe : 47251
Saved path: pet_store, bank, music_store, pharmacy, jewelry_store, salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, dentist, burger_joint, gym, craft_shop : 67431
Saved path: gym, hardware_store, burger_joint, cafe, dentist, clothing_store, toy_store, salon, barber_shop, bike_shop, party_store, music_store, bank, gelateria, pet_store : 66517
Saved path: bank, craft_shop, gym, hardware_store, burger_joint, cafe, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, bakery : 60583
Saved path: pharmacy, gelateria, bank, music_store, craft_shop, gym, hardware_store, burger_joint, dentist, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop : 54735
Saved path: noodle_house, grocery_store, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop, pet_store, florist, music_store, bakery, barber_shop, salon : 54612
Saved path: craft_shop, gym, hardware_store, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pharmacy, pet_store : 54263
Saved path: tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy, jewelry_store, gym, bookstore, noodle_house, clothing_store, grocery_store : 64143
Saved path: party_store, bike_shop, gym, toy_store, salon, noodle_house, clothing_store, burger_joint, bookstore, dentist, craft_shop, florist, music_store, bank, bakery : 63320
Saved path: hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop, gelateria, bike_shop, jewelry_store, party_store, bakery, gym : 56392
