Saved path: bookstore, cafe, grocery_store, tech_shop, pizzeria, florist, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, hardware_store, gym, burger_joint : 58687
Saved path: grocery_store, clothing_store, noodle_house, barber_shop, bakery, party_store, bike_shop, hardware_store, gym, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop : 41623
Saved path: pharmacy, bakery, bike_shop, jewelry_store, hardware_store, burger_joint, bookstore, cafe, grocery_store, noodle_house, gym, craft_shop, pet_store, bank, music_store : 58636
Saved path: dentist, clothing_store, salon, barber_shop, bike_shop, party_store, pharmacy, bank, music_store, florist, pet_store, craft_shop, gym, hardware_store, bookstore : 69244
Saved path: bank, gelateria, florist, pet_store, craft_shop, pizzeria, tech_shop, bookstore, grocery_store, clothing_store, toy_store, gym, jewelry_store, bakery, pharmacy : 64175
Saved path: bike_shop, bakery, barber_shop, noodle_house, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, gelateria, pharmacy, hardware_store, party_store, jewelry_store : 60838
Saved path: pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, jewelry_store, gym, hardware_store, salon, noodle_house, clothing_store, burger_joint, cafe : 67164
Saved path: gym, craft_shop, pet_store, gelateria, music_store, jewelry_store, party_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint : 57003
Saved path: bank, florist, pet_store, craft_shop, bookstore, cafe, tech_shop, clothing_store, toy_store, hardware_store, salon, barber_shop, bike_shop, party_store, pharmacy : 65194
Saved path: bank, gelateria, florist, pet_store, gym, bookstore, dentist, tech_shop, toy_store, salon, jewelry_store, party_store, bike_shop, bakery, pharmacy : 71175
Saved path: cafe, grocery_store, noodle_house, toy_store, gym, craft_shop, pet_store, bank, music_store, pharmacy, bakery, party_store, bike_shop, hardware_store, burger_joint : 54263
Saved path: pet_store, craft_shop, pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, toy_store, noodle_house, salon, hardware_store, bakery, bank, florist : 59428
Saved path: music_store, florist, pet_store, craft_shop, pizzeria, tech_shop, cafe, burger_joint, gym, toy_store, barber_shop, jewelry_store, bike_shop, bakery, pharmacy : 60867
Saved path: dentist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, bank, gelateria, bike_shop, burger_joint, bookstore, cafe : 60706
Saved path: craft_shop, gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, noodle_house, salon, hardware_store, bike_shop, pharmacy, music_store, bank, gelateria : 51155
Saved path: noodle_house, clothing_store, toy_store, gym, burger_joint, cafe, dentist, pizzeria, craft_shop, florist, pharmacy, bakery, party_store, barber_shop, salon : 53155
Saved path: craft_shop, gym, hardware_store, burger_joint, bookstore, clothing_store, toy_store, salon, barber_shop, bakery, party_store, jewelry_store, bike_shop, gelateria, music_store : 57110
