Saved path: bike_shop, party_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, dentist, pet_store, gelateria, bank, music_store : 59729
Saved path: grocery_store, clothing_store, noodle_house, toy_store, bakery, bike_shop, jewelry_store, party_store, pharmacy, gelateria, music_store, craft_shop, dentist, burger_joint, bookstore : 53163
Saved path: craft_shop, pizzeria, tech_shop, cafe, bookstore, burger_joint, clothing_store, noodle_house, salon, toy_store, gym, hardware_store, bakery, bank, pet_store : 58584
Saved path: bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, florist, craft_shop, gym, burger_joint, bookstore, dentist, grocery_store, barber_shop : 66749
Saved path: gelateria, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, dentist, pizzeria, craft_shop, florist, music_store, bank : 64259
Saved path: noodle_house, burger_joint, bookstore, cafe, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, bakery, barber_shop, salon : 55186
Saved path: dentist, craft_shop, pet_store, florist, pharmacy, party_store, jewelry_store, bike_shop, gym, hardware_store, salon, noodle_house, clothing_store, grocery_store, bookstore : 58916
Saved path: pet_store, craft_shop, pizzeria, tech_shop, bookstore, clothing_store, toy_store, salon, barber_shop, party_store, hardware_store, gym, florist, gelateria, bank : 67871
Saved path: florist, music_store, gelateria, pet_store, craft_shop, pizzeria, tech_shop, cafe, grocery_store, noodle_house, salon, barber_shop, jewelry_store, party_store, gym : 62564
Saved path: gym, toy_store, barber_shop, jewelry_store, party_store, music_store, florist, pet_store, craft_shop, dentist, tech_shop, cafe, bookstore, burger_joint, hardware_store : 63179
Saved path: florist, pet_store, pizzeria, dentist, cafe, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, bakery, pharmacy, gelateria, bank, music_store : 62988
Saved path: clothing_store, toy_store, hardware_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, florist, craft_shop, pizzeria, dentist, bookstore, tech_shop : 56333
Saved path: music_store, bank, bakery, bike_shop, jewelry_store, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, burger_joint, gym, craft_shop : 60497
Saved path: bike_shop, jewelry_store, party_store, bakery, bank, music_store, gym, hardware_store, burger_joint, cafe, dentist, clothing_store, noodle_house, toy_store, barber_shop : 68089
Saved path: tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, gym, hardware_store, bookstore : 64831
Saved path: bank, music_store, bakery, party_store, barber_shop, toy_store, burger_joint, bookstore, grocery_store, tech_shop, dentist, pizzeria, craft_shop, florist, gelateria : 62309
Saved path: gelateria, pharmacy, bakery, bike_shop, gym, hardware_store, salon, noodle_house, clothing_store, bookstore, dentist, craft_shop, florist, music_store, bank : 56099
Saved path: gelateria, bank, pharmacy, jewelry_store, barber_shop, salon, grocery_store, tech_shop, pizzeria, dentist, cafe, burger_joint, hardware_store, gym, craft_shop : 68213
