Saved path: dentist, pizzeria, tech_shop, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, pharmacy, bank, florist, gym, burger_joint, bookstore, cafe : 61264
Saved path: bank, music_store, jewelry_store, party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, tech_shop, burger_joint, hardware_store, gym, florist, gelateria : 63078
Saved path: pharmacy, bakery, party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, cafe, burger_joint, gym, pet_store, bank, music_store : 59235
Saved path: bookstore, burger_joint, gym, craft_shop, florist, music_store, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, tech_shop, pizzeria : 59511
Saved path: florist, bank, gelateria, bakery, jewelry_store, bike_shop, hardware_store, gym, toy_store, clothing_store, grocery_store, bookstore, burger_joint, dentist, craft_shop : 61263
Saved path: pharmacy, bank, florist, pizzeria, cafe, bookstore, burger_joint, hardware_store, toy_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store : 68808
Saved path: toy_store, noodle_house, grocery_store, bookstore, burger_joint, hardware_store, craft_shop, pet_store, florist, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon : 56004
Saved path: noodle_house, clothing_store, grocery_store, cafe, pizzeria, craft_shop, gym, florist, gelateria, music_store, pharmacy, bakery, barber_shop, salon, toy_store : 48016
Saved path: gym, pet_store, florist, gelateria, bank, pharmacy, bike_shop, party_store, jewelry_store, salon, noodle_house, bookstore, dentist, pizzeria, craft_shop : 71912
Saved path: gelateria, craft_shop, dentist, tech_shop, cafe, bookstore, burger_joint, noodle_house, toy_store, gym, hardware_store, party_store, jewelry_store, music_store, bank : 63226
Saved path: tech_shop, clothing_store, noodle_house, toy_store, gym, hardware_store, bakery, jewelry_store, gelateria, music_store, florist, craft_shop, pizzeria, dentist, bookstore : 55960
Saved path: jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, burger_joint, bookstore, craft_shop, pet_store, florist, music_store, bank, gelateria : 64479
Saved path: toy_store, salon, hardware_store, gym, bike_shop, party_store, pharmacy, music_store, florist, craft_shop, dentist, bookstore, tech_shop, grocery_store, clothing_store : 54775
Saved path: pizzeria, dentist, cafe, grocery_store, noodle_house, salon, barber_shop, jewelry_store, bakery, hardware_store, pharmacy, gelateria, bank, pet_store, craft_shop : 66595
Saved path: toy_store, salon, barber_shop, jewelry_store, party_store, bakery, hardware_store, gym, florist, pizzeria, tech_shop, grocery_store, clothing_store, cafe, burger_joint : 55551
Saved path: jewelry_store, bakery, pharmacy, florist, pet_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store, gym : 53349
Saved path: salon, barber_shop, jewelry_store, bakery, bank, pet_store, craft_shop, gym, bookstore, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store : 68409
Saved path: party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, tech_shop, bookstore, burger_joint, hardware_store, gym, craft_shop, florist, gelateria, bakery : 53818
Saved path: pizzeria, grocery_store, noodle_house, toy_store, salon, barber_shop, bakery, gelateria, bank, florist, gym, burger_joint, bookstore, cafe, dentist : 59014
Saved path: pizzeria, dentist, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store, gym, pharmacy, gelateria, bank, pet_store, craft_shop : 56707
Saved path: gym, florist, bank, pet_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, clothing_store, noodle_house, toy_store, bakery, jewelry_store, hardware_store : 65310
Saved path: tech_shop, noodle_house, bookstore, burger_joint, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank, gelateria, dentist, cafe : 61556
Saved path: cafe, pizzeria, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, florist, pet_store, gym, hardware_store, bookstore : 62141
Saved path: gelateria, florist, pet_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, noodle_house, salon, toy_store, hardware_store, bike_shop, bakery, pharmacy : 50400
Saved path: bank, music_store, bakery, bike_shop, jewelry_store, hardware_store, salon, toy_store, grocery_store, tech_shop, cafe, burger_joint, pet_store, florist, gelateria : 64274
Saved path: bank, music_store, florist, gym, bakery, party_store, jewelry_store, barber_shop, noodle_house, toy_store, burger_joint, bookstore, pizzeria, craft_shop, pet_store : 70324
Saved path: florist, gelateria, pharmacy, party_store, bike_shop, barber_shop, salon, noodle_house, toy_store, burger_joint, bookstore, cafe, tech_shop, dentist, craft_shop : 52597
Saved path: salon, hardware_store, toy_store, noodle_house, grocery_store, cafe, dentist, craft_shop, florist, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop : 57507
