Saved path: dentist, pizzeria, tech_shop, clothing_store, noodle_house, salon, barber_shop, bakery, gelateria, bank, pet_store, craft_shop, gym, bookstore, cafe : 59244
Saved path: gelateria, hardware_store, bookstore, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy : 58198
Saved path: bank, bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, toy_store, gym, hardware_store, burger_joint, cafe, pizzeria, florist, music_store : 69752
Saved path: gym, burger_joint, cafe, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, jewelry_store, music_store, florist, pet_store, pizzeria : 65493
Saved path: florist, gelateria, pet_store, gym, hardware_store, party_store, jewelry_store, bike_shop, bakery, barber_shop, noodle_house, burger_joint, bookstore, cafe, pizzeria : 63070
Saved path: pet_store, bank, gelateria, bike_shop, jewelry_store, party_store, hardware_store, gym, toy_store, salon, noodle_house, bookstore, cafe, pizzeria, craft_shop : 69795
Saved path: pet_store, florist, music_store, bank, bakery, bike_shop, hardware_store, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, dentist : 58777
Saved path: bank, music_store, pharmacy, bike_shop, barber_shop, salon, toy_store, clothing_store, cafe, dentist, pizzeria, craft_shop, gym, pet_store, florist : 63383
Saved path: florist, music_store, craft_shop, pizzeria, dentist, bookstore, grocery_store, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery, hardware_store, gym : 62440
Saved path: gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, clothing_store, cafe, bookstore, hardware_store, craft_shop, pet_store, florist, music_store, bank : 65397
Saved path: craft_shop, dentist, grocery_store, clothing_store, cafe, bookstore, burger_joint, gym, hardware_store, party_store, bike_shop, bakery, bank, music_store, florist : 56627
Saved path: craft_shop, florist, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, noodle_house, clothing_store, tech_shop, burger_joint, bookstore, dentist, pizzeria : 55172
Saved path: florist, craft_shop, gym, bookstore, cafe, dentist, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, pharmacy, gelateria, bank, music_store : 54247
Saved path: craft_shop, gym, burger_joint, cafe, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, jewelry_store, music_store, bank, gelateria, pet_store : 66586
Saved path: bookstore, grocery_store, clothing_store, noodle_house, salon, burger_joint, gym, party_store, pharmacy, gelateria, florist, craft_shop, pizzeria, dentist, cafe : 54073
Saved path: bank, pharmacy, party_store, jewelry_store, salon, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, gym, craft_shop, gelateria : 67545
Saved path: salon, toy_store, pharmacy, gelateria, bank, music_store, florist, pizzeria, dentist, cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house : 52906
Saved path: cafe, burger_joint, bookstore, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, party_store, jewelry_store, salon, noodle_house, clothing_store, grocery_store : 51142
Saved path: tech_shop, clothing_store, toy_store, salon, barber_shop, music_store, bank, gelateria, florist, craft_shop, gym, hardware_store, burger_joint, bookstore, pizzeria : 58114
Saved path: gelateria, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, burger_joint, gym, craft_shop, pet_store, bank : 63877
Saved path: pizzeria, tech_shop, grocery_store, noodle_house, salon, hardware_store, bike_shop, bakery, bank, music_store, craft_shop, gym, burger_joint, bookstore, cafe : 59745
Saved path: gelateria, bank, bakery, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore, hardware_store, gym, craft_shop : 65472
Saved path: music_store, bank, gelateria, craft_shop, gym, bookstore, cafe, dentist, pizzeria, tech_shop, clothing_store, toy_store, barber_shop, bakery, pharmacy : 57679
Saved path: pet_store, gelateria, bakery, party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, pizzeria, dentist, burger_joint, gym, craft_shop : 59168
Saved path: jewelry_store, party_store, pharmacy, music_store, bank, pet_store, craft_shop, dentist, cafe, grocery_store, noodle_house, toy_store, hardware_store, salon, barber_shop : 67335
Saved path: noodle_house, salon, hardware_store, bakery, bike_shop, jewelry_store, music_store, gelateria, pet_store, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store : 58730
Saved path: jewelry_store, party_store, bike_shop, pharmacy, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, tech_shop, grocery_store, noodle_house, toy_store, salon : 60093
Saved path: pizzeria, tech_shop, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, florist, gym, bookstore, cafe : 69075
Saved path: florist, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, dentist, pizzeria, gym, pet_store : 60327
Saved path: gelateria, music_store, pharmacy, party_store, jewelry_store, bike_shop, gym, hardware_store, salon, toy_store, burger_joint, bookstore, grocery_store, pizzeria, craft_shop : 62593
Saved path: bakery, party_store, gym, burger_joint, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, florist, bank, pharmacy : 58118
Saved path: cafe, tech_shop, clothing_store, salon, barber_shop, bakery, party_store, bike_shop, music_store, bank, gelateria, florist, craft_shop, hardware_store, burger_joint : 59172
Saved path: bookstore, burger_joint, hardware_store, party_store, bike_shop, gym, florist, music_store, bank, pet_store, craft_shop, pizzeria, tech_shop, clothing_store, toy_store : 64333
Saved path: burger_joint, bookstore, cafe, tech_shop, pizzeria, craft_shop, florist, music_store, bank, gelateria, pharmacy, jewelry_store, hardware_store, toy_store, noodle_house : 59459
Saved path: pharmacy, florist, pet_store, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, party_store, bakery : 50620
Saved path: bookstore, cafe, dentist, pet_store, florist, music_store, pharmacy, bike_shop, jewelry_store, hardware_store, gym, toy_store, salon, noodle_house, burger_joint : 60969
Saved path: burger_joint, cafe, tech_shop, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, gelateria, pet_store, gym : 55450
Saved path: music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, noodle_house, grocery_store, tech_shop, dentist, bookstore, burger_joint, hardware_store, gym, pet_store : 61871
Saved path: bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, bookstore, noodle_house, grocery_store, tech_shop, cafe, dentist, pizzeria, florist, gelateria : 56751
Saved path: gym, hardware_store, salon, barber_shop, party_store, bakery, pharmacy, music_store, florist, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, burger_joint : 54624
Saved path: gelateria, bank, music_store, pizzeria, dentist, cafe, tech_shop, grocery_store, noodle_house, toy_store, burger_joint, hardware_store, bakery, party_store, jewelry_store : 61708
Saved path: gym, hardware_store, party_store, jewelry_store, music_store, bank, florist, craft_shop, dentist, tech_shop, grocery_store, clothing_store, noodle_house, bookstore, burger_joint : 61700
Saved path: burger_joint, cafe, tech_shop, grocery_store, clothing_store, salon, barber_shop, party_store, jewelry_store, music_store, bank, gelateria, pet_store, gym, hardware_store : 63801
Saved path: dentist, cafe, burger_joint, hardware_store, toy_store, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, bike_shop, pharmacy, gelateria, pet_store, craft_shop : 58490
Saved path: salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank, gelateria, florist, pet_store, pizzeria, gym, burger_joint, clothing_store, toy_store : 73485
Saved path: party_store, bakery, pharmacy, gelateria, florist, craft_shop, pizzeria, grocery_store, clothing_store, bookstore, burger_joint, hardware_store, toy_store, barber_shop, jewelry_store : 57799
Saved path: clothing_store, noodle_house, toy_store, gym, pet_store, florist, gelateria, bank, music_store, pharmacy, party_store, bike_shop, burger_joint, bookstore, dentist : 62639
Saved path: dentist, pizzeria, florist, gym, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, tech_shop, burger_joint, cafe : 58399
Saved path: noodle_house, salon, barber_shop, bakery, music_store, bank, gelateria, florist, pet_store, craft_shop, pizzeria, tech_shop, cafe, hardware_store, toy_store : 59486
Saved path: bookstore, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, bike_shop, bakery, pharmacy, music_store, craft_shop, pizzeria, cafe, burger_joint : 46045
Saved path: gelateria, bank, music_store, florist, gym, hardware_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pet_store : 56798
Saved path: grocery_store, bookstore, dentist, pizzeria, florist, bank, pet_store, gym, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house, clothing_store : 71490
Saved path: bookstore, burger_joint, gym, pet_store, florist, music_store, bike_shop, party_store, hardware_store, salon, noodle_house, clothing_store, grocery_store, pizzeria, dentist : 61063
Saved path: toy_store, grocery_store, tech_shop, dentist, cafe, burger_joint, hardware_store, gym, craft_shop, bank, pharmacy, bakery, bike_shop, barber_shop, salon : 59219
Saved path: toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, cafe, tech_shop, clothing_store, noodle_house : 63376
Saved path: burger_joint, gym, pet_store, gelateria, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, pizzeria, dentist : 63073
Saved path: hardware_store, gym, burger_joint, bookstore, cafe, dentist, craft_shop, pet_store, music_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, toy_store : 63854
Saved path: bike_shop, party_store, gelateria, bank, pet_store, craft_shop, gym, burger_joint, bookstore, cafe, tech_shop, clothing_store, toy_store, salon, barber_shop : 61143
Saved path: grocery_store, bookstore, burger_joint, cafe, dentist, pizzeria, pet_store, florist, music_store, bakery, party_store, jewelry_store, barber_shop, toy_store, noodle_house : 61649
Saved path: jewelry_store, barber_shop, hardware_store, gym, burger_joint, toy_store, clothing_store, grocery_store, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy : 62265
Saved path: clothing_store, noodle_house, burger_joint, bakery, party_store, bike_shop, gelateria, bank, music_store, florist, pet_store, craft_shop, dentist, tech_shop, grocery_store : 58316
Saved path: dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, florist, gym, bike_shop, jewelry_store, salon, toy_store, clothing_store, tech_shop : 70197
Saved path: grocery_store, clothing_store, toy_store, burger_joint, hardware_store, salon, barber_shop, jewelry_store, party_store, bakery, music_store, florist, pizzeria, dentist, tech_shop : 60226
Saved path: noodle_house, salon, toy_store, burger_joint, party_store, jewelry_store, bike_shop, gym, pet_store, bank, music_store, florist, pizzeria, grocery_store, clothing_store : 71000
Saved path: craft_shop, pet_store, florist, bank, pharmacy, jewelry_store, barber_shop, salon, clothing_store, tech_shop, cafe, bookstore, burger_joint, dentist, pizzeria : 69724
Saved path: pharmacy, gelateria, gym, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, party_store : 55035
Saved path: music_store, gelateria, pet_store, craft_shop, pizzeria, cafe, bookstore, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, gym, florist : 64774
Saved path: pet_store, gelateria, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, salon, clothing_store, grocery_store, tech_shop, dentist, bookstore, burger_joint, gym : 58674
Saved path: gym, hardware_store, bakery, bike_shop, jewelry_store, barber_shop, noodle_house, grocery_store, bookstore, dentist, pizzeria, craft_shop, pet_store, bank, gelateria : 71177
Saved path: salon, hardware_store, gym, burger_joint, cafe, grocery_store, dentist, pizzeria, craft_shop, florist, music_store, gelateria, pharmacy, party_store, barber_shop : 57112
Saved path: bike_shop, bakery, pharmacy, gelateria, florist, pet_store, craft_shop, dentist, cafe, tech_shop, noodle_house, salon, toy_store, hardware_store, jewelry_store : 56559
Saved path: bookstore, burger_joint, hardware_store, party_store, bike_shop, bakery, pharmacy, gelateria, music_store, florist, gym, toy_store, salon, noodle_house, clothing_store : 50552
Saved path: barber_shop, noodle_house, tech_shop, pizzeria, cafe, bookstore, burger_joint, gym, pet_store, gelateria, music_store, pharmacy, party_store, jewelry_store, bike_shop : 64384
Saved path: pizzeria, tech_shop, grocery_store, noodle_house, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, bank, florist, gym, hardware_store : 65656
Saved path: pizzeria, tech_shop, cafe, clothing_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, florist, pet_store, gym, craft_shop : 61237
Saved path: dentist, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bakery, party_store, pharmacy, music_store, bank, pet_store, hardware_store, burger_joint, cafe : 62685
Saved path: bank, gelateria, bike_shop, jewelry_store, party_store, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore, pizzeria, craft_shop, pet_store : 66028
Saved path: craft_shop, music_store, pharmacy, bakery, jewelry_store, party_store, hardware_store, salon, noodle_house, grocery_store, tech_shop, burger_joint, cafe, dentist, pizzeria : 55591
