Saved path: gelateria, florist, pizzeria, tech_shop, cafe, bookstore, burger_joint, clothing_store, salon, jewelry_store, party_store, hardware_store, gym, pet_store, bank : 70690
Saved path: cafe, burger_joint, bookstore, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, bank, gelateria, pizzeria, dentist : 65631
Saved path: noodle_house, barber_shop, bike_shop, party_store, pharmacy, bank, florist, craft_shop, dentist, bookstore, burger_joint, hardware_store, toy_store, grocery_store, clothing_store : 64247
Saved path: music_store, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house, dentist, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, florist : 58093
Saved path: grocery_store, tech_shop, dentist, florist, gelateria, jewelry_store, party_store, bike_shop, barber_shop, salon, noodle_house, toy_store, hardware_store, burger_joint, bookstore : 60967
Saved path: bakery, bike_shop, jewelry_store, party_store, burger_joint, bookstore, cafe, grocery_store, dentist, pizzeria, craft_shop, florist, gelateria, music_store, pharmacy : 52027
Saved path: bank, pharmacy, bakery, jewelry_store, bike_shop, gym, burger_joint, noodle_house, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, gelateria : 62543
Saved path: toy_store, hardware_store, salon, barber_shop, party_store, bakery, pharmacy, bank, florist, pet_store, craft_shop, dentist, bookstore, grocery_store, clothing_store : 66457
Saved path: bookstore, cafe, pizzeria, craft_shop, florist, bank, gelateria, jewelry_store, barber_shop, salon, noodle_house, clothing_store, toy_store, gym, burger_joint : 68239
Saved path: clothing_store, toy_store, barber_shop, party_store, pharmacy, gelateria, bank, florist, pet_store, gym, hardware_store, bookstore, pizzeria, tech_shop, grocery_store : 69097
Saved path: pizzeria, bookstore, burger_joint, hardware_store, gym, craft_shop, florist, bank, pharmacy, bike_shop, barber_shop, salon, toy_store, clothing_store, tech_shop : 62599
Saved path: pet_store, craft_shop, gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, hardware_store, bakery, party_store, jewelry_store, music_store, bank : 58283
Saved path: gelateria, bank, florist, craft_shop, gym, burger_joint, cafe, dentist, tech_shop, grocery_store, noodle_house, salon, barber_shop, bike_shop, pharmacy : 56762
Saved path: florist, bank, gelateria, bakery, party_store, bike_shop, barber_shop, toy_store, hardware_store, burger_joint, cafe, clothing_store, tech_shop, pizzeria, craft_shop : 63754
Saved path: toy_store, noodle_house, clothing_store, tech_shop, cafe, bookstore, burger_joint, gym, gelateria, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, salon : 52998
Saved path: music_store, pharmacy, bakery, bike_shop, barber_shop, salon, clothing_store, grocery_store, dentist, bookstore, gym, craft_shop, pet_store, florist, gelateria : 54136
Saved path: salon, toy_store, grocery_store, tech_shop, bookstore, dentist, craft_shop, pet_store, gelateria, pharmacy, bakery, jewelry_store, party_store, gym, hardware_store : 59292
Saved path: bike_shop, jewelry_store, party_store, hardware_store, burger_joint, clothing_store, grocery_store, tech_shop, dentist, craft_shop, pet_store, bank, gelateria, florist, gym : 64050
Saved path: salon, toy_store, gym, hardware_store, party_store, jewelry_store, bike_shop, bakery, music_store, pet_store, dentist, cafe, grocery_store, clothing_store, noodle_house : 60287
Saved path: cafe, burger_joint, toy_store, barber_shop, jewelry_store, bike_shop, bakery, gym, pet_store, bank, florist, craft_shop, pizzeria, tech_shop, clothing_store : 70270
Saved path: pharmacy, music_store, bank, gelateria, pet_store, craft_shop, hardware_store, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, party_store : 59895
Saved path: burger_joint, hardware_store, craft_shop, music_store, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, cafe, bookstore : 60868
Saved path: jewelry_store, party_store, hardware_store, gym, noodle_house, clothing_store, cafe, dentist, pizzeria, pet_store, gelateria, bank, music_store, bakery, bike_shop : 66329
Saved path: pharmacy, gelateria, pet_store, craft_shop, gym, hardware_store, bookstore, cafe, tech_shop, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store : 53031
Saved path: cafe, dentist, pizzeria, clothing_store, noodle_house, salon, barber_shop, music_store, bank, gelateria, pharmacy, party_store, hardware_store, burger_joint, bookstore : 65039
Saved path: grocery_store, tech_shop, burger_joint, bookstore, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, toy_store : 56615
Saved path: bookstore, cafe, grocery_store, tech_shop, dentist, craft_shop, pet_store, bank, music_store, bakery, party_store, bike_shop, barber_shop, toy_store, burger_joint : 62998
Saved path: burger_joint, cafe, dentist, craft_shop, florist, pharmacy, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore : 48495
Saved path: salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank, pet_store, pizzeria, dentist, grocery_store, cafe, bookstore, burger_joint, hardware_store : 71134
Saved path: hardware_store, gym, pet_store, gelateria, bank, music_store, craft_shop, dentist, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery : 57688
Saved path: grocery_store, tech_shop, cafe, bookstore, craft_shop, pet_store, gelateria, music_store, pharmacy, bakery, bike_shop, barber_shop, hardware_store, toy_store, noodle_house : 49836
Saved path: cafe, bookstore, gym, craft_shop, pet_store, florist, gelateria, music_store, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, noodle_house : 50147
Saved path: noodle_house, grocery_store, tech_shop, burger_joint, bookstore, dentist, pet_store, florist, bank, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon : 68798
Saved path: noodle_house, clothing_store, tech_shop, cafe, bookstore, dentist, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, bakery, bike_shop, barber_shop : 57755
Saved path: florist, music_store, bank, gelateria, barber_shop, bakery, party_store, hardware_store, bookstore, cafe, grocery_store, clothing_store, dentist, pizzeria, craft_shop : 62747
Saved path: toy_store, grocery_store, cafe, bookstore, burger_joint, gym, craft_shop, florist, gelateria, music_store, pharmacy, bakery, bike_shop, jewelry_store, party_store : 49311
Saved path: bakery, party_store, jewelry_store, salon, toy_store, clothing_store, bookstore, cafe, tech_shop, pizzeria, pet_store, florist, music_store, gelateria, pharmacy : 60175
Saved path: pet_store, bank, music_store, florist, gym, bike_shop, party_store, bakery, toy_store, clothing_store, bookstore, burger_joint, cafe, dentist, pizzeria : 64460
Saved path: grocery_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, gym, florist, gelateria, music_store, bakery, jewelry_store, barber_shop, salon, toy_store : 60188
Saved path: bike_shop, party_store, bakery, pharmacy, bank, music_store, florist, pet_store, dentist, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon : 62687
Saved path: dentist, cafe, hardware_store, gym, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, party_store, bike_shop, barber_shop, noodle_house, grocery_store : 65048
Saved path: bakery, jewelry_store, bike_shop, gym, hardware_store, salon, noodle_house, grocery_store, tech_shop, bookstore, cafe, dentist, pizzeria, craft_shop, bank : 68793
Saved path: bank, florist, pet_store, pizzeria, dentist, cafe, burger_joint, clothing_store, noodle_house, salon, hardware_store, jewelry_store, party_store, bakery, pharmacy : 67692
Saved path: grocery_store, clothing_store, noodle_house, toy_store, salon, jewelry_store, bike_shop, gelateria, bank, music_store, florist, bookstore, burger_joint, cafe, tech_shop : 59711
Saved path: noodle_house, clothing_store, cafe, bookstore, gym, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, jewelry_store, bike_shop, barber_shop, salon : 57426
Saved path: pet_store, bank, music_store, florist, gym, hardware_store, bakery, bike_shop, barber_shop, toy_store, clothing_store, tech_shop, burger_joint, dentist, craft_shop : 61522
Saved path: bank, music_store, florist, gym, bookstore, cafe, tech_shop, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy : 63646
Saved path: pet_store, florist, gelateria, music_store, pharmacy, bakery, party_store, jewelry_store, toy_store, noodle_house, clothing_store, bookstore, burger_joint, gym, craft_shop : 52451
Saved path: pizzeria, dentist, bookstore, gym, bank, gelateria, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, salon, noodle_house, clothing_store, tech_shop : 68569
Saved path: pizzeria, grocery_store, clothing_store, noodle_house, bookstore, cafe, burger_joint, gym, hardware_store, bike_shop, jewelry_store, gelateria, bank, music_store, florist : 63184
Saved path: gelateria, music_store, bike_shop, jewelry_store, party_store, bakery, gym, hardware_store, salon, toy_store, burger_joint, bookstore, cafe, pizzeria, craft_shop : 60789
Saved path: jewelry_store, party_store, bakery, music_store, bank, gelateria, florist, pizzeria, dentist, cafe, bookstore, clothing_store, noodle_house, toy_store, barber_shop : 65434
Saved path: tech_shop, cafe, dentist, pizzeria, craft_shop, florist, bank, gelateria, pharmacy, party_store, barber_shop, hardware_store, burger_joint, noodle_house, grocery_store : 63931
Saved path: dentist, pizzeria, grocery_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank, gym, hardware_store, burger_joint, bookstore : 73535
Saved path: clothing_store, grocery_store, tech_shop, pizzeria, burger_joint, hardware_store, gym, pet_store, florist, music_store, jewelry_store, barber_shop, salon, toy_store, noodle_house : 63593
Saved path: noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, pet_store, hardware_store, burger_joint, bookstore, cafe, grocery_store, clothing_store : 55452
Saved path: party_store, pharmacy, music_store, florist, gym, bookstore, dentist, pizzeria, tech_shop, grocery_store, toy_store, salon, hardware_store, bike_shop, jewelry_store : 61875
Saved path: clothing_store, noodle_house, toy_store, barber_shop, pharmacy, gelateria, pet_store, gym, hardware_store, burger_joint, cafe, dentist, pizzeria, tech_shop, grocery_store : 49402
Saved path: music_store, pharmacy, party_store, jewelry_store, bike_shop, bookstore, cafe, grocery_store, clothing_store, dentist, pizzeria, craft_shop, pet_store, gelateria, bank : 62976
Saved path: party_store, jewelry_store, gelateria, florist, pet_store, craft_shop, dentist, burger_joint, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, gym : 56709
Saved path: clothing_store, grocery_store, dentist, bookstore, gym, craft_shop, pet_store, gelateria, bank, music_store, bakery, party_store, barber_shop, toy_store, noodle_house : 64640
