Saved path: barber_shop, noodle_house, clothing_store, toy_store, burger_joint, bookstore, dentist, pizzeria, pet_store, florist, bank, pharmacy, bakery, party_store, bike_shop : 67659
Saved path: hardware_store, bakery, barber_shop, bank, music_store, florist, craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store : 57037
Saved path: gym, burger_joint, hardware_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, clothing_store, tech_shop, pizzeria, florist, bank, pet_store : 72654
Saved path: bank, pet_store, bookstore, cafe, burger_joint, toy_store, noodle_house, salon, jewelry_store, party_store, bike_shop, gym, craft_shop, florist, music_store : 65931
Saved path: burger_joint, hardware_store, jewelry_store, party_store, bakery, pharmacy, pet_store, gym, toy_store, salon, noodle_house, grocery_store, dentist, cafe, bookstore : 58518
Saved path: burger_joint, bookstore, grocery_store, pizzeria, craft_shop, pet_store, florist, pharmacy, bakery, bike_shop, barber_shop, salon, noodle_house, toy_store, hardware_store : 53342
Saved path: grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym, craft_shop, music_store, bank, party_store, barber_shop, salon, toy_store : 66439
Saved path: bank, music_store, bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, noodle_house, toy_store, gym, burger_joint, bookstore, dentist, pizzeria : 71854
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, pet_store, bank, florist, bookstore, cafe, hardware_store, bike_shop, jewelry_store : 73543
Saved path: pet_store, gelateria, music_store, pharmacy, bike_shop, jewelry_store, barber_shop, salon, hardware_store, burger_joint, bookstore, grocery_store, tech_shop, pizzeria, craft_shop : 62207
Saved path: craft_shop, burger_joint, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, jewelry_store, gelateria, bank, music_store, florist, pet_store : 63429
Saved path: grocery_store, dentist, pizzeria, craft_shop, florist, gelateria, bank, party_store, bakery, barber_shop, salon, hardware_store, burger_joint, toy_store, clothing_store : 63729
Saved path: pet_store, bank, gelateria, florist, gym, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop : 61090
Saved path: tech_shop, cafe, dentist, pet_store, florist, bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, clothing_store, grocery_store : 67392
Saved path: burger_joint, cafe, dentist, craft_shop, gelateria, bank, music_store, pharmacy, bakery, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop : 60231
Saved path: clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, bank, pet_store, gym, burger_joint, dentist, pizzeria, tech_shop : 70026
Saved path: craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint, clothing_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, gelateria, bank, pet_store : 68438
