Saved path: barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, gym, craft_shop, pet_store, gelateria, pharmacy, party_store, jewelry_store, bike_shop : 55360
Saved path: bank, music_store, jewelry_store, party_store, barber_shop, toy_store, noodle_house, grocery_store, dentist, bookstore, hardware_store, gym, craft_shop, pet_store, gelateria : 70718
Saved path: music_store, bank, gelateria, florist, gym, burger_joint, dentist, tech_shop, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery : 67853
Saved path: pet_store, craft_shop, pizzeria, dentist, tech_shop, bookstore, gym, hardware_store, salon, jewelry_store, party_store, bike_shop, pharmacy, music_store, bank : 72106
Saved path: tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, bank, pharmacy, bakery, party_store, hardware_store, gym, cafe, noodle_house, grocery_store : 60806
Saved path: jewelry_store, party_store, hardware_store, gym, burger_joint, bookstore, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, gelateria, pharmacy, bakery, bike_shop : 52360
Saved path: gym, burger_joint, cafe, tech_shop, grocery_store, clothing_store, salon, hardware_store, party_store, jewelry_store, bike_shop, gelateria, bank, pet_store, craft_shop : 62491
Saved path: gym, toy_store, salon, noodle_house, tech_shop, bookstore, dentist, pizzeria, pet_store, bank, pharmacy, bakery, jewelry_store, party_store, hardware_store : 70958
Saved path: jewelry_store, party_store, gym, hardware_store, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, dentist, pizzeria, craft_shop, florist, gelateria : 58680
Saved path: cafe, burger_joint, hardware_store, gym, craft_shop, florist, music_store, jewelry_store, bike_shop, barber_shop, clothing_store, grocery_store, tech_shop, pizzeria, dentist : 59872
Saved path: music_store, bank, gelateria, pet_store, craft_shop, gym, burger_joint, bookstore, dentist, tech_shop, grocery_store, salon, barber_shop, jewelry_store, pharmacy : 68205
Saved path: tech_shop, grocery_store, noodle_house, salon, jewelry_store, bike_shop, bakery, pharmacy, music_store, gelateria, florist, pet_store, craft_shop, gym, burger_joint : 55252
Saved path: bookstore, cafe, clothing_store, noodle_house, salon, toy_store, hardware_store, party_store, jewelry_store, bike_shop, pharmacy, music_store, bank, pet_store, craft_shop : 62233
Saved path: jewelry_store, party_store, pharmacy, gelateria, music_store, florist, craft_shop, gym, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store : 51793
Saved path: florist, music_store, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop : 53532
Saved path: bookstore, cafe, grocery_store, pizzeria, craft_shop, florist, gelateria, bakery, bike_shop, jewelry_store, barber_shop, noodle_house, toy_store, hardware_store, burger_joint : 58678
Saved path: party_store, pharmacy, music_store, pizzeria, dentist, cafe, bookstore, gym, hardware_store, toy_store, clothing_store, noodle_house, salon, barber_shop, bike_shop : 60708
Saved path: tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, pharmacy, bank, gelateria, florist, pet_store, gym, burger_joint, bookstore, cafe, dentist : 69569
Saved path: bike_shop, bakery, pharmacy, gelateria, florist, hardware_store, burger_joint, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store : 53457
Saved path: gym, craft_shop, pet_store, florist, music_store, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, clothing_store, grocery_store, cafe, bookstore : 60998
