Saved path: jewelry_store, party_store, bank, florist, pet_store, gym, burger_joint, bookstore, cafe, dentist, tech_shop, clothing_store, noodle_house, salon, barber_shop : 70536
Saved path: cafe, grocery_store, tech_shop, pizzeria, craft_shop, bank, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, hardware_store, bookstore : 69794
Saved path: music_store, bank, gelateria, florist, pet_store, pizzeria, dentist, tech_shop, clothing_store, toy_store, burger_joint, hardware_store, party_store, bike_shop, pharmacy : 62029
Saved path: dentist, cafe, bookstore, noodle_house, barber_shop, jewelry_store, bakery, gym, pet_store, gelateria, bank, music_store, florist, craft_shop, pizzeria : 68923
Saved path: pharmacy, jewelry_store, barber_shop, hardware_store, gym, burger_joint, bookstore, grocery_store, tech_shop, dentist, pizzeria, craft_shop, florist, gelateria, bank : 68275
Saved path: jewelry_store, barber_shop, salon, grocery_store, pizzeria, dentist, cafe, bookstore, burger_joint, gym, gelateria, bank, music_store, pharmacy, bike_shop : 69858
Saved path: clothing_store, cafe, bookstore, hardware_store, salon, barber_shop, bakery, party_store, bike_shop, gelateria, music_store, florist, pet_store, pizzeria, dentist : 63021
Saved path: salon, toy_store, noodle_house, clothing_store, tech_shop, burger_joint, bookstore, dentist, craft_shop, pet_store, music_store, pharmacy, party_store, bike_shop, barber_shop : 58588
Saved path: bookstore, dentist, pizzeria, craft_shop, florist, pharmacy, bakery, party_store, jewelry_store, gym, hardware_store, salon, noodle_house, grocery_store, tech_shop : 56675
Saved path: toy_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, florist, craft_shop, pizzeria, cafe, bookstore, burger_joint, hardware_store : 67354
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, bank, music_store, pharmacy, party_store, bike_shop, bakery, burger_joint, cafe, grocery_store, tech_shop : 59068
Saved path: toy_store, salon, hardware_store, bakery, party_store, jewelry_store, bike_shop, music_store, bank, gelateria, florist, craft_shop, cafe, tech_shop, grocery_store : 60947
