Saved path: florist, gelateria, bank, music_store, pharmacy, hardware_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria : 65959
Saved path: pharmacy, music_store, bank, pet_store, craft_shop, dentist, bookstore, clothing_store, noodle_house, salon, hardware_store, gym, bike_shop, jewelry_store, bakery : 66558
Saved path: cafe, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, party_store, bakery, gelateria, florist, pet_store, craft_shop, gym, burger_joint, bookstore : 54266
Saved path: gym, burger_joint, pizzeria, tech_shop, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, bakery, music_store, bank, pet_store, craft_shop : 66596
Saved path: clothing_store, tech_shop, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, gelateria, music_store, pharmacy, bike_shop, jewelry_store, hardware_store, salon : 56316
Saved path: gelateria, pharmacy, bakery, jewelry_store, hardware_store, salon, noodle_house, toy_store, burger_joint, cafe, tech_shop, dentist, pizzeria, craft_shop, pet_store : 56787
Saved path: tech_shop, dentist, pizzeria, pet_store, gelateria, pharmacy, jewelry_store, barber_shop, salon, toy_store, hardware_store, burger_joint, bookstore, cafe, grocery_store : 61705
Saved path: toy_store, clothing_store, grocery_store, cafe, burger_joint, gym, pizzeria, pet_store, florist, bank, pharmacy, party_store, jewelry_store, bike_shop, barber_shop : 72514
Saved path: pet_store, florist, gelateria, music_store, pharmacy, bakery, party_store, hardware_store, gym, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop : 53749
Saved path: bike_shop, jewelry_store, bakery, bank, gelateria, craft_shop, pizzeria, dentist, cafe, burger_joint, gym, toy_store, noodle_house, salon, barber_shop : 68391
Saved path: salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, gym, craft_shop, pet_store, florist, music_store, bakery, party_store, jewelry_store : 54268
Saved path: bakery, bike_shop, party_store, hardware_store, toy_store, clothing_store, tech_shop, cafe, bookstore, pet_store, bank, music_store, florist, craft_shop, gym : 58236
Saved path: burger_joint, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank, gelateria, pet_store, dentist, tech_shop, cafe, bookstore : 60290
