Saved path: burger_joint, cafe, tech_shop, dentist, pizzeria, craft_shop, florist, gelateria, bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, salon : 63254
Saved path: noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, florist, gym, hardware_store, bakery, party_store, jewelry_store, barber_shop : 54450
Saved path: cafe, burger_joint, hardware_store, gym, pizzeria, craft_shop, pet_store, gelateria, pharmacy, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store : 52567
Saved path: cafe, dentist, craft_shop, pet_store, gelateria, bank, music_store, bakery, party_store, hardware_store, toy_store, salon, noodle_house, clothing_store, bookstore : 61063
Saved path: bakery, bike_shop, jewelry_store, hardware_store, bookstore, clothing_store, grocery_store, tech_shop, dentist, craft_shop, pet_store, florist, music_store, bank, pharmacy : 62005
Saved path: hardware_store, gym, music_store, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, dentist, cafe, bookstore, burger_joint : 59320
Saved path: craft_shop, gym, burger_joint, bookstore, cafe, pizzeria, tech_shop, clothing_store, salon, hardware_store, jewelry_store, bakery, pharmacy, bank, pet_store : 67894
Saved path: bike_shop, party_store, bakery, pharmacy, bank, craft_shop, gym, bookstore, dentist, pizzeria, tech_shop, grocery_store, noodle_house, toy_store, barber_shop : 67638
Saved path: bike_shop, barber_shop, salon, toy_store, noodle_house, tech_shop, pizzeria, dentist, cafe, hardware_store, gym, craft_shop, florist, pharmacy, jewelry_store : 60149
Saved path: pharmacy, gelateria, music_store, florist, pet_store, gym, bookstore, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery : 58465
Saved path: toy_store, gym, hardware_store, bike_shop, party_store, pharmacy, music_store, pet_store, craft_shop, dentist, burger_joint, bookstore, grocery_store, clothing_store, noodle_house : 54541
Saved path: jewelry_store, bike_shop, barber_shop, noodle_house, tech_shop, pizzeria, dentist, burger_joint, hardware_store, gym, craft_shop, pet_store, bank, pharmacy, party_store : 72198
Saved path: florist, gelateria, bank, music_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, clothing_store, grocery_store, cafe, dentist, pizzeria, gym : 67488
Saved path: party_store, bike_shop, salon, clothing_store, grocery_store, tech_shop, dentist, cafe, bookstore, burger_joint, gym, florist, music_store, bank, pharmacy : 62973
Saved path: pizzeria, craft_shop, pet_store, bank, florist, gym, bike_shop, party_store, jewelry_store, salon, noodle_house, burger_joint, bookstore, grocery_store, tech_shop : 71934
Saved path: clothing_store, grocery_store, cafe, burger_joint, gym, pizzeria, pet_store, bank, music_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house : 69520
Saved path: gym, pizzeria, dentist, cafe, tech_shop, clothing_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, bank, music_store, florist : 68649
Saved path: party_store, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, music_store, gelateria, pharmacy, bakery : 55812
Saved path: music_store, florist, craft_shop, bookstore, burger_joint, cafe, grocery_store, clothing_store, toy_store, party_store, bike_shop, bakery, pharmacy, gelateria, bank : 50911
Saved path: jewelry_store, party_store, bakery, pharmacy, music_store, florist, craft_shop, pizzeria, tech_shop, clothing_store, cafe, gym, hardware_store, salon, barber_shop : 59248
Saved path: barber_shop, bike_shop, pharmacy, florist, pet_store, pizzeria, dentist, cafe, bookstore, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, salon : 54686
Saved path: dentist, pizzeria, grocery_store, noodle_house, salon, hardware_store, bakery, pharmacy, music_store, bank, pet_store, gym, burger_joint, bookstore, cafe : 58452
Saved path: bike_shop, barber_shop, toy_store, hardware_store, burger_joint, cafe, grocery_store, tech_shop, pizzeria, gelateria, bank, music_store, pharmacy, party_store, jewelry_store : 67654
Saved path: craft_shop, dentist, tech_shop, bookstore, burger_joint, toy_store, salon, hardware_store, gym, bike_shop, party_store, bakery, music_store, gelateria, pet_store : 59287
Saved path: bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, bakery, party_store, bike_shop, music_store, gelateria, pet_store, craft_shop, gym : 53803
Saved path: hardware_store, party_store, jewelry_store, gelateria, bank, music_store, craft_shop, pizzeria, dentist, cafe, burger_joint, noodle_house, salon, toy_store, gym : 67140
Saved path: pet_store, craft_shop, pizzeria, tech_shop, cafe, clothing_store, salon, toy_store, burger_joint, gym, hardware_store, party_store, jewelry_store, bike_shop, music_store : 64308
Saved path: jewelry_store, party_store, bakery, pharmacy, gelateria, bank, gym, pizzeria, cafe, bookstore, clothing_store, noodle_house, toy_store, salon, barber_shop : 69047
Saved path: pet_store, florist, gelateria, pharmacy, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, burger_joint, gym, craft_shop : 55215
Saved path: party_store, jewelry_store, barber_shop, noodle_house, burger_joint, cafe, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, gelateria, florist, gym, hardware_store : 61427
Saved path: tech_shop, grocery_store, salon, barber_shop, bakery, party_store, hardware_store, gym, pet_store, gelateria, bank, music_store, florist, craft_shop, pizzeria : 64973
Saved path: cafe, tech_shop, grocery_store, toy_store, hardware_store, party_store, jewelry_store, bike_shop, pharmacy, music_store, bank, gelateria, florist, craft_shop, dentist : 58380
Saved path: pizzeria, dentist, grocery_store, clothing_store, noodle_house, gym, hardware_store, party_store, jewelry_store, bike_shop, pharmacy, bank, music_store, florist, craft_shop : 63111
Saved path: dentist, pizzeria, music_store, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, bookstore : 61214
Saved path: hardware_store, gym, toy_store, salon, noodle_house, clothing_store, burger_joint, bookstore, cafe, dentist, craft_shop, pet_store, pharmacy, party_store, bike_shop : 56361
Saved path: craft_shop, pizzeria, dentist, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, barber_shop, jewelry_store, party_store, bakery, gym, florist, pet_store : 60284
Saved path: hardware_store, gym, pizzeria, craft_shop, florist, bank, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, cafe, bookstore, burger_joint : 70038
Saved path: party_store, jewelry_store, barber_shop, salon, clothing_store, tech_shop, bookstore, dentist, craft_shop, pet_store, gelateria, bank, music_store, florist, gym : 70855
Saved path: pet_store, craft_shop, pizzeria, clothing_store, noodle_house, bookstore, cafe, burger_joint, gym, bike_shop, jewelry_store, pharmacy, bank, music_store, florist : 66665
Saved path: barber_shop, hardware_store, gym, bookstore, clothing_store, grocery_store, dentist, pizzeria, craft_shop, gelateria, bank, music_store, pharmacy, bakery, bike_shop : 61161
Saved path: cafe, dentist, grocery_store, clothing_store, toy_store, barber_shop, bakery, party_store, bike_shop, music_store, gelateria, florist, gym, hardware_store, burger_joint : 55180
Saved path: music_store, gelateria, florist, pet_store, gym, toy_store, noodle_house, tech_shop, pizzeria, dentist, cafe, burger_joint, bakery, jewelry_store, bike_shop : 60582
Saved path: bookstore, cafe, tech_shop, grocery_store, clothing_store, salon, hardware_store, jewelry_store, bakery, music_store, gelateria, florist, craft_shop, gym, burger_joint : 51709
Saved path: pizzeria, gym, pet_store, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, bookstore, cafe, dentist : 63529
Saved path: burger_joint, gym, florist, gelateria, bank, bakery, bike_shop, jewelry_store, party_store, hardware_store, salon, grocery_store, dentist, cafe, bookstore : 66222
Saved path: bike_shop, party_store, bakery, pharmacy, music_store, florist, craft_shop, dentist, cafe, burger_joint, toy_store, clothing_store, noodle_house, salon, barber_shop : 50996
Saved path: dentist, pizzeria, tech_shop, grocery_store, clothing_store, toy_store, salon, hardware_store, jewelry_store, bike_shop, pharmacy, gelateria, pet_store, gym, bookstore : 62288
Saved path: burger_joint, bookstore, pizzeria, pet_store, florist, bank, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, hardware_store, gym : 69350
Saved path: bike_shop, jewelry_store, bakery, pharmacy, gelateria, florist, pet_store, pizzeria, tech_shop, cafe, bookstore, grocery_store, noodle_house, salon, barber_shop : 59221
