Saved path: party_store, jewelry_store, pharmacy, music_store, gelateria, florist, pet_store, craft_shop, pizzeria, tech_shop, bookstore, burger_joint, noodle_house, toy_store, bakery : 57018
Saved path: bookstore, burger_joint, cafe, dentist, pizzeria, pet_store, bank, gelateria, florist, gym, bike_shop, party_store, bakery, salon, grocery_store : 68723
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, bookstore, burger_joint, gym, bike_shop, jewelry_store, party_store, bakery, bank, florist, craft_shop, pizzeria : 62884
Saved path: bakery, party_store, bike_shop, hardware_store, gym, bookstore, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, florist, music_store, bank : 59488
Saved path: bookstore, dentist, pizzeria, craft_shop, gym, pet_store, gelateria, bank, music_store, pharmacy, jewelry_store, bike_shop, barber_shop, salon, burger_joint : 71192
Saved path: party_store, jewelry_store, barber_shop, pharmacy, music_store, gelateria, florist, dentist, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, hardware_store : 60031
Saved path: gym, toy_store, salon, barber_shop, jewelry_store, bike_shop, pharmacy, music_store, bank, florist, craft_shop, pizzeria, tech_shop, grocery_store, bookstore : 69593
Saved path: hardware_store, gym, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, bike_shop, barber_shop, salon, noodle_house, clothing_store, dentist, cafe : 60231
Saved path: salon, toy_store, noodle_house, grocery_store, tech_shop, burger_joint, bookstore, dentist, florist, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop : 65896
Saved path: pharmacy, gelateria, florist, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, burger_joint, gym, hardware_store, bike_shop, jewelry_store : 53605
Saved path: burger_joint, bookstore, cafe, dentist, pizzeria, clothing_store, noodle_house, barber_shop, jewelry_store, party_store, gelateria, bank, pet_store, gym, hardware_store : 71208
Saved path: pharmacy, gelateria, pet_store, gym, hardware_store, burger_joint, bookstore, cafe, dentist, grocery_store, salon, barber_shop, bike_shop, party_store, bakery : 57025
Saved path: salon, toy_store, noodle_house, cafe, tech_shop, pizzeria, gym, pet_store, gelateria, bank, music_store, bike_shop, party_store, jewelry_store, barber_shop : 72573
Saved path: bakery, party_store, gym, hardware_store, salon, toy_store, bookstore, cafe, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria : 64796
Saved path: jewelry_store, party_store, pharmacy, gelateria, bank, florist, pet_store, dentist, cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, barber_shop : 66122
Saved path: dentist, pet_store, florist, music_store, bank, gelateria, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, gym, burger_joint, cafe, tech_shop : 71077
Saved path: gym, burger_joint, cafe, pizzeria, tech_shop, clothing_store, salon, hardware_store, bike_shop, jewelry_store, party_store, bakery, gelateria, music_store, florist : 60611
Saved path: pizzeria, tech_shop, clothing_store, bookstore, hardware_store, toy_store, salon, barber_shop, bike_shop, party_store, jewelry_store, music_store, bank, gelateria, pet_store : 73568
Saved path: dentist, pizzeria, pet_store, bank, music_store, florist, gym, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house, tech_shop, bookstore : 72670
Saved path: salon, barber_shop, jewelry_store, bakery, music_store, bank, gelateria, pet_store, gym, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store : 68623
Saved path: grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, bike_shop, party_store, pharmacy, florist, pet_store, craft_shop, pizzeria, dentist, cafe : 54030
Saved path: bank, pharmacy, bakery, party_store, jewelry_store, salon, toy_store, grocery_store, dentist, cafe, bookstore, burger_joint, gym, craft_shop, gelateria : 64448
Saved path: gym, hardware_store, burger_joint, tech_shop, clothing_store, noodle_house, salon, barber_shop, bakery, bike_shop, gelateria, bank, music_store, florist, pet_store : 56973
Saved path: toy_store, bakery, bike_shop, music_store, gelateria, florist, pet_store, craft_shop, gym, burger_joint, cafe, tech_shop, grocery_store, clothing_store, noodle_house : 43804
Saved path: gelateria, pharmacy, bike_shop, jewelry_store, salon, clothing_store, tech_shop, dentist, bookstore, burger_joint, gym, craft_shop, pet_store, florist, music_store : 62312
Saved path: noodle_house, toy_store, burger_joint, bookstore, cafe, grocery_store, pizzeria, florist, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon : 56628
Saved path: grocery_store, clothing_store, noodle_house, salon, bike_shop, bakery, pharmacy, music_store, bank, gelateria, pet_store, dentist, cafe, bookstore, tech_shop : 56382
Saved path: noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, bank, florist, pizzeria, dentist, grocery_store, bookstore, hardware_store, toy_store : 72304
Saved path: clothing_store, toy_store, salon, hardware_store, gym, party_store, jewelry_store, music_store, bank, gelateria, pet_store, craft_shop, dentist, bookstore, grocery_store : 68286
Saved path: bank, gelateria, florist, pet_store, pizzeria, gym, hardware_store, burger_joint, cafe, clothing_store, noodle_house, barber_shop, jewelry_store, party_store, pharmacy : 71350
Saved path: music_store, florist, pet_store, craft_shop, dentist, cafe, tech_shop, clothing_store, noodle_house, bookstore, burger_joint, bakery, bike_shop, pharmacy, bank : 54605
Saved path: hardware_store, burger_joint, bookstore, dentist, craft_shop, pet_store, bank, music_store, bike_shop, jewelry_store, barber_shop, salon, noodle_house, clothing_store, toy_store : 69333
Saved path: cafe, bookstore, burger_joint, gym, craft_shop, music_store, bank, party_store, jewelry_store, barber_shop, salon, clothing_store, tech_shop, pizzeria, dentist : 70058
Saved path: bookstore, dentist, craft_shop, florist, music_store, bakery, party_store, jewelry_store, barber_shop, salon, hardware_store, toy_store, clothing_store, grocery_store, tech_shop : 58626
Saved path: bike_shop, jewelry_store, bakery, barber_shop, salon, hardware_store, toy_store, grocery_store, tech_shop, cafe, dentist, pet_store, gelateria, bank, music_store : 68959
Saved path: grocery_store, clothing_store, noodle_house, toy_store, jewelry_store, bike_shop, pharmacy, bank, florist, pet_store, pizzeria, dentist, burger_joint, bookstore, tech_shop : 67077
Saved path: grocery_store, tech_shop, pizzeria, dentist, burger_joint, gym, craft_shop, pet_store, bank, gelateria, pharmacy, bike_shop, barber_shop, salon, noodle_house : 61306
Saved path: pharmacy, bakery, party_store, jewelry_store, hardware_store, gym, burger_joint, toy_store, clothing_store, dentist, pizzeria, craft_shop, florist, music_store, bank : 61690
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, clothing_store, grocery_store, bookstore, burger_joint, hardware_store, craft_shop, pet_store, bank, pharmacy : 65215
Saved path: toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, tech_shop, pizzeria, bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop : 67256
Saved path: noodle_house, gym, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, music_store, bank, florist, pet_store, pizzeria, dentist, cafe, bookstore : 67694
