Saved path: pharmacy, jewelry_store, gym, burger_joint, toy_store, noodle_house, grocery_store, tech_shop, cafe, dentist, craft_shop, pet_store, florist, bank, music_store : 63374
Saved path: cafe, dentist, pizzeria, pet_store, florist, hardware_store, bike_shop, party_store, bakery, barber_shop, salon, toy_store, clothing_store, grocery_store, bookstore : 58264
Saved path: pet_store, gelateria, music_store, florist, dentist, tech_shop, cafe, burger_joint, toy_store, salon, barber_shop, bakery, party_store, bike_shop, gym : 60027
Saved path: pet_store, craft_shop, pizzeria, dentist, bookstore, grocery_store, noodle_house, salon, gym, bakery, pharmacy, gelateria, bank, music_store, florist : 60074
Saved path: florist, music_store, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, gym, toy_store, noodle_house, bookstore, cafe, tech_shop, pizzeria, craft_shop : 55155
Saved path: gym, burger_joint, cafe, bookstore, noodle_house, clothing_store, grocery_store, pizzeria, florist, gelateria, bank, pharmacy, bakery, jewelry_store, hardware_store : 60873
Saved path: salon, toy_store, hardware_store, party_store, bike_shop, pharmacy, bank, florist, craft_shop, pizzeria, tech_shop, cafe, bookstore, clothing_store, noodle_house : 62530
Saved path: salon, toy_store, noodle_house, clothing_store, cafe, bookstore, hardware_store, gym, craft_shop, florist, music_store, gelateria, pharmacy, bakery, barber_shop : 44240
Saved path: toy_store, clothing_store, tech_shop, burger_joint, bookstore, dentist, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, bike_shop, jewelry_store, hardware_store : 66983
Saved path: tech_shop, grocery_store, bookstore, burger_joint, gym, hardware_store, barber_shop, jewelry_store, party_store, pharmacy, music_store, gelateria, pet_store, craft_shop, dentist : 62519
Saved path: gym, bike_shop, party_store, bakery, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, florist, pet_store : 55074
Saved path: hardware_store, gym, pet_store, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, grocery_store, pizzeria, dentist, burger_joint : 72485
Saved path: bank, pharmacy, bakery, party_store, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, cafe, burger_joint, bookstore, dentist, pizzeria, craft_shop : 63146
Saved path: clothing_store, noodle_house, toy_store, burger_joint, gym, bakery, party_store, jewelry_store, bike_shop, music_store, pet_store, craft_shop, pizzeria, tech_shop, grocery_store : 57317
Saved path: florist, pet_store, craft_shop, gym, bookstore, cafe, grocery_store, clothing_store, noodle_house, salon, jewelry_store, party_store, pharmacy, gelateria, bank : 62229
Saved path: hardware_store, burger_joint, cafe, pizzeria, craft_shop, pet_store, bank, bakery, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, toy_store : 68683
Saved path: dentist, tech_shop, cafe, bookstore, burger_joint, toy_store, gym, hardware_store, jewelry_store, bike_shop, bakery, music_store, bank, gelateria, craft_shop : 61473
Saved path: noodle_house, barber_shop, jewelry_store, bike_shop, bakery, music_store, florist, pet_store, craft_shop, pizzeria, grocery_store, cafe, burger_joint, hardware_store, toy_store : 62167
Saved path: toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, gym, music_store, pharmacy, party_store, bike_shop, barber_shop, salon : 57640
Saved path: burger_joint, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, bakery, pharmacy, bank, florist, craft_shop, pizzeria, dentist, cafe : 63567
Saved path: craft_shop, florist, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, tech_shop, burger_joint, dentist, pizzeria : 57314
Saved path: barber_shop, toy_store, clothing_store, grocery_store, tech_shop, dentist, cafe, burger_joint, hardware_store, gym, pet_store, florist, gelateria, pharmacy, jewelry_store : 58955
Saved path: clothing_store, grocery_store, tech_shop, cafe, bookstore, florist, music_store, bank, gelateria, pharmacy, party_store, jewelry_store, hardware_store, salon, toy_store : 58453
Saved path: bakery, party_store, gym, hardware_store, salon, noodle_house, clothing_store, burger_joint, bookstore, cafe, pizzeria, craft_shop, music_store, bank, pharmacy : 63132
Saved path: tech_shop, grocery_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, pet_store, craft_shop, dentist, cafe, burger_joint : 59760
Saved path: gym, hardware_store, party_store, jewelry_store, music_store, florist, pet_store, craft_shop, dentist, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store : 57057
Saved path: cafe, bookstore, clothing_store, noodle_house, salon, barber_shop, bakery, bike_shop, jewelry_store, music_store, florist, pet_store, craft_shop, pizzeria, tech_shop : 59696
Saved path: salon, toy_store, noodle_house, grocery_store, tech_shop, bookstore, gym, craft_shop, florist, music_store, bank, gelateria, bakery, party_store, jewelry_store : 61212
Saved path: pizzeria, craft_shop, florist, gelateria, pharmacy, jewelry_store, bike_shop, gym, hardware_store, salon, toy_store, burger_joint, bookstore, grocery_store, tech_shop : 58361
Saved path: party_store, bike_shop, music_store, bank, gelateria, florist, craft_shop, dentist, bookstore, tech_shop, grocery_store, noodle_house, toy_store, gym, bakery : 58831
Saved path: dentist, cafe, burger_joint, gym, craft_shop, florist, bank, music_store, bike_shop, party_store, hardware_store, salon, clothing_store, grocery_store, tech_shop : 62343
Saved path: cafe, tech_shop, pizzeria, music_store, bank, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, burger_joint : 66512
Saved path: gelateria, pharmacy, hardware_store, gym, toy_store, salon, noodle_house, clothing_store, bookstore, pizzeria, craft_shop, pet_store, florist, music_store, bank : 58288
Saved path: bakery, bike_shop, jewelry_store, hardware_store, salon, toy_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, florist, music_store, pharmacy : 59254
Saved path: florist, pet_store, pizzeria, bookstore, gym, toy_store, salon, jewelry_store, party_store, bike_shop, bakery, pharmacy, gelateria, bank, music_store : 71722
Saved path: cafe, dentist, pizzeria, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, pharmacy, bank, craft_shop, gym, hardware_store, bookstore : 59586
Saved path: pet_store, bank, music_store, pharmacy, jewelry_store, party_store, toy_store, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym, craft_shop : 57658
Saved path: gym, bike_shop, jewelry_store, bakery, pharmacy, bank, pet_store, craft_shop, pizzeria, cafe, bookstore, clothing_store, noodle_house, salon, toy_store : 68055
Saved path: burger_joint, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, gym, craft_shop, florist, music_store, bank, pet_store, bookstore : 67156
Saved path: barber_shop, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store, gym, pizzeria, dentist, bookstore, burger_joint, noodle_house, salon : 61403
Saved path: noodle_house, toy_store, gym, hardware_store, burger_joint, cafe, dentist, craft_shop, pet_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop : 60134
Saved path: tech_shop, cafe, dentist, pizzeria, pet_store, music_store, pharmacy, bakery, party_store, jewelry_store, burger_joint, toy_store, salon, noodle_house, grocery_store : 60351
Saved path: bike_shop, barber_shop, toy_store, clothing_store, pizzeria, dentist, cafe, burger_joint, hardware_store, gym, pet_store, bank, music_store, pharmacy, jewelry_store : 71266
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, dentist, bookstore, burger_joint, hardware_store, florist, music_store, gelateria, pharmacy, bike_shop, barber_shop, salon : 52189
Saved path: party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, dentist, pizzeria, pet_store, florist, gelateria, bank : 67914
Saved path: jewelry_store, party_store, bike_shop, gelateria, bank, music_store, gym, burger_joint, cafe, dentist, pizzeria, tech_shop, clothing_store, noodle_house, salon : 67955
Saved path: pharmacy, music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, clothing_store, noodle_house, salon, toy_store, gym, party_store, jewelry_store : 60681
Saved path: tech_shop, noodle_house, salon, hardware_store, gym, bike_shop, party_store, bakery, pharmacy, gelateria, bank, pet_store, craft_shop, dentist, cafe : 62496
Saved path: bike_shop, barber_shop, salon, hardware_store, toy_store, clothing_store, bookstore, cafe, pizzeria, florist, music_store, pharmacy, bakery, party_store, jewelry_store : 61027
Saved path: gym, burger_joint, dentist, tech_shop, noodle_house, toy_store, barber_shop, party_store, bakery, pharmacy, music_store, bank, florist, pet_store, craft_shop : 66117
Saved path: noodle_house, toy_store, hardware_store, jewelry_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store : 60770
Saved path: burger_joint, bookstore, dentist, grocery_store, clothing_store, noodle_house, toy_store, gym, pet_store, bank, music_store, bakery, party_store, bike_shop, hardware_store : 60770
Saved path: cafe, burger_joint, toy_store, salon, hardware_store, gym, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, florist, pizzeria, grocery_store : 66292
Saved path: cafe, dentist, pizzeria, craft_shop, florist, bank, music_store, bike_shop, jewelry_store, party_store, bakery, gym, noodle_house, clothing_store, grocery_store : 62816
Saved path: burger_joint, bookstore, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bank, pet_store, craft_shop, pizzeria, dentist : 71157
Saved path: gelateria, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, gym, burger_joint, noodle_house, clothing_store, pizzeria, pet_store, florist, music_store, bank : 66719
Saved path: music_store, party_store, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, pizzeria, dentist, cafe, burger_joint, gym, craft_shop, florist, bank : 69175
Saved path: bakery, bike_shop, jewelry_store, hardware_store, barber_shop, noodle_house, clothing_store, grocery_store, bookstore, dentist, craft_shop, pet_store, florist, bank, pharmacy : 69399
Saved path: toy_store, salon, barber_shop, bakery, party_store, music_store, bank, gelateria, pet_store, gym, hardware_store, burger_joint, bookstore, clothing_store, noodle_house : 61277
Saved path: pizzeria, dentist, cafe, bookstore, burger_joint, toy_store, salon, hardware_store, gym, bike_shop, bakery, pharmacy, bank, florist, craft_shop : 58553
Saved path: bank, music_store, pharmacy, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, cafe, dentist, craft_shop, florist, gelateria : 61741
Saved path: noodle_house, salon, toy_store, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, florist, pet_store, gym, bookstore, tech_shop : 57892
Saved path: barber_shop, salon, noodle_house, toy_store, gym, hardware_store, burger_joint, tech_shop, pizzeria, craft_shop, music_store, bank, pharmacy, party_store, jewelry_store : 69719
Saved path: pizzeria, tech_shop, grocery_store, cafe, bookstore, hardware_store, toy_store, noodle_house, barber_shop, bike_shop, party_store, pharmacy, bank, pet_store, craft_shop : 67054
Saved path: grocery_store, pizzeria, dentist, bookstore, burger_joint, gym, florist, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, noodle_house, clothing_store : 55673
Saved path: jewelry_store, bakery, gelateria, bank, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house, bookstore, burger_joint, hardware_store : 62138
Saved path: noodle_house, clothing_store, tech_shop, cafe, burger_joint, bookstore, craft_shop, pet_store, music_store, pharmacy, party_store, bike_shop, bakery, toy_store, salon : 52503
Saved path: hardware_store, cafe, dentist, pizzeria, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, party_store, pharmacy, pet_store, craft_shop, gym : 62965
Saved path: toy_store, burger_joint, cafe, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, jewelry_store, party_store, bakery, hardware_store, gym : 56656
