Saved path: tech_shop, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, hardware_store, salon, barber_shop, jewelry_store, party_store, bank, florist, pizzeria, dentist : 70289
Saved path: dentist, pizzeria, pet_store, florist, bank, music_store, pharmacy, party_store, bike_shop, hardware_store, salon, clothing_store, grocery_store, bookstore, burger_joint : 67240
Saved path: grocery_store, clothing_store, toy_store, barber_shop, party_store, bakery, pharmacy, gelateria, music_store, florist, pet_store, craft_shop, pizzeria, cafe, bookstore : 55985
Saved path: pizzeria, burger_joint, gym, craft_shop, pet_store, bank, music_store, jewelry_store, party_store, bakery, barber_shop, salon, noodle_house, grocery_store, tech_shop : 69112
Saved path: pizzeria, dentist, cafe, burger_joint, gym, craft_shop, pet_store, florist, music_store, party_store, barber_shop, salon, noodle_house, clothing_store, grocery_store : 58934
Saved path: craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, cafe, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, gelateria, florist, pet_store : 54782
Saved path: music_store, pharmacy, jewelry_store, barber_shop, salon, noodle_house, grocery_store, tech_shop, pizzeria, bookstore, hardware_store, gym, craft_shop, pet_store, bank : 70492
Saved path: pizzeria, gym, pet_store, bank, music_store, pharmacy, bakery, party_store, jewelry_store, salon, clothing_store, grocery_store, bookstore, cafe, dentist : 68507
Saved path: gelateria, bank, florist, pet_store, pizzeria, dentist, bookstore, gym, hardware_store, toy_store, noodle_house, barber_shop, bike_shop, bakery, pharmacy : 65683
Saved path: bank, gelateria, florist, pet_store, craft_shop, dentist, cafe, burger_joint, toy_store, salon, hardware_store, gym, bike_shop, jewelry_store, pharmacy : 67358
Saved path: noodle_house, toy_store, barber_shop, party_store, bakery, bank, music_store, florist, pet_store, craft_shop, bookstore, burger_joint, cafe, tech_shop, grocery_store : 60611
Saved path: party_store, barber_shop, salon, hardware_store, gym, burger_joint, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store : 60329
Saved path: grocery_store, clothing_store, barber_shop, jewelry_store, bakery, pharmacy, music_store, gym, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop : 58882
Saved path: bakery, bike_shop, hardware_store, burger_joint, cafe, bookstore, florist, music_store, bank, pet_store, craft_shop, pizzeria, clothing_store, toy_store, barber_shop : 62988
Saved path: music_store, pharmacy, party_store, barber_shop, salon, noodle_house, toy_store, hardware_store, gym, bookstore, dentist, pizzeria, craft_shop, gelateria, bank : 66918
Saved path: burger_joint, gym, hardware_store, toy_store, barber_shop, bakery, pharmacy, music_store, pet_store, craft_shop, pizzeria, dentist, tech_shop, cafe, bookstore : 54141
Saved path: gym, hardware_store, bookstore, cafe, pizzeria, tech_shop, noodle_house, salon, barber_shop, bakery, pharmacy, bank, gelateria, florist, pet_store : 61971
Saved path: clothing_store, grocery_store, bookstore, burger_joint, hardware_store, gym, pizzeria, craft_shop, bank, bakery, bike_shop, barber_shop, salon, toy_store, noodle_house : 62973
Saved path: music_store, bank, pet_store, craft_shop, pizzeria, dentist, cafe, clothing_store, toy_store, salon, barber_shop, party_store, hardware_store, gym, florist : 66560
Saved path: party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, tech_shop, pizzeria, dentist, burger_joint, gym, pet_store, bank, music_store, pharmacy : 71237
Saved path: florist, pet_store, gym, hardware_store, burger_joint, cafe, dentist, tech_shop, noodle_house, toy_store, salon, barber_shop, party_store, pharmacy, bank : 67973
Saved path: clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, pharmacy, pet_store, pizzeria, dentist, cafe, bookstore, burger_joint, tech_shop, grocery_store : 59738
Saved path: pharmacy, bakery, party_store, bike_shop, hardware_store, gym, toy_store, noodle_house, grocery_store, cafe, pizzeria, craft_shop, pet_store, bank, gelateria : 59396
Saved path: bank, music_store, bike_shop, party_store, bakery, barber_shop, salon, clothing_store, tech_shop, bookstore, burger_joint, gym, craft_shop, pet_store, gelateria : 61724
Saved path: bike_shop, jewelry_store, party_store, bakery, bank, florist, pet_store, craft_shop, gym, burger_joint, bookstore, tech_shop, noodle_house, toy_store, barber_shop : 68097
Saved path: tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, bank, music_store, gym, pizzeria, dentist, cafe : 69648
Saved path: music_store, florist, pet_store, craft_shop, pizzeria, dentist, bookstore, cafe, tech_shop, salon, barber_shop, bike_shop, party_store, bakery, pharmacy : 58485
Saved path: bookstore, burger_joint, gym, hardware_store, barber_shop, jewelry_store, bakery, pharmacy, gelateria, music_store, craft_shop, pizzeria, tech_shop, grocery_store, cafe : 58724
Saved path: clothing_store, noodle_house, toy_store, barber_shop, bakery, gym, florist, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, burger_joint, grocery_store : 59905
Saved path: gelateria, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, toy_store, burger_joint, hardware_store, party_store, bakery, bank : 59716
Saved path: noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, pizzeria, craft_shop, florist, music_store, bank, pharmacy, jewelry_store, hardware_store, salon : 62781
Saved path: grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, music_store, bank, pet_store, hardware_store, bookstore, cafe, tech_shop : 63291
Saved path: pet_store, florist, gelateria, pharmacy, party_store, jewelry_store, barber_shop, salon, hardware_store, burger_joint, cafe, tech_shop, clothing_store, dentist, craft_shop : 59839
Saved path: bakery, barber_shop, salon, hardware_store, bookstore, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, party_store : 68456
Saved path: pet_store, music_store, pharmacy, bakery, party_store, jewelry_store, gym, toy_store, noodle_house, clothing_store, bookstore, cafe, tech_shop, pizzeria, craft_shop : 57392
Saved path: pet_store, florist, gelateria, music_store, pharmacy, jewelry_store, hardware_store, burger_joint, bookstore, dentist, pizzeria, tech_shop, noodle_house, toy_store, gym : 60993
Saved path: barber_shop, noodle_house, toy_store, hardware_store, burger_joint, cafe, dentist, pizzeria, craft_shop, pet_store, florist, music_store, gelateria, party_store, bike_shop : 60529
Saved path: jewelry_store, bakery, gym, burger_joint, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, craft_shop, pet_store, florist, music_store, bike_shop : 55270
Saved path: party_store, bike_shop, music_store, florist, pet_store, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, bookstore, burger_joint, hardware_store, bakery : 54251
Saved path: cafe, bookstore, burger_joint, gym, pet_store, gelateria, bank, music_store, pharmacy, party_store, jewelry_store, barber_shop, toy_store, tech_shop, dentist : 68921
Saved path: burger_joint, bookstore, dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, bike_shop, hardware_store, salon, noodle_house, toy_store : 59444
