Saved path: bike_shop, barber_shop, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, gym, hardware_store, gelateria, music_store, pharmacy, bakery, party_store : 58757
Saved path: pet_store, florist, music_store, bike_shop, jewelry_store, party_store, bakery, barber_shop, toy_store, hardware_store, burger_joint, cafe, clothing_store, tech_shop, pizzeria : 63419
Saved path: cafe, burger_joint, tech_shop, grocery_store, noodle_house, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, music_store, florist, craft_shop, dentist : 51792
Saved path: pharmacy, gelateria, music_store, florist, craft_shop, dentist, burger_joint, bookstore, clothing_store, noodle_house, salon, toy_store, gym, bakery, party_store : 53866
Saved path: pet_store, gelateria, music_store, pharmacy, bakery, party_store, bike_shop, salon, noodle_house, clothing_store, tech_shop, bookstore, burger_joint, dentist, craft_shop : 56036
Saved path: noodle_house, salon, hardware_store, party_store, jewelry_store, bike_shop, bakery, music_store, gelateria, craft_shop, pizzeria, dentist, bookstore, cafe, tech_shop : 59829
Saved path: hardware_store, gym, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, party_store, bakery, barber_shop, noodle_house, cafe, burger_joint : 65383
Saved path: burger_joint, bookstore, dentist, grocery_store, noodle_house, toy_store, barber_shop, bakery, pharmacy, music_store, florist, pet_store, craft_shop, gym, hardware_store : 51141
Saved path: tech_shop, cafe, bookstore, grocery_store, noodle_house, barber_shop, jewelry_store, bakery, hardware_store, gym, florist, music_store, gelateria, pet_store, pizzeria : 62837
Saved path: clothing_store, noodle_house, salon, hardware_store, bakery, bike_shop, jewelry_store, music_store, gelateria, florist, pizzeria, tech_shop, cafe, burger_joint, bookstore : 57771
Saved path: barber_shop, noodle_house, grocery_store, tech_shop, bookstore, cafe, dentist, craft_shop, pet_store, florist, music_store, hardware_store, bakery, party_store, jewelry_store : 61087
Saved path: cafe, grocery_store, clothing_store, noodle_house, salon, hardware_store, party_store, jewelry_store, bakery, pharmacy, music_store, florist, pet_store, craft_shop, pizzeria : 55844
Saved path: florist, music_store, bank, pharmacy, bakery, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, hardware_store, gym, craft_shop : 50624
Saved path: pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, clothing_store, grocery_store, tech_shop, gym, craft_shop, florist, gelateria, bank, music_store : 60002
Saved path: party_store, bike_shop, barber_shop, salon, toy_store, bookstore, cafe, burger_joint, hardware_store, gym, craft_shop, florist, gelateria, bank, pharmacy : 59429
Saved path: noodle_house, toy_store, burger_joint, gym, party_store, pharmacy, music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store : 54194
Saved path: jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank, music_store, florist, gym, hardware_store, bookstore, dentist, pizzeria, noodle_house, barber_shop : 70162
Saved path: music_store, florist, pizzeria, dentist, grocery_store, toy_store, gym, hardware_store, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, gelateria, bank : 68571
Saved path: clothing_store, grocery_store, tech_shop, bookstore, burger_joint, gym, pet_store, gelateria, bank, music_store, party_store, jewelry_store, salon, toy_store, noodle_house : 63480
Saved path: dentist, cafe, grocery_store, clothing_store, toy_store, burger_joint, hardware_store, bakery, party_store, jewelry_store, bike_shop, gelateria, bank, florist, pet_store : 62640
Saved path: bank, pet_store, craft_shop, pizzeria, dentist, grocery_store, bookstore, hardware_store, toy_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, pharmacy : 72329
Saved path: jewelry_store, party_store, pharmacy, music_store, gelateria, florist, pet_store, craft_shop, dentist, cafe, burger_joint, tech_shop, grocery_store, clothing_store, barber_shop : 58638
Saved path: clothing_store, tech_shop, dentist, bookstore, burger_joint, gym, craft_shop, florist, bank, pharmacy, bakery, party_store, jewelry_store, salon, noodle_house : 64771
Saved path: tech_shop, cafe, burger_joint, gym, craft_shop, pet_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store : 54396
Saved path: pharmacy, gelateria, florist, gym, burger_joint, bookstore, cafe, dentist, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store : 54522
Saved path: hardware_store, gym, craft_shop, pet_store, music_store, pharmacy, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, pizzeria, dentist, cafe : 63827
Saved path: cafe, bookstore, gym, pet_store, gelateria, bank, music_store, jewelry_store, barber_shop, salon, noodle_house, grocery_store, tech_shop, pizzeria, dentist : 70426
Saved path: gelateria, gym, hardware_store, bookstore, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, pharmacy, music_store : 63375
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, pizzeria, dentist, burger_joint, gym, craft_shop, florist, gelateria : 59179
Saved path: music_store, pharmacy, bike_shop, jewelry_store, salon, noodle_house, clothing_store, tech_shop, cafe, burger_joint, dentist, pizzeria, craft_shop, pet_store, bank : 65827
Saved path: bank, bakery, party_store, jewelry_store, barber_shop, salon, clothing_store, grocery_store, tech_shop, dentist, cafe, bookstore, gym, craft_shop, florist : 66603
Saved path: bank, gelateria, pharmacy, bike_shop, barber_shop, hardware_store, burger_joint, toy_store, noodle_house, clothing_store, grocery_store, dentist, pizzeria, craft_shop, pet_store : 60734
Saved path: party_store, jewelry_store, music_store, bank, gelateria, florist, pizzeria, tech_shop, grocery_store, clothing_store, salon, toy_store, burger_joint, gym, hardware_store : 66039
