Saved path: pet_store, bank, music_store, florist, gym, hardware_store, jewelry_store, bakery, barber_shop, toy_store, bookstore, cafe, tech_shop, pizzeria, craft_shop : 68912
Saved path: pizzeria, craft_shop, pet_store, bank, gelateria, florist, gym, bakery, bike_shop, hardware_store, salon, noodle_house, toy_store, burger_joint, bookstore : 61859
Saved path: salon, barber_shop, jewelry_store, bike_shop, gelateria, music_store, craft_shop, gym, hardware_store, bookstore, cafe, dentist, grocery_store, clothing_store, noodle_house : 60270
Saved path: tech_shop, dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, gym, bookstore : 72452
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, pizzeria, dentist, burger_joint, gym, music_store, pharmacy : 61071
Saved path: pet_store, gelateria, music_store, pharmacy, bike_shop, gym, toy_store, salon, noodle_house, clothing_store, burger_joint, bookstore, dentist, pizzeria, craft_shop : 55363
Saved path: pizzeria, craft_shop, florist, gelateria, pharmacy, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, toy_store, clothing_store, bookstore, cafe, tech_shop : 59597
Saved path: music_store, pharmacy, party_store, bakery, barber_shop, noodle_house, clothing_store, tech_shop, dentist, burger_joint, gym, craft_shop, pet_store, florist, gelateria : 56823
Saved path: bike_shop, hardware_store, salon, clothing_store, tech_shop, pizzeria, dentist, burger_joint, gym, music_store, bank, gelateria, bakery, party_store, jewelry_store : 69179
Saved path: pharmacy, music_store, gelateria, pet_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, burger_joint, noodle_house, toy_store, gym, hardware_store, bakery : 46935
Saved path: bike_shop, barber_shop, hardware_store, burger_joint, cafe, noodle_house, clothing_store, tech_shop, pizzeria, florist, music_store, bank, gelateria, pharmacy, jewelry_store : 67031
Saved path: music_store, gelateria, pharmacy, jewelry_store, bike_shop, barber_shop, noodle_house, toy_store, burger_joint, bookstore, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop : 59201
