Saved path: dentist, clothing_store, grocery_store, cafe, burger_joint, gym, hardware_store, party_store, bakery, pharmacy, bank, music_store, florist, pet_store, craft_shop : 57509
Saved path: bookstore, burger_joint, cafe, dentist, pizzeria, pet_store, florist, music_store, gelateria, bike_shop, party_store, bakery, toy_store, clothing_store, grocery_store : 54961
Saved path: bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, jewelry_store, hardware_store, salon, clothing_store, tech_shop : 66477
Saved path: bakery, pharmacy, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint, toy_store, gym, hardware_store, bike_shop, jewelry_store : 54748
Saved path: jewelry_store, pharmacy, music_store, bank, florist, craft_shop, gym, hardware_store, burger_joint, bookstore, pizzeria, tech_shop, clothing_store, toy_store, barber_shop : 68713
Saved path: gelateria, pizzeria, tech_shop, cafe, grocery_store, noodle_house, salon, toy_store, burger_joint, gym, bike_shop, jewelry_store, pharmacy, music_store, bank : 67036
Saved path: jewelry_store, bakery, pharmacy, florist, pet_store, craft_shop, dentist, grocery_store, clothing_store, cafe, bookstore, burger_joint, hardware_store, toy_store, barber_shop : 57128
Saved path: bike_shop, barber_shop, salon, hardware_store, burger_joint, clothing_store, grocery_store, pizzeria, pet_store, florist, music_store, bank, gelateria, pharmacy, bakery : 61773
Saved path: florist, pet_store, pizzeria, dentist, grocery_store, noodle_house, bookstore, burger_joint, hardware_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria : 62930
Saved path: gym, burger_joint, cafe, grocery_store, tech_shop, dentist, pizzeria, pet_store, gelateria, music_store, pharmacy, bakery, party_store, bike_shop, hardware_store : 53377
Saved path: pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, tech_shop, bookstore, cafe, dentist, craft_shop, gym, hardware_store : 49888
Saved path: pet_store, florist, music_store, bike_shop, jewelry_store, party_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, pizzeria, dentist, burger_joint, gym : 65402
Saved path: grocery_store, tech_shop, cafe, dentist, craft_shop, pet_store, florist, gelateria, pharmacy, jewelry_store, barber_shop, hardware_store, burger_joint, noodle_house, clothing_store : 58476
Saved path: pizzeria, bookstore, hardware_store, gym, craft_shop, pet_store, bank, pharmacy, bakery, jewelry_store, barber_shop, salon, noodle_house, clothing_store, tech_shop : 70122
Saved path: cafe, dentist, pizzeria, craft_shop, pet_store, bank, music_store, bakery, party_store, gym, burger_joint, noodle_house, clothing_store, grocery_store, tech_shop : 59716
Saved path: pharmacy, gelateria, hardware_store, burger_joint, bookstore, dentist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, party_store, bakery : 55664
Saved path: cafe, bookstore, noodle_house, salon, barber_shop, bike_shop, bakery, pharmacy, music_store, bank, gelateria, hardware_store, gym, craft_shop, pizzeria : 61078
Saved path: pizzeria, tech_shop, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, party_store, music_store, gelateria, hardware_store, bookstore, cafe, dentist : 64393
Saved path: pet_store, craft_shop, pizzeria, tech_shop, grocery_store, salon, gym, bike_shop, party_store, bakery, pharmacy, gelateria, bank, music_store, florist : 65487
Saved path: clothing_store, barber_shop, party_store, pharmacy, music_store, bank, pet_store, gym, hardware_store, burger_joint, bookstore, cafe, dentist, tech_shop, grocery_store : 64190
Saved path: hardware_store, gym, craft_shop, pet_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, tech_shop, pizzeria, burger_joint : 61310
Saved path: burger_joint, bookstore, cafe, tech_shop, pizzeria, pet_store, bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, hardware_store, gym, toy_store : 63546
Saved path: music_store, bank, gelateria, gym, hardware_store, bookstore, dentist, pizzeria, tech_shop, grocery_store, noodle_house, barber_shop, bike_shop, party_store, bakery : 67293
Saved path: salon, hardware_store, burger_joint, noodle_house, clothing_store, tech_shop, dentist, craft_shop, gelateria, bank, pharmacy, bakery, jewelry_store, bike_shop, barber_shop : 66836
Saved path: burger_joint, gym, pet_store, music_store, bakery, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, pizzeria, dentist, cafe, bookstore : 63182
Saved path: hardware_store, bakery, party_store, jewelry_store, music_store, florist, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, grocery_store, clothing_store, salon : 59075
Saved path: clothing_store, grocery_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, music_store, bank, gelateria, pharmacy, barber_shop, toy_store, noodle_house : 56779
Saved path: tech_shop, noodle_house, toy_store, salon, jewelry_store, party_store, bike_shop, bakery, pharmacy, gelateria, bank, florist, gym, bookstore, cafe : 62232
Saved path: bakery, party_store, bike_shop, hardware_store, gym, noodle_house, grocery_store, cafe, pizzeria, craft_shop, pet_store, florist, music_store, gelateria, pharmacy : 54968
Saved path: florist, music_store, pharmacy, hardware_store, jewelry_store, bike_shop, barber_shop, salon, clothing_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store : 63291
Saved path: pet_store, florist, gelateria, bike_shop, barber_shop, noodle_house, toy_store, hardware_store, burger_joint, bookstore, cafe, tech_shop, grocery_store, dentist, craft_shop : 53702
Saved path: pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, gym, bike_shop, jewelry_store, party_store, bank, gelateria, craft_shop : 63609
Saved path: noodle_house, cafe, bookstore, hardware_store, gym, pizzeria, pet_store, florist, music_store, gelateria, pharmacy, bakery, party_store, barber_shop, salon : 62046
Saved path: pizzeria, pet_store, florist, bank, music_store, pharmacy, hardware_store, salon, noodle_house, clothing_store, grocery_store, cafe, bookstore, burger_joint, gym : 58654
Saved path: pet_store, craft_shop, dentist, tech_shop, grocery_store, cafe, bookstore, burger_joint, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank : 58337
Saved path: grocery_store, tech_shop, cafe, hardware_store, gym, craft_shop, florist, bank, gelateria, pharmacy, bakery, bike_shop, barber_shop, toy_store, clothing_store : 52484
Saved path: music_store, florist, pet_store, craft_shop, pizzeria, cafe, clothing_store, noodle_house, toy_store, gym, hardware_store, salon, barber_shop, pharmacy, bank : 61152
Saved path: tech_shop, dentist, cafe, bookstore, gym, craft_shop, pet_store, florist, gelateria, music_store, pharmacy, party_store, barber_shop, salon, noodle_house : 59333
Saved path: bike_shop, jewelry_store, party_store, gelateria, florist, craft_shop, gym, burger_joint, bookstore, dentist, grocery_store, clothing_store, toy_store, salon, barber_shop : 58593
Saved path: florist, pet_store, pizzeria, dentist, cafe, burger_joint, salon, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank, music_store : 66707
Saved path: pharmacy, gelateria, music_store, florist, pet_store, gym, burger_joint, cafe, dentist, grocery_store, clothing_store, noodle_house, salon, hardware_store, jewelry_store : 58374
Saved path: hardware_store, burger_joint, dentist, tech_shop, clothing_store, noodle_house, salon, barber_shop, bakery, party_store, jewelry_store, bike_shop, music_store, florist, gym : 59140
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, jewelry_store, gelateria, bank, pet_store, hardware_store, burger_joint, cafe : 64322
Saved path: music_store, pharmacy, bakery, party_store, hardware_store, salon, noodle_house, burger_joint, bookstore, cafe, grocery_store, tech_shop, pizzeria, florist, bank : 60622
Saved path: bookstore, cafe, dentist, pizzeria, craft_shop, florist, gelateria, bank, music_store, bakery, party_store, jewelry_store, barber_shop, noodle_house, toy_store : 64719
Saved path: cafe, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, party_store, bike_shop, music_store, florist, pet_store, gym, craft_shop, pizzeria, tech_shop : 62860
Saved path: hardware_store, burger_joint, bookstore, cafe, dentist, tech_shop, clothing_store, barber_shop, bike_shop, pharmacy, music_store, gelateria, florist, pet_store, gym : 55359
Saved path: pet_store, craft_shop, pizzeria, tech_shop, clothing_store, cafe, bookstore, hardware_store, party_store, jewelry_store, barber_shop, pharmacy, music_store, bank, gelateria : 68625
Saved path: jewelry_store, party_store, hardware_store, gym, burger_joint, toy_store, salon, clothing_store, grocery_store, dentist, craft_shop, florist, pharmacy, bakery, bike_shop : 54224
Saved path: bike_shop, barber_shop, salon, toy_store, tech_shop, cafe, bookstore, hardware_store, gym, florist, gelateria, bank, pharmacy, bakery, party_store : 60439
Saved path: barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, gelateria, pizzeria, tech_shop, cafe, bookstore, burger_joint, gym, hardware_store, salon : 60772
Saved path: grocery_store, tech_shop, burger_joint, bookstore, dentist, craft_shop, pet_store, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house : 61265
Saved path: salon, noodle_house, clothing_store, toy_store, hardware_store, burger_joint, cafe, pizzeria, pet_store, florist, bank, music_store, pharmacy, party_store, barber_shop : 67545
Saved path: barber_shop, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, dentist, cafe, bookstore, gym, craft_shop, florist, gelateria, pharmacy, party_store : 55910
Saved path: cafe, dentist, pizzeria, grocery_store, clothing_store, noodle_house, salon, hardware_store, pharmacy, bakery, party_store, bike_shop, gym, burger_joint, bookstore : 48823
Saved path: pharmacy, party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, dentist, cafe, bookstore, burger_joint, gym, craft_shop, florist, gelateria : 53915
Saved path: florist, pet_store, gym, pizzeria, cafe, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank : 70601
Saved path: noodle_house, barber_shop, jewelry_store, party_store, bakery, pharmacy, bank, pet_store, craft_shop, dentist, tech_shop, bookstore, burger_joint, hardware_store, toy_store : 68210
Saved path: music_store, gelateria, craft_shop, pizzeria, dentist, bookstore, cafe, tech_shop, grocery_store, clothing_store, toy_store, gym, hardware_store, party_store, pharmacy : 52148
Saved path: craft_shop, pet_store, florist, music_store, bank, gelateria, pharmacy, party_store, hardware_store, salon, noodle_house, clothing_store, grocery_store, burger_joint, bookstore : 58064
Saved path: tech_shop, cafe, bookstore, hardware_store, gym, craft_shop, music_store, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, grocery_store : 63818
Saved path: music_store, bike_shop, party_store, bakery, barber_shop, salon, clothing_store, grocery_store, bookstore, burger_joint, gym, craft_shop, pet_store, gelateria, bank : 60561
Saved path: florist, craft_shop, gym, hardware_store, bookstore, cafe, dentist, tech_shop, clothing_store, noodle_house, barber_shop, bike_shop, pharmacy, gelateria, bank : 58570
Saved path: salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, music_store, florist, craft_shop, pizzeria, tech_shop, clothing_store, bookstore, burger_joint, toy_store : 58707
Saved path: music_store, gelateria, florist, craft_shop, pizzeria, dentist, cafe, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, gym : 62673
Saved path: salon, noodle_house, grocery_store, tech_shop, cafe, bookstore, dentist, pizzeria, craft_shop, florist, gelateria, bank, music_store, pharmacy, gym : 55463
Saved path: barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, bookstore, hardware_store, bike_shop, party_store, bakery, pharmacy, music_store, bank : 65771
Saved path: toy_store, clothing_store, tech_shop, bookstore, burger_joint, gym, craft_shop, pet_store, florist, gelateria, bank, pharmacy, bike_shop, party_store, hardware_store : 58336
