Saved path: florist, gelateria, music_store, pharmacy, jewelry_store, hardware_store, gym, toy_store, burger_joint, bookstore, cafe, grocery_store, tech_shop, pizzeria, craft_shop : 53534
Saved path: pet_store, bookstore, burger_joint, cafe, tech_shop, clothing_store, toy_store, salon, barber_shop, bike_shop, party_store, bakery, hardware_store, florist, bank : 64872
Saved path: burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, bike_shop, pharmacy, gelateria, florist, pizzeria, dentist, cafe : 50243
Saved path: dentist, craft_shop, pet_store, florist, music_store, bank, gelateria, bike_shop, jewelry_store, bakery, gym, toy_store, noodle_house, clothing_store, cafe : 62691
Saved path: salon, toy_store, noodle_house, clothing_store, grocery_store, cafe, hardware_store, craft_shop, music_store, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop : 54771
Saved path: burger_joint, gym, pet_store, florist, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, dentist, cafe : 58239
Saved path: pet_store, florist, bank, music_store, pharmacy, jewelry_store, bakery, gym, toy_store, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop : 64850
Saved path: salon, clothing_store, grocery_store, bookstore, dentist, craft_shop, pet_store, florist, gelateria, bank, music_store, bakery, bike_shop, gym, toy_store : 60674
Saved path: music_store, pharmacy, bakery, barber_shop, salon, noodle_house, clothing_store, toy_store, hardware_store, burger_joint, cafe, dentist, pizzeria, florist, gelateria : 49313
Saved path: toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, florist, music_store, gelateria, jewelry_store, bike_shop, bakery, hardware_store, gym : 52858
Saved path: salon, barber_shop, jewelry_store, party_store, hardware_store, gym, pet_store, bank, gelateria, florist, dentist, burger_joint, grocery_store, clothing_store, noodle_house : 68802
Saved path: party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, hardware_store, pet_store, florist, music_store, bakery : 57323
Saved path: party_store, jewelry_store, barber_shop, toy_store, clothing_store, bookstore, cafe, tech_shop, pizzeria, pet_store, bank, music_store, florist, gym, hardware_store : 71538
Saved path: hardware_store, pharmacy, bakery, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, cafe, bookstore, dentist, pizzeria, craft_shop, gym : 44677
Saved path: burger_joint, cafe, grocery_store, clothing_store, noodle_house, salon, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, gelateria, florist, pizzeria, dentist : 54119
Saved path: cafe, dentist, pizzeria, florist, music_store, bank, pet_store, gym, hardware_store, barber_shop, salon, toy_store, clothing_store, burger_joint, bookstore : 60846
Saved path: bakery, pharmacy, gelateria, bank, florist, pizzeria, gym, hardware_store, burger_joint, cafe, grocery_store, noodle_house, barber_shop, bike_shop, jewelry_store : 67374
Saved path: cafe, bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, party_store, gelateria, music_store, florist, pet_store, pizzeria, tech_shop : 57964
Saved path: jewelry_store, party_store, bakery, pharmacy, music_store, bank, pet_store, craft_shop, bookstore, burger_joint, cafe, tech_shop, clothing_store, salon, barber_shop : 61732
Saved path: bike_shop, barber_shop, salon, clothing_store, bookstore, tech_shop, pizzeria, craft_shop, florist, music_store, bank, gelateria, pet_store, gym, hardware_store : 64417
Saved path: salon, barber_shop, jewelry_store, bakery, pharmacy, music_store, pet_store, gym, bookstore, dentist, pizzeria, tech_shop, grocery_store, noodle_house, toy_store : 64379
Saved path: craft_shop, gym, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, party_store, pharmacy, music_store, pet_store : 52734
Saved path: florist, pet_store, craft_shop, bookstore, burger_joint, cafe, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, pharmacy, music_store, bank : 56573
Saved path: music_store, bank, gelateria, pet_store, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bakery, bike_shop, party_store, hardware_store : 64222
Saved path: salon, barber_shop, party_store, bakery, music_store, bank, pet_store, gym, hardware_store, bookstore, pizzeria, tech_shop, grocery_store, noodle_house, toy_store : 68851
Saved path: barber_shop, salon, noodle_house, toy_store, hardware_store, gym, bookstore, cafe, dentist, craft_shop, music_store, bank, party_store, jewelry_store, bike_shop : 70450
Saved path: bank, music_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, toy_store, hardware_store, burger_joint, bookstore, dentist, pet_store, florist, gelateria : 63203
Saved path: jewelry_store, barber_shop, hardware_store, gym, toy_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, bank, music_store, pharmacy : 72121
Saved path: dentist, cafe, bookstore, burger_joint, hardware_store, gym, music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store, grocery_store, tech_shop : 57952
Saved path: party_store, bike_shop, gym, burger_joint, bookstore, cafe, grocery_store, dentist, pizzeria, pet_store, florist, bank, gelateria, pharmacy, bakery : 61680
Saved path: grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, pharmacy, florist, pet_store, craft_shop, pizzeria, dentist, cafe : 54285
Saved path: pizzeria, dentist, cafe, bookstore, tech_shop, noodle_house, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, florist, pet_store : 68964
Saved path: craft_shop, florist, music_store, bakery, party_store, jewelry_store, hardware_store, salon, grocery_store, tech_shop, pizzeria, dentist, cafe, burger_joint, gym : 58297
Saved path: bike_shop, party_store, bakery, pharmacy, music_store, bank, gelateria, florist, craft_shop, pizzeria, tech_shop, cafe, bookstore, salon, gym : 63939
Saved path: gelateria, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, gym, toy_store, clothing_store, grocery_store, bookstore, pizzeria, florist, music_store, bank : 62255
Saved path: cafe, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy, party_store, bike_shop, hardware_store, salon, toy_store, clothing_store, burger_joint, bookstore : 64119
Saved path: barber_shop, salon, noodle_house, clothing_store, grocery_store, dentist, cafe, burger_joint, gym, florist, gelateria, bank, music_store, pharmacy, party_store : 59452
Saved path: craft_shop, florist, gelateria, bank, pet_store, gym, party_store, jewelry_store, barber_shop, toy_store, clothing_store, bookstore, cafe, tech_shop, pizzeria : 70322
Saved path: burger_joint, noodle_house, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, bank, music_store, florist, gym, jewelry_store, party_store, hardware_store : 66722
Saved path: bookstore, burger_joint, tech_shop, clothing_store, noodle_house, salon, toy_store, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, bank, pet_store, craft_shop : 62626
Saved path: party_store, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, cafe, dentist, craft_shop, pet_store, florist, bank, pharmacy : 62862
Saved path: florist, gelateria, music_store, pharmacy, bakery, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, dentist, cafe, burger_joint, gym, pet_store : 57977
