Saved path: burger_joint, bookstore, cafe, pizzeria, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, party_store, pharmacy, gelateria, florist, gym, hardware_store : 56076
Saved path: bank, music_store, florist, gym, hardware_store, bakery, bike_shop, jewelry_store, barber_shop, tech_shop, bookstore, cafe, dentist, craft_shop, pet_store : 69843
Saved path: bookstore, burger_joint, dentist, pizzeria, craft_shop, florist, gelateria, music_store, bike_shop, bakery, gym, hardware_store, salon, clothing_store, grocery_store : 52831
Saved path: jewelry_store, gym, hardware_store, salon, toy_store, clothing_store, tech_shop, cafe, bookstore, dentist, craft_shop, pet_store, gelateria, bank, music_store : 67860
Saved path: florist, gelateria, music_store, pharmacy, bike_shop, barber_shop, salon, noodle_house, clothing_store, tech_shop, dentist, burger_joint, gym, craft_shop, pet_store : 53949
Saved path: jewelry_store, bike_shop, barber_shop, salon, hardware_store, bookstore, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, bank, bakery, party_store : 71394
Saved path: dentist, cafe, hardware_store, gym, pet_store, florist, bank, gelateria, pharmacy, party_store, bakery, barber_shop, toy_store, noodle_house, clothing_store : 65629
Saved path: gym, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, party_store, barber_shop, toy_store, noodle_house, grocery_store, bookstore, burger_joint, hardware_store : 70178
Saved path: grocery_store, clothing_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, florist, craft_shop, gym, burger_joint, bookstore, dentist, tech_shop : 57990
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, clothing_store, bookstore, burger_joint, dentist, pizzeria, craft_shop, pet_store, florist, pharmacy : 60137
Saved path: clothing_store, grocery_store, tech_shop, cafe, bookstore, dentist, gelateria, bank, pharmacy, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house : 62191
Saved path: barber_shop, gym, florist, music_store, bank, pet_store, craft_shop, pizzeria, tech_shop, clothing_store, cafe, bookstore, burger_joint, toy_store, salon : 59603
Saved path: pet_store, gelateria, bank, music_store, bakery, hardware_store, burger_joint, bookstore, cafe, dentist, tech_shop, grocery_store, noodle_house, toy_store, gym : 53596
Saved path: bookstore, cafe, dentist, grocery_store, clothing_store, noodle_house, toy_store, gym, pet_store, gelateria, music_store, pharmacy, jewelry_store, bike_shop, burger_joint : 56331
Saved path: gym, bank, gelateria, craft_shop, pizzeria, dentist, bookstore, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, hardware_store : 63657
Saved path: craft_shop, florist, bank, music_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, tech_shop, pizzeria, cafe, burger_joint, gym : 67850
Saved path: pharmacy, bakery, party_store, bike_shop, barber_shop, salon, clothing_store, grocery_store, dentist, gym, pet_store, florist, gelateria, bank, music_store : 65101
Saved path: tech_shop, grocery_store, clothing_store, salon, hardware_store, jewelry_store, bike_shop, music_store, gelateria, florist, gym, burger_joint, bookstore, cafe, pizzeria : 60526
Saved path: cafe, bookstore, burger_joint, hardware_store, bike_shop, party_store, bakery, barber_shop, music_store, gelateria, pet_store, pizzeria, dentist, clothing_store, grocery_store : 59997
Saved path: gelateria, bank, music_store, bakery, party_store, jewelry_store, bike_shop, hardware_store, salon, tech_shop, dentist, cafe, burger_joint, gym, pet_store : 68914
Saved path: noodle_house, toy_store, bakery, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, florist, pet_store, craft_shop, bookstore, tech_shop : 60613
Saved path: bookstore, hardware_store, gym, pet_store, florist, bank, pharmacy, bakery, party_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop : 61987
Saved path: florist, gym, hardware_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, dentist, pizzeria, craft_shop, pet_store, bank : 64018
Saved path: jewelry_store, bike_shop, bakery, hardware_store, gym, burger_joint, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, gelateria : 54248
