Saved path: pharmacy, music_store, florist, pizzeria, tech_shop, cafe, bookstore, clothing_store, toy_store, salon, hardware_store, party_store, jewelry_store, bike_shop, bakery : 57031
Saved path: cafe, bookstore, gym, craft_shop, pet_store, florist, music_store, bakery, jewelry_store, bike_shop, hardware_store, salon, toy_store, clothing_store, tech_shop : 56685
Saved path: tech_shop, cafe, bookstore, burger_joint, salon, barber_shop, bike_shop, jewelry_store, bakery, gym, florist, gelateria, bank, pet_store, dentist : 70015
Saved path: dentist, burger_joint, cafe, tech_shop, grocery_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, gym, pet_store, craft_shop : 56126
Saved path: music_store, florist, pet_store, craft_shop, gym, burger_joint, cafe, tech_shop, noodle_house, salon, bike_shop, bakery, pharmacy, gelateria, bank : 54820
Saved path: salon, barber_shop, bike_shop, party_store, pharmacy, gelateria, florist, pet_store, craft_shop, hardware_store, burger_joint, bookstore, cafe, grocery_store, clothing_store : 53688
Saved path: tech_shop, burger_joint, cafe, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, hardware_store, gym, pet_store, florist, pizzeria : 59318
Saved path: craft_shop, pizzeria, cafe, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery, hardware_store, gym, florist, gelateria : 58546
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, cafe, dentist, pizzeria, florist, music_store, gelateria, pet_store, gym, hardware_store, jewelry_store : 63909
Saved path: bank, music_store, pharmacy, bakery, barber_shop, salon, noodle_house, tech_shop, bookstore, burger_joint, hardware_store, craft_shop, pet_store, florist, gelateria : 55619
Saved path: bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, florist, gym, craft_shop, pizzeria, bookstore, grocery_store, clothing_store, noodle_house, barber_shop : 59115
Saved path: bank, music_store, bakery, bike_shop, jewelry_store, salon, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, craft_shop, pet_store, gelateria : 62771
Saved path: bank, music_store, bike_shop, bakery, gym, burger_joint, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop, florist : 53844
Saved path: bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, pet_store, bank, music_store, florist, gym, bakery, party_store, jewelry_store : 65661
Saved path: noodle_house, salon, toy_store, bakery, party_store, bank, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, tech_shop, grocery_store, clothing_store : 63013
Saved path: salon, barber_shop, bike_shop, party_store, bank, music_store, florist, gym, hardware_store, bookstore, cafe, tech_shop, clothing_store, noodle_house, toy_store : 61750
Saved path: tech_shop, grocery_store, toy_store, gym, craft_shop, pet_store, gelateria, bank, music_store, bike_shop, party_store, bakery, burger_joint, bookstore, cafe : 56192
Saved path: cafe, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, florist, pet_store, gym, burger_joint : 64306
Saved path: hardware_store, toy_store, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, florist, pet_store, craft_shop, dentist, tech_shop, bookstore, gym : 59843
Saved path: hardware_store, gym, toy_store, noodle_house, clothing_store, bookstore, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, bakery, bike_shop, party_store : 55367
Saved path: barber_shop, jewelry_store, music_store, bank, florist, pet_store, craft_shop, pizzeria, dentist, bookstore, cafe, tech_shop, noodle_house, toy_store, salon : 70685
Saved path: music_store, gelateria, florist, bookstore, burger_joint, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, party_store, pharmacy : 49376
Saved path: dentist, pizzeria, craft_shop, florist, bank, gelateria, pharmacy, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, bookstore, cafe : 64443
Saved path: cafe, dentist, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, bakery, gym, hardware_store, salon, noodle_house, burger_joint, bookstore : 59798
Saved path: grocery_store, cafe, bookstore, burger_joint, gym, craft_shop, pizzeria, bank, pharmacy, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store : 69260
Saved path: toy_store, hardware_store, burger_joint, bookstore, tech_shop, dentist, craft_shop, music_store, gelateria, pharmacy, bakery, party_store, barber_shop, noodle_house, clothing_store : 56336
Saved path: noodle_house, clothing_store, pizzeria, craft_shop, florist, bank, gelateria, pharmacy, bike_shop, jewelry_store, party_store, hardware_store, gym, burger_joint, salon : 67133
Saved path: party_store, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, pizzeria, burger_joint, gym, pet_store, florist, gelateria, bank, pharmacy, bakery : 70586
Saved path: barber_shop, salon, toy_store, bookstore, cafe, burger_joint, hardware_store, gym, craft_shop, pet_store, florist, gelateria, music_store, pharmacy, jewelry_store : 57543
Saved path: bakery, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, tech_shop, noodle_house, salon, burger_joint, gym, hardware_store, party_store, jewelry_store : 58049
Saved path: jewelry_store, bakery, barber_shop, salon, noodle_house, clothing_store, tech_shop, cafe, bookstore, craft_shop, pet_store, florist, music_store, bank, gelateria : 61671
Saved path: bank, music_store, pharmacy, bike_shop, party_store, hardware_store, toy_store, salon, noodle_house, clothing_store, tech_shop, burger_joint, gym, craft_shop, florist : 58464
Saved path: florist, gelateria, music_store, jewelry_store, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, cafe, burger_joint, craft_shop : 55117
Saved path: florist, pet_store, dentist, grocery_store, tech_shop, cafe, burger_joint, hardware_store, salon, barber_shop, jewelry_store, pharmacy, gelateria, bank, music_store : 67479
Saved path: craft_shop, gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, toy_store, salon, barber_shop, bakery, bike_shop, gelateria, florist, pet_store : 46933
Saved path: bike_shop, jewelry_store, barber_shop, toy_store, burger_joint, bookstore, cafe, tech_shop, dentist, pet_store, gelateria, bank, music_store, florist, gym : 70753
Saved path: grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, gelateria, music_store, florist, pet_store, craft_shop, gym, hardware_store, burger_joint, bookstore, tech_shop : 59042
Saved path: bakery, pharmacy, music_store, bank, florist, pet_store, pizzeria, dentist, tech_shop, gym, hardware_store, salon, barber_shop, jewelry_store, party_store : 73495
Saved path: craft_shop, pizzeria, dentist, grocery_store, cafe, bookstore, burger_joint, hardware_store, salon, barber_shop, party_store, pharmacy, music_store, florist, pet_store : 58328
Saved path: pizzeria, craft_shop, pet_store, gelateria, jewelry_store, barber_shop, noodle_house, clothing_store, toy_store, gym, hardware_store, burger_joint, bookstore, cafe, dentist : 62631
Saved path: bank, gelateria, florist, hardware_store, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, cafe, burger_joint, bookstore, pet_store : 55264
Saved path: tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, craft_shop, pet_store, florist, gelateria, pharmacy, party_store, bike_shop, salon, noodle_house : 60630
Saved path: noodle_house, salon, jewelry_store, party_store, bike_shop, bakery, gelateria, bank, pet_store, gym, burger_joint, cafe, dentist, grocery_store, clothing_store : 65109
Saved path: dentist, tech_shop, clothing_store, toy_store, salon, hardware_store, jewelry_store, bike_shop, pharmacy, music_store, bank, gelateria, pet_store, gym, burger_joint : 68166
Saved path: pet_store, pizzeria, dentist, tech_shop, grocery_store, clothing_store, cafe, bookstore, burger_joint, gym, bike_shop, party_store, pharmacy, gelateria, bank : 61053
Saved path: pharmacy, party_store, jewelry_store, bike_shop, bakery, burger_joint, noodle_house, grocery_store, cafe, pizzeria, craft_shop, florist, gelateria, bank, music_store : 59647
Saved path: music_store, gelateria, florist, pet_store, gym, bookstore, cafe, dentist, tech_shop, clothing_store, noodle_house, salon, bakery, party_store, pharmacy : 57693
Saved path: cafe, bookstore, grocery_store, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, pet_store, gym, craft_shop, pizzeria, dentist : 61914
Saved path: music_store, bank, gelateria, craft_shop, hardware_store, burger_joint, cafe, tech_shop, grocery_store, toy_store, salon, barber_shop, bakery, party_store, bike_shop : 60010
Saved path: clothing_store, tech_shop, pizzeria, pet_store, florist, music_store, gelateria, pharmacy, party_store, jewelry_store, barber_shop, toy_store, hardware_store, burger_joint, bookstore : 64773
Saved path: pizzeria, tech_shop, grocery_store, bookstore, burger_joint, gym, toy_store, noodle_house, barber_shop, bakery, party_store, gelateria, music_store, florist, craft_shop : 57530
Saved path: burger_joint, hardware_store, pet_store, florist, music_store, pharmacy, party_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, dentist : 60000
Saved path: pizzeria, dentist, bookstore, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, barber_shop, bakery, party_store, pharmacy, gelateria, florist, craft_shop : 54856
Saved path: cafe, burger_joint, grocery_store, noodle_house, salon, jewelry_store, party_store, bike_shop, bakery, gelateria, music_store, florist, pet_store, pizzeria, dentist : 61459
Saved path: noodle_house, clothing_store, grocery_store, dentist, craft_shop, florist, music_store, gelateria, pharmacy, bakery, jewelry_store, party_store, hardware_store, gym, bookstore : 52871
Saved path: barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, florist, pet_store, craft_shop, dentist, bookstore, burger_joint, tech_shop, grocery_store : 69597
Saved path: gelateria, bank, music_store, bakery, barber_shop, salon, hardware_store, burger_joint, bookstore, noodle_house, clothing_store, tech_shop, dentist, craft_shop, pet_store : 59328
