Saved path: music_store, pharmacy, party_store, jewelry_store, hardware_store, gym, toy_store, grocery_store, bookstore, dentist, pizzeria, craft_shop, pet_store, florist, bank : 67286
Saved path: bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, toy_store, salon, noodle_house, clothing_store, bookstore, cafe, dentist, pizzeria, gelateria : 60147
Saved path: craft_shop, pet_store, bank, pharmacy, bakery, jewelry_store, barber_shop, noodle_house, toy_store, gym, hardware_store, burger_joint, bookstore, dentist, pizzeria : 70026
Saved path: pharmacy, music_store, bank, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, burger_joint, bike_shop, jewelry_store, party_store : 65631
Saved path: bike_shop, jewelry_store, bakery, barber_shop, salon, toy_store, grocery_store, tech_shop, cafe, gym, craft_shop, pet_store, florist, music_store, gelateria : 58056
Saved path: cafe, dentist, pizzeria, bank, gelateria, bike_shop, jewelry_store, party_store, bakery, gym, hardware_store, salon, noodle_house, clothing_store, tech_shop : 68206
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, dentist, bookstore, hardware_store, gym, craft_shop, florist, bank, party_store, bakery, barber_shop, salon : 63765
Saved path: gym, florist, bank, music_store, pharmacy, party_store, barber_shop, salon, toy_store, grocery_store, pizzeria, dentist, bookstore, burger_joint, hardware_store : 67506
Saved path: dentist, tech_shop, clothing_store, noodle_house, toy_store, barber_shop, party_store, pharmacy, gelateria, bank, florist, pet_store, craft_shop, gym, burger_joint : 65748
Saved path: tech_shop, grocery_store, noodle_house, toy_store, hardware_store, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, bank, florist, craft_shop, pizzeria, dentist : 67665
Saved path: music_store, gelateria, florist, pet_store, craft_shop, burger_joint, cafe, tech_shop, noodle_house, salon, hardware_store, party_store, bike_shop, bakery, pharmacy : 53606
Saved path: tech_shop, cafe, hardware_store, craft_shop, pet_store, gelateria, bank, music_store, bakery, party_store, barber_shop, salon, toy_store, noodle_house, clothing_store : 61654
Saved path: gym, bakery, bike_shop, jewelry_store, music_store, bank, gelateria, craft_shop, pizzeria, dentist, grocery_store, clothing_store, salon, toy_store, burger_joint : 66790
Saved path: dentist, tech_shop, grocery_store, clothing_store, bookstore, hardware_store, salon, barber_shop, bakery, jewelry_store, bike_shop, music_store, florist, pet_store, craft_shop : 62017
Saved path: bike_shop, bakery, music_store, bank, pet_store, pizzeria, tech_shop, cafe, bookstore, gym, hardware_store, toy_store, noodle_house, barber_shop, jewelry_store : 71875
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, pet_store, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, burger_joint : 63613
Saved path: pharmacy, gelateria, music_store, florist, pet_store, craft_shop, dentist, bookstore, cafe, tech_shop, grocery_store, clothing_store, salon, hardware_store, party_store : 54892
Saved path: pet_store, gelateria, music_store, pharmacy, bike_shop, jewelry_store, party_store, hardware_store, gym, toy_store, grocery_store, tech_shop, bookstore, dentist, pizzeria : 61214
Saved path: bike_shop, jewelry_store, bakery, hardware_store, burger_joint, toy_store, noodle_house, clothing_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, gym : 52417
Saved path: music_store, bank, pharmacy, jewelry_store, barber_shop, toy_store, grocery_store, tech_shop, dentist, cafe, burger_joint, gym, craft_shop, pet_store, florist : 68044
Saved path: burger_joint, hardware_store, toy_store, noodle_house, salon, barber_shop, jewelry_store, music_store, bank, gelateria, florist, craft_shop, pizzeria, dentist, bookstore : 67304
Saved path: salon, toy_store, noodle_house, clothing_store, grocery_store, burger_joint, bookstore, craft_shop, pet_store, florist, pharmacy, bakery, party_store, bike_shop, barber_shop : 50415
Saved path: clothing_store, burger_joint, bookstore, cafe, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, party_store, bike_shop, salon, noodle_house : 55516
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, tech_shop, bookstore, craft_shop, florist, music_store, bank, pharmacy : 60871
Saved path: dentist, pizzeria, pet_store, florist, gelateria, bank, music_store, pharmacy, bakery, party_store, hardware_store, salon, burger_joint, cafe, tech_shop : 63996
Saved path: toy_store, salon, barber_shop, bakery, bike_shop, party_store, hardware_store, gym, florist, gelateria, pizzeria, cafe, bookstore, clothing_store, noodle_house : 58604
Saved path: salon, noodle_house, clothing_store, grocery_store, burger_joint, hardware_store, gym, craft_shop, music_store, bank, gelateria, pharmacy, bike_shop, jewelry_store, barber_shop : 60879
Saved path: pharmacy, music_store, bank, gelateria, pet_store, pizzeria, cafe, burger_joint, toy_store, clothing_store, noodle_house, barber_shop, bike_shop, party_store, bakery : 63804
Saved path: cafe, dentist, pizzeria, craft_shop, florist, bank, pet_store, gym, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house : 70528
Saved path: pizzeria, dentist, burger_joint, bookstore, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, bank, music_store, florist, craft_shop : 67164
Saved path: party_store, bike_shop, barber_shop, hardware_store, burger_joint, toy_store, clothing_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy : 59861
Saved path: tech_shop, bookstore, burger_joint, toy_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, dentist : 59712
Saved path: bank, pharmacy, party_store, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, dentist, bookstore, gym, pet_store, florist, gelateria : 66541
Saved path: pet_store, florist, gym, hardware_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, toy_store, burger_joint, dentist, pizzeria : 61592
Saved path: burger_joint, bookstore, cafe, dentist, tech_shop, grocery_store, clothing_store, salon, hardware_store, bakery, pharmacy, gelateria, florist, pet_store, gym : 48082
Saved path: pizzeria, tech_shop, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, gelateria, bank, pet_store, gym, hardware_store, bookstore, dentist : 73836
Saved path: barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop, pet_store, bank, pharmacy, bakery : 57547
Saved path: burger_joint, hardware_store, toy_store, noodle_house, barber_shop, bike_shop, jewelry_store, bakery, music_store, bank, gelateria, florist, pet_store, craft_shop, pizzeria : 69855
Saved path: tech_shop, cafe, dentist, pizzeria, pet_store, florist, bank, music_store, pharmacy, bakery, party_store, hardware_store, burger_joint, noodle_house, clothing_store : 60640
