Saved path: bike_shop, jewelry_store, party_store, gym, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, cafe, tech_shop, pizzeria, florist, music_store : 59133
Saved path: hardware_store, gym, craft_shop, pizzeria, dentist, burger_joint, bookstore, cafe, tech_shop, clothing_store, salon, barber_shop, jewelry_store, party_store, bakery : 47028
Saved path: clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, gym, pet_store, gelateria, party_store, bakery, barber_shop, salon, toy_store : 51531
Saved path: bank, music_store, bakery, bike_shop, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, cafe, bookstore, gym, pet_store, florist, gelateria : 59704
Saved path: party_store, gelateria, florist, pet_store, gym, hardware_store, burger_joint, cafe, dentist, pizzeria, tech_shop, clothing_store, noodle_house, toy_store, barber_shop : 59957
Saved path: craft_shop, pet_store, florist, bank, gelateria, bike_shop, jewelry_store, party_store, hardware_store, toy_store, clothing_store, grocery_store, bookstore, cafe, pizzeria : 65164
Saved path: florist, pet_store, pizzeria, gym, burger_joint, cafe, grocery_store, toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, gelateria, bank : 71732
Saved path: barber_shop, salon, noodle_house, clothing_store, toy_store, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, florist, bank, jewelry_store : 69747
Saved path: hardware_store, bike_shop, party_store, bakery, pharmacy, gelateria, bank, pet_store, pizzeria, bookstore, clothing_store, noodle_house, salon, toy_store, gym : 66035
Saved path: noodle_house, salon, barber_shop, bike_shop, bakery, pharmacy, music_store, gelateria, pet_store, pizzeria, gym, burger_joint, bookstore, cafe, grocery_store : 55097
Saved path: barber_shop, salon, toy_store, hardware_store, burger_joint, bookstore, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, gelateria, pharmacy, bakery, jewelry_store : 59296
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, craft_shop, gym, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, bank : 70892
Saved path: salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, florist, craft_shop, pizzeria, dentist, cafe, bookstore, toy_store : 64245
Saved path: barber_shop, salon, noodle_house, toy_store, hardware_store, cafe, dentist, pizzeria, craft_shop, pet_store, florist, bank, party_store, jewelry_store, bike_shop : 73268
Saved path: grocery_store, toy_store, hardware_store, salon, barber_shop, jewelry_store, bike_shop, bakery, bank, florist, craft_shop, pizzeria, dentist, cafe, tech_shop : 68791
Saved path: grocery_store, tech_shop, cafe, bookstore, dentist, craft_shop, florist, bank, music_store, pharmacy, party_store, bike_shop, toy_store, salon, noodle_house : 60845
Saved path: bike_shop, gym, hardware_store, salon, noodle_house, clothing_store, grocery_store, bookstore, pizzeria, florist, gelateria, music_store, bakery, party_store, jewelry_store : 61021
Saved path: florist, music_store, pharmacy, party_store, jewelry_store, bike_shop, gym, toy_store, salon, noodle_house, clothing_store, dentist, pizzeria, craft_shop, pet_store : 61754
Saved path: pizzeria, dentist, bookstore, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, bike_shop, gym, florist, music_store, gelateria, pet_store : 58145
Saved path: dentist, pizzeria, pet_store, bank, bakery, party_store, bike_shop, barber_shop, salon, toy_store, burger_joint, bookstore, cafe, grocery_store, tech_shop : 66655
Saved path: bookstore, burger_joint, gym, pizzeria, pet_store, music_store, bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, toy_store, grocery_store, cafe : 66055
Saved path: craft_shop, gym, bookstore, cafe, dentist, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, pharmacy, bank, gelateria, florist : 58729
Saved path: toy_store, noodle_house, grocery_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, pet_store, gelateria, bike_shop, party_store, bakery, hardware_store, gym : 53584
Saved path: pet_store, pizzeria, dentist, burger_joint, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, bakery, pharmacy, bank, music_store, florist : 60523
Saved path: bakery, pharmacy, florist, pet_store, gym, burger_joint, bookstore, cafe, dentist, pizzeria, grocery_store, clothing_store, salon, hardware_store, party_store : 56477
Saved path: pet_store, gelateria, pharmacy, bakery, bike_shop, hardware_store, gym, burger_joint, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop : 46871
Saved path: party_store, bike_shop, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, dentist, pizzeria, florist, bank, pharmacy : 64543
