Saved path: clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, bank, bakery, jewelry_store, party_store, hardware_store, gym, toy_store, noodle_house : 63528
Saved path: pharmacy, party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, burger_joint, hardware_store, gym, pizzeria, craft_shop, gelateria, music_store : 59143
Saved path: clothing_store, toy_store, burger_joint, hardware_store, salon, barber_shop, bakery, pharmacy, bank, florist, pet_store, craft_shop, pizzeria, dentist, grocery_store : 60612
Saved path: craft_shop, pet_store, bank, gelateria, florist, bookstore, cafe, tech_shop, grocery_store, clothing_store, salon, jewelry_store, bike_shop, bakery, gym : 63431
Saved path: jewelry_store, party_store, hardware_store, barber_shop, salon, noodle_house, grocery_store, tech_shop, pizzeria, pet_store, bank, gelateria, pharmacy, bakery, bike_shop : 68327
Saved path: dentist, tech_shop, grocery_store, clothing_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, pet_store, craft_shop, pizzeria : 66622
Saved path: burger_joint, toy_store, clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, bakery, bike_shop, gym : 54148
Saved path: burger_joint, toy_store, salon, barber_shop, jewelry_store, bakery, pharmacy, gelateria, pet_store, pizzeria, dentist, tech_shop, grocery_store, cafe, bookstore : 58847
Saved path: pizzeria, florist, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, bookstore, cafe, tech_shop : 56160
Saved path: cafe, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, party_store, pharmacy, florist, pet_store, pizzeria, gym, hardware_store, bookstore : 60419
Saved path: bakery, party_store, bike_shop, barber_shop, salon, toy_store, tech_shop, cafe, bookstore, gym, craft_shop, pet_store, gelateria, bank, music_store : 62407
Saved path: burger_joint, cafe, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, bakery, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, bookstore : 48462
Saved path: gym, hardware_store, bakery, barber_shop, toy_store, clothing_store, grocery_store, bookstore, dentist, pizzeria, craft_shop, florist, gelateria, bank, music_store : 58517
Saved path: dentist, craft_shop, pet_store, florist, bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop : 56485
Saved path: hardware_store, gym, craft_shop, florist, gelateria, bank, bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, grocery_store, dentist, burger_joint : 66493
Saved path: clothing_store, noodle_house, salon, toy_store, gym, hardware_store, party_store, jewelry_store, bank, craft_shop, pizzeria, cafe, burger_joint, bookstore, grocery_store : 68314
Saved path: cafe, dentist, clothing_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria, gym, hardware_store, burger_joint, bookstore : 65871
Saved path: gelateria, florist, pet_store, craft_shop, gym, hardware_store, bookstore, dentist, pizzeria, tech_shop, grocery_store, noodle_house, salon, barber_shop, pharmacy : 52349
Saved path: pet_store, gelateria, bank, music_store, florist, craft_shop, dentist, bookstore, tech_shop, grocery_store, toy_store, salon, barber_shop, bakery, gym : 59790
Saved path: burger_joint, gym, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, cafe, clothing_store, noodle_house : 54771
Saved path: pet_store, gelateria, pharmacy, bakery, party_store, hardware_store, salon, noodle_house, toy_store, burger_joint, bookstore, cafe, tech_shop, dentist, pizzeria : 55422
Saved path: music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, bookstore, burger_joint, tech_shop, clothing_store, toy_store, gym, bike_shop, party_store, jewelry_store : 61556
Saved path: burger_joint, cafe, dentist, pizzeria, gelateria, bike_shop, party_store, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore : 59759
Saved path: jewelry_store, party_store, hardware_store, toy_store, noodle_house, grocery_store, bookstore, cafe, pizzeria, craft_shop, pet_store, gelateria, pharmacy, bakery, bike_shop : 54654
Saved path: pizzeria, dentist, cafe, burger_joint, bookstore, grocery_store, salon, toy_store, gym, bike_shop, party_store, pharmacy, gelateria, bank, pet_store : 67620
Saved path: pet_store, gelateria, bank, music_store, florist, pizzeria, tech_shop, cafe, noodle_house, salon, barber_shop, jewelry_store, bike_shop, hardware_store, gym : 71062
Saved path: gym, hardware_store, burger_joint, bookstore, cafe, grocery_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, gelateria, florist, pet_store : 56844
Saved path: jewelry_store, bike_shop, bakery, pharmacy, pet_store, craft_shop, gym, burger_joint, cafe, dentist, tech_shop, grocery_store, clothing_store, toy_store, salon : 57022
Saved path: pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, tech_shop, clothing_store, barber_shop, jewelry_store, hardware_store, gym, florist, music_store, gelateria : 64306
Saved path: pharmacy, music_store, bank, gelateria, florist, pizzeria, dentist, tech_shop, clothing_store, noodle_house, toy_store, gym, hardware_store, bike_shop, jewelry_store : 62686
Saved path: clothing_store, bookstore, cafe, pizzeria, craft_shop, florist, gelateria, bank, music_store, bakery, party_store, barber_shop, salon, toy_store, noodle_house : 61080
Saved path: bike_shop, party_store, bakery, bank, music_store, craft_shop, gym, bookstore, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop : 65077
Saved path: bank, gelateria, florist, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, hardware_store, pharmacy : 52090
Saved path: barber_shop, jewelry_store, party_store, bakery, bank, pet_store, craft_shop, gym, burger_joint, bookstore, dentist, tech_shop, clothing_store, noodle_house, toy_store : 68994
Saved path: florist, gelateria, music_store, pharmacy, bike_shop, jewelry_store, party_store, toy_store, clothing_store, grocery_store, tech_shop, bookstore, dentist, pizzeria, pet_store : 59394
Saved path: gym, craft_shop, florist, bank, music_store, bakery, party_store, bike_shop, barber_shop, salon, clothing_store, tech_shop, pizzeria, cafe, burger_joint : 64982
Saved path: craft_shop, pizzeria, dentist, tech_shop, burger_joint, toy_store, noodle_house, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, bank, gelateria, pet_store : 68489
Saved path: gelateria, pet_store, craft_shop, pizzeria, grocery_store, noodle_house, salon, barber_shop, bike_shop, party_store, hardware_store, bookstore, florist, music_store, bank : 69511
Saved path: clothing_store, grocery_store, bookstore, burger_joint, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, jewelry_store, barber_shop, salon, noodle_house : 59131
Saved path: barber_shop, clothing_store, grocery_store, dentist, bookstore, hardware_store, gym, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, party_store, bakery : 64478
Saved path: jewelry_store, bike_shop, barber_shop, hardware_store, burger_joint, cafe, bookstore, gym, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, bakery : 57534
Saved path: burger_joint, bookstore, tech_shop, clothing_store, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, bank, music_store, craft_shop, dentist : 65325
Saved path: toy_store, gym, bookstore, cafe, grocery_store, tech_shop, pizzeria, craft_shop, florist, gelateria, bakery, bike_shop, jewelry_store, barber_shop, salon : 59438
Saved path: bank, gelateria, pharmacy, party_store, jewelry_store, salon, noodle_house, clothing_store, grocery_store, cafe, burger_joint, gym, pizzeria, craft_shop, pet_store : 66189
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, cafe, gym, pet_store, florist, bank, pharmacy, party_store, bike_shop, barber_shop, salon, toy_store : 62718
Saved path: jewelry_store, barber_shop, hardware_store, gym, burger_joint, cafe, clothing_store, grocery_store, pizzeria, craft_shop, pet_store, florist, music_store, pharmacy, bakery : 60497
Saved path: bank, gelateria, florist, pizzeria, dentist, tech_shop, bookstore, burger_joint, toy_store, noodle_house, salon, jewelry_store, bike_shop, bakery, pharmacy : 66132
