Saved path: florist, pet_store, craft_shop, dentist, tech_shop, grocery_store, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank : 65721
Saved path: dentist, tech_shop, clothing_store, noodle_house, bookstore, burger_joint, gym, bike_shop, jewelry_store, party_store, bakery, pharmacy, bank, gelateria, florist : 62425
Saved path: florist, craft_shop, pizzeria, dentist, clothing_store, salon, burger_joint, gym, hardware_store, bike_shop, party_store, bakery, pharmacy, gelateria, bank : 63921
Saved path: burger_joint, cafe, dentist, pizzeria, craft_shop, gelateria, bike_shop, party_store, hardware_store, toy_store, salon, noodle_house, clothing_store, grocery_store, bookstore : 54427
Saved path: pizzeria, dentist, cafe, bookstore, burger_joint, gym, craft_shop, florist, pharmacy, bike_shop, party_store, jewelry_store, salon, clothing_store, tech_shop : 57878
Saved path: grocery_store, clothing_store, noodle_house, salon, barber_shop, music_store, bank, gelateria, florist, pet_store, hardware_store, burger_joint, cafe, dentist, tech_shop : 57672
Saved path: cafe, bookstore, hardware_store, gym, craft_shop, florist, bank, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store : 54793
Saved path: tech_shop, cafe, burger_joint, dentist, pizzeria, pet_store, florist, gelateria, bank, pharmacy, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store : 67900
Saved path: toy_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, pet_store, bank, music_store, florist, gym, hardware_store, party_store, bakery, barber_shop : 65093
Saved path: salon, toy_store, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, music_store, bank, gelateria, dentist, cafe, bookstore, grocery_store, noodle_house : 63397
Saved path: noodle_house, grocery_store, tech_shop, cafe, burger_joint, hardware_store, gym, craft_shop, florist, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon : 51494
Saved path: bike_shop, party_store, jewelry_store, barber_shop, salon, toy_store, hardware_store, burger_joint, bookstore, cafe, pizzeria, craft_shop, florist, bank, gelateria : 68145
Saved path: florist, music_store, pharmacy, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, cafe, bookstore, hardware_store, gym, craft_shop, pet_store : 56713
Saved path: party_store, bike_shop, music_store, pet_store, craft_shop, dentist, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, hardware_store : 53064
Saved path: gym, hardware_store, jewelry_store, pharmacy, music_store, pet_store, craft_shop, pizzeria, tech_shop, cafe, grocery_store, clothing_store, noodle_house, toy_store, burger_joint : 56126
Saved path: pet_store, florist, gelateria, bank, music_store, pharmacy, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, craft_shop : 63259
Saved path: gym, music_store, bank, gelateria, jewelry_store, party_store, hardware_store, salon, toy_store, clothing_store, tech_shop, pizzeria, dentist, cafe, burger_joint : 68076
Saved path: barber_shop, salon, noodle_house, grocery_store, pizzeria, dentist, bookstore, burger_joint, gym, florist, gelateria, music_store, bakery, bike_shop, jewelry_store : 62347
Saved path: jewelry_store, party_store, bakery, bank, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, bookstore, gym, hardware_store : 63554
Saved path: salon, toy_store, gym, bike_shop, jewelry_store, party_store, gelateria, music_store, craft_shop, pizzeria, dentist, cafe, bookstore, clothing_store, noodle_house : 61943
Saved path: jewelry_store, music_store, florist, pet_store, craft_shop, pizzeria, dentist, grocery_store, clothing_store, cafe, burger_joint, hardware_store, toy_store, salon, barber_shop : 62293
Saved path: craft_shop, pizzeria, grocery_store, bookstore, burger_joint, gym, hardware_store, salon, barber_shop, bike_shop, party_store, bakery, bank, gelateria, florist : 66455
